  PID  %CPU COMM
18309  32.4 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/Codex (Renderer).app/Contents/MacOS/Codex (Renderer)
  438  13.1 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  435   3.7 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
95407   1.9 /Applications/ChatGPT.app/Contents/Resources/codex
  450   0.6 /usr/sbin/mDNSResponder
17333   0.3 /Library/Bitdefender/AVP/product/bin/BDLDaemon.app/Contents/MacOS/BDLDaemon
  402   0.2 /usr/libexec/opendirectoryd
95358   0.2 /Applications/ChatGPT.app/Contents/MacOS/ChatGPT
  427   0.2 /usr/sbin/bluetoothd
  577   0.2 /etc/NX/nxserver
18502   0.1 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/Codex (Renderer).app/Contents/MacOS/Codex (Renderer)
 1342   0.1 /usr/libexec/sharingd
 1377   0.1 /usr/libexec/nearbyd
95382   0.1 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/Codex (Service).app/Contents/MacOS/Codex (Service)
 1306   0.1 /usr/libexec/rapportd
  359   0.1 /usr/libexec/logd
64614   0.1 /System/Library/PrivateFrameworks/CoreThreadRadio.framework/threadradiod
81944   0.0 /System/Library/Frameworks/CFNetwork.framework/Versions/A/Support/CFNetworkAgent
74427   0.0 /Applications/BeyondTrust Jump Client - nwra.beyondtrustcloud.com.app/Contents/MacOS/sra-pin
52748   0.0 /System/iOSSupport/System/Library/PrivateFrameworks/HomeEnergyDaemon.framework/Support/homeenergyd
39513   0.0 /usr/libexec/remindd
36968   0.0 /usr/libexec/PerfPowerServices
28549   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
28550   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
28548   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
26206   0.0 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
18767   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
18769   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
18768   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
18503   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/Codex (Renderer).app/Contents/MacOS/Codex (Renderer)
 4875   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
 4876   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
 4874   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
 1650   0.0 /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/BackgroundShortcutRunner.xpc/Contents/MacOS/BackgroundShortcutRunner
99708   0.0 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
99707   0.0 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
98946   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
98945   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
98944   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
98851   0.0 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
98850   0.0 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
96405   0.0 /System/Library/PrivateFrameworks/SafariFoundation.framework/Versions/A/XPCServices/CredentialProviderExtensionHelper.xpc/Contents/MacOS/CredentialProviderExtensionHelper
96404   0.0 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
95752   0.0 /Applications/ChatGPT.app/Contents/Resources/codex-code-mode-host
95690   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/Codex (Service).app/Contents/MacOS/Codex (Service)
95552   0.0 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
95475   0.0 /Users/jearly/.codex/computer-use/Codex Computer Use.app/Contents/MacOS/SkyComputerUseService
95473   0.0 /System/Library/PrivateFrameworks/SafariFoundation.framework/Versions/A/XPCServices/CredentialProviderExtensionHelper.xpc/Contents/MacOS/CredentialProviderExtensionHelper
95439   0.0 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
95414   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/Codex (Renderer).app/Contents/MacOS/Codex (Renderer)
95400   0.0 /Applications/ChatGPT.app/Contents/Resources/native/bare-modifier-monitor
95388   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/Codex (Service).app/Contents/MacOS/Codex (Service)
95384   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/Codex (Service).app/Contents/MacOS/Codex (Service)
95383   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/Codex (Service).app/Contents/MacOS/Codex (Service)
95379   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/browser_crashpad_handler
95377   0.0 /Applications/ChatGPT.app/Contents/Frameworks/Codex Framework.framework/Versions/152.0.7977.83/Helpers/browser_crashpad_handler
89562   0.0 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
84837   0.0 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
81404   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/DiskManagementSubscriber.xpc/Contents/MacOS/DiskManagementSubscriber
81403   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber
81402   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SecuritySubscriber.xpc/Contents/MacOS/SecuritySubscriber
64946   0.0 /System/Library/PrivateFrameworks/EcosystemAnalytics.framework/Support/ecosystemanalyticsd
48932   0.0 /Applications/GitHub Desktop.app/Contents/Frameworks/GitHub Desktop Helper.app/Contents/MacOS/GitHub Desktop Helper
48929   0.0 /Applications/Dropbox.app/Contents/Frameworks/Dropbox Helper.app/Contents/MacOS/Dropbox Helper
48573   0.0 /Library/Apple/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/XPCServices/MDRemoteServiceSupport.xpc/Contents/MacOS/MDRemoteServiceSupport
48572   0.0 /Library/Apple/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/XPCServices/MDRemoteServiceSupport.xpc/Contents/MacOS/MDRemoteServiceSupport
48571   0.0 /Library/Apple/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/XPCServices/MDRemoteServiceSupport.xpc/Contents/MacOS/MDRemoteServiceSupport
48570   0.0 /usr/libexec/kernelmanager_helper
48569   0.0 /Library/Apple/System/Library/PrivateFrameworks/DeviceInterface.framework/Support/deviceinterfaced
48471   0.0 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
41985   0.0 /System/Library/Frameworks/SafariServices.framework/Versions/A/XPCServices/com.apple.SafariServices.ExtensionHelper.xpc/Contents/MacOS/com.apple.SafariServices.ExtensionHelper
41966   0.0 /System/Library/PrivateFrameworks/MailService.framework/Versions/A/XPCServices/com.apple.MailServiceAgent.xpc/Contents/MacOS/com.apple.MailServiceAgent
40815   0.0 /Applications/Dropbox.app/Contents/XPCServices/DropboxNotificationService.xpc/Contents/MacOS/DropboxNotificationService
28978   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker
26771   0.0 /usr/libexec/trustd
26769   0.0 /usr/libexec/containermanagerd
26768   0.0 /usr/libexec/secd
26767   0.0 /usr/libexec/lsd
26766   0.0 /usr/libexec/pkd
26765   0.0 /usr/libexec/trustd
26764   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
26763   0.0 /usr/libexec/containermanagerd
26762   0.0 /usr/libexec/secd
26761   0.0 /usr/libexec/trustd
26760   0.0 /usr/libexec/lsd
26757   0.0 /usr/libexec/containermanagerd
26754   0.0 /usr/libexec/secd
26752   0.0 /usr/libexec/pkd
26750   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
26749   0.0 /usr/libexec/lsd
26748   0.0 /usr/libexec/pkd
26747   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
15115   0.0 /usr/libexec/trustd
15097   0.0 /usr/libexec/containermanagerd
15096   0.0 /usr/libexec/secd
15093   0.0 /usr/libexec/lsd
15094   0.0 /usr/libexec/pkd
