Name,Passed,Failed,Incomplete,Duration,Details
TestWVCompiledAdapterRestore/allFamiliesRestoreWithFreshRuntimeOwnership,1,0,0,21.4887094583333,
TestWVCompiledBackend/nativeBuildHasExactIdentitiesSelfTestsLifecycleAndRollback,0,1,1,0.490811125,
TestWVCompiledBackend/compiledBackendExecutesWithoutFallback,0,1,0,3.34474029166667,
TestWVCompiledBackend/compilerDownloadChecksumAndBuildFailuresAreStructured,0,1,0,0.584946083333333,
TestWVCompiledBackend/loadedModuleReplacementIsRefused,1,0,0,0.0576059583333333,
TestWVCompiledBackend/unrelatedCwdAndTrackedExportResolveProductionSources,1,0,0,0.271207458333333,
TestWVCompiledBackend/capabilitiesAreNonthrowingAndDoNotBuild,1,0,0,0.0564835416666667,
TestWVCompiledBackend/unsupportedSystemsProduceStructuredUnavailability,1,0,0,0.06393525,
TestWVCompiledBackend/portableLinuxPathHasNoDownloadBuildOrOutput,1,0,0,0.0576452916666667,
TestWVCompiledBackend/capabilityAndUnsupportedBuildRestoreState,1,0,0,0.116926208333333,
TestWVCompiledBarotropicPrimitives/rawAndStateOperationsMatchMatlab,1,0,0,1.17066316666667,
TestWVCompiledConfiguration/compiledConfigurationRejectsPublicMutation,1,0,0,2.775105625,
TestWVCompiledConfiguration/rejectedMutationPreservesActiveEvaluation,1,0,0,1.46134395833333,
TestWVCompiledConfiguration/privateBackendsLeaseMatlabConfiguration,1,0,0,1.0146595,
TestWVCompiledConfiguration/failedPrivateBackendCreationDoesNotLease,1,0,0,0.870977625,
TestWVCompiledConfiguration/matlabConfigurationRemainsWritable,1,0,0,0.8372925,
TestWVCompiledConstantPrimitives/rawVerticalOperationsMatchMatlab,1,0,0,0.585252083333333,
TestWVCompiledConstantPrimitives/horizontalOperationsMatchMatlab,1,0,0,0.542843625,
TestWVCompiledConstantPrimitives/publicProjectionMatchesMatlabPhaseAndZeroMode,1,0,0,0.494108416666667,
TestWVCompiledConstantPrimitives/fieldsAndFluxMatchMatlabSeparately,1,0,0,0.529461375,
TestWVCompiledConsumers/nonlinearAdaptiveFluxMatchesAcrossAllFamilies,1,0,0,5.91206866666667,
TestWVCompiledConsumers/sampledObserversShareCompiledStateScope,1,0,0,3.27648241666667,
TestWVCompiledConsumers/coefficientSubclassesPreserveCallbacks,1,0,0,2.05122708333333,
TestWVCompiledConsumers/registryMutationInvalidatesOuterScope,1,0,0,0.536323875,
TestWVCompiledEvaluationScope/allFamiliesShareOneScopedStateAndCache,1,0,0,3.47452079166667,
TestWVCompiledPublicAdapters/verticalCalculusPreservesMatlabLayouts,1,0,0,3.91947045833333,
TestWVCompiledPublicAdapters/densityReferencesShareOneImmutableState,1,0,0,4.19598695833333,
TestWVCompiledPublicAdapters/allPublicFamiliesMatchMatlab,1,0,0,5.679714875,
TestWVCompiledSourceIdentity/validatedBinaryAndSourceIdentityQualify,1,0,0,0.362456416666667,
TestWVCompiledSourceIdentity/samePathHashReplacementIsRejected,1,0,0,0.284586,
TestWVCompiledSourceIdentity/manifestIsPathIndependentAndTracksEditAddDelete,1,0,0,0.431902,
TestWVCompiledStratifiedPrimitives/stratifiedFieldsAndFlux,1,0,0,3.0746195,
TestWVCompiledStratifiedPrimitives/hydrostaticVerticalAndLifecycle,1,0,0,0.9378795,
TestWVCompiledStratifiedPrimitives/boussinesqWavePrimitives,1,0,0,1.30481175,
TestWVCompiledStratifiedPrimitives/verticalColumnsAndHorizontalOrders,1,0,0,0.520912166666667,
TestWVCompiledStratifiedPrimitives/stateAndQGPVOperations,1,0,0,2.26750320833333,
TestWVCompiledTransformBackend/allSupportedFamiliesCreateNativeSessions,1,0,0,2.82282258333333,
TestWVCompiledTransformBackend/compiledAndLegacyHandlesShareLifecycle,1,0,0,0.975974541666667,
TestWVCompiledTransformBackend/hydrostaticCallScopeReusesFieldsAndRecovers,0,1,0,1.223649375,
TestWVCompiledTransformBackend/compiledSourceIdentityIsDistinct,1,0,0,0.641005958333333,
TestWVCompiledTransformBackend/compiledSourceIdentityIsFreshAfterMatReload,1,0,0,0.547593041666667,
TestWVCompiledTransformBackend/compiledSourceIdentitySurvivesClearFunctions,1,0,0,1.84391908333333,
TestWVCompiledTransformBackend/invalidInputsAreRejected,1,0,0,0.0578625416666667,
TestCompiledKernelIntegration/portableCoreHasNoHostOrVendorDependency,1,0,0,0.040884,
TestCompiledKernelIntegration/repositoryTracksOnlySourceProducts,1,0,0,0.0486486666666667,
TestCompiledKernelIntegration/selectionRecordsTheAcceptedContract,1,0,0,0.0770065833333333,
TestCompiledKernelIntegration/runtimeSelectionRecordsStableSourceAPI,1,0,0,0.044132125,
TestCompiledKernelIntegration/keyRuntimeHashesMatchTheSelection,1,0,0,0.110462791666667,
