degree,z,eta,referenceN2,buoyancy,ape,remainder,labelN2
0,-999.0,0.0,0.00012,0.0,0.0,0.0,0.00012
0,-999.0,1e-14,0.00012,-1.2e-18,6e-33,3.3881317890172014e-35,0.00012
0,-999.0,-1e-14,0.00012,1.2e-18,6e-33,-3.3881317890172014e-35,0.00012
0,-999.0,1e-09,0.00012,-1.2000000000000002e-13,6.000000000000001e-23,3.3881317890172016e-30,0.00012
0,-999.0,-1e-09,0.00012,1.2000000000000002e-13,6.000000000000001e-23,-3.3881317890172016e-30,0.00012
0,-999.0,0.1,0.00012,-1.2000000000000002e-05,6.000000000000001e-07,3.3881317890172015e-22,0.00012
0,-999.0,-0.1,0.00012,1.2000000000000002e-05,6.000000000000001e-07,-3.3881317890172015e-22,0.00012
0,-750.0,0.0,0.00012,0.0,0.0,0.0,0.00012
0,-750.0,1e-14,0.00012,-1.2e-18,6e-33,3.3881317890172014e-35,0.00012
0,-750.0,-1e-14,0.00012,1.2e-18,6e-33,-3.3881317890172014e-35,0.00012
0,-750.0,1e-09,0.00012,-1.2000000000000002e-13,6.000000000000001e-23,3.3881317890172016e-30,0.00012
0,-750.0,-1e-09,0.00012,1.2000000000000002e-13,6.000000000000001e-23,-3.3881317890172016e-30,0.00012
0,-750.0,0.1,0.00012,-1.2000000000000002e-05,6.000000000000001e-07,3.3881317890172015e-22,0.00012
0,-750.0,-0.1,0.00012,1.2000000000000002e-05,6.000000000000001e-07,-3.3881317890172015e-22,0.00012
0,-500.0,0.0,0.00012,0.0,0.0,0.0,0.00012
0,-500.0,1e-14,0.00012,-1.2e-18,6e-33,3.3881317890172014e-35,0.00012
0,-500.0,-1e-14,0.00012,1.2e-18,6e-33,-3.3881317890172014e-35,0.00012
0,-500.0,1e-09,0.00012,-1.2000000000000002e-13,6.000000000000001e-23,3.3881317890172016e-30,0.00012
0,-500.0,-1e-09,0.00012,1.2000000000000002e-13,6.000000000000001e-23,-3.3881317890172016e-30,0.00012
0,-500.0,0.1,0.00012,-1.2000000000000002e-05,6.000000000000001e-07,3.3881317890172015e-22,0.00012
0,-500.0,-0.1,0.00012,1.2000000000000002e-05,6.000000000000001e-07,-3.3881317890172015e-22,0.00012
0,-1.0,0.0,0.00012,0.0,0.0,0.0,0.00012
0,-1.0,1e-14,0.00012,-1.2e-18,6e-33,3.3881317890172014e-35,0.00012
0,-1.0,-1e-14,0.00012,1.2e-18,6e-33,-3.3881317890172014e-35,0.00012
0,-1.0,1e-09,0.00012,-1.2000000000000002e-13,6.000000000000001e-23,3.3881317890172016e-30,0.00012
0,-1.0,-1e-09,0.00012,1.2000000000000002e-13,6.000000000000001e-23,-3.3881317890172016e-30,0.00012
0,-1.0,0.1,0.00012,-1.2000000000000002e-05,6.000000000000001e-07,3.3881317890172015e-22,0.00012
0,-1.0,-0.1,0.00012,1.2000000000000002e-05,6.000000000000001e-07,-3.3881317890172015e-22,0.00012
0,-500.0,400.0,0.00012,-0.048,9.6,1.3552527156068805e-18,0.00012
0,-500.0,-400.0,0.00012,0.048,9.6,-1.3552527156068805e-18,0.00012
0,1.0,2.0,0.00012,-0.00012,0.00018,-0.00012,0.00012
0,-3.0,-2.0,0.00012,0.00024,0.00024,-6.776263578034403e-21,0.00012
0,0.0,1e-12,0.00012,-1.2e-16,6e-29,3.388131789017201e-33,0.00012
0,-1000.0,9.094947017729282e-13,0.00012,0.0,0.0,-1.0913936421275139e-16,0.00012
0,0.0,-9.094947017729282e-13,0.00012,0.0,0.0,1.0913936421275139e-16,0.00012
1,-999.0,0.0,8.004e-05,0.0,0.0,0.0,8.004e-05
1,-999.0,1e-14,8.004e-05,-8.004e-19,4.0020000000000004e-33,3.9743788129651624e-35,8.004e-05
1,-999.0,-1e-14,8.004e-05,8.004e-19,4.0020000000000004e-33,-3.5743788129651625e-35,8.004e-05
1,-999.0,1e-09,8.004e-05,-8.003999999998001e-14,4.001999999998667e-23,-1.999580260516042e-26,8.003999999996e-05
1,-999.0,-1e-09,8.004e-05,8.004000000002001e-14,4.002000000001334e-23,-2.000335136278635e-26,8.004000000004e-05
1,-999.0,0.1,8.004e-05,-8.003800000000001e-06,4.001866666666667e-07,-1.9999999999971352e-10,8.0036e-05
1,-999.0,-0.1,8.004e-05,8.0042e-06,4.002133333333334e-07,-2.000000000004684e-10,8.004400000000001e-05
1,-750.0,0.0,9e-05,0.0,0.0,0.0,9e-05
1,-750.0,1e-14,9e-05,-9e-19,4.5e-33,-1.4940658945086008e-35,9e-05
1,-750.0,-1e-14,9e-05,9e-19,4.5e-33,1.8940658945086006e-35,9e-05
1,-750.0,1e-09,9e-05,-8.999999999998001e-14,4.4999999999986673e-23,-2.0001271049867895e-26,8.999999999996e-05
1,-750.0,-1e-09,9e-05,9.000000000002001e-14,4.500000000001334e-23,-1.9997882918078876e-26,9.000000000004e-05
1,-750.0,0.1,9e-05,-8.999800000000001e-06,4.4998666666666675e-07,-2.0000000000026036e-10,8.9996e-05
1,-750.0,-0.1,9e-05,9.0002e-06,4.500133333333334e-07,-1.9999999999992155e-10,9.0004e-05
1,-500.0,0.0,0.0001,0.0,0.0,0.0,0.0001
1,-500.0,1e-14,0.0001,-1e-18,5e-33,2.0000000000000002e-36,0.0001
1,-500.0,-1e-14,0.0001,1e-18,5e-33,2.0000000000000002e-36,0.0001
