profile,nx,nz,scenario,form,deltaT,energyChange,energyDefectIntegral,energyBudgetError,densityChange,densityDefectIntegral,densityBudgetError,secondDensityChange,secondDensityDefectIntegral,secondDensityBudgetError,externalWork
constant,8,33,waves,divergence,10,3.02351399472656e-08,3.02351196666202e-08,2.02806453813813e-14,-0.000384874188966933,-0.000384874186505149,-2.46178376078418e-12,-0.00336560398864094,-0.00336560404282611,5.41851685048611e-11,0
constant,8,33,waves,divergence,5,3.02350962044784e-08,3.02351190791859e-08,-2.28747074992701e-14,-0.000384874186238449,-0.000384874184862184,-1.37626477055008e-12,-0.0033656039959169,-0.00336560402845928,3.25423811162184e-11,0
constant,8,33,waves,advective,10,3.02351396141987e-08,3.02351196639548e-08,1.99502438087461e-14,-0.000384874187147943,-0.000384874186505148,-6.42795061969736e-13,-0.00336560398864094,-0.0033656040428261,5.41851602649246e-11,0
constant,8,33,waves,advective,5,3.02350959824338e-08,3.02351190831726e-08,-2.31007388037277e-14,-0.000384874186238449,-0.000384874184862182,-1.37626634264323e-12,-0.0033656039959169,-0.00336560402845927,3.25423715752393e-11,0
constant,8,33,waves,split,10,3.02351399472656e-08,3.02351196612105e-08,2.02860550962653e-14,-0.000384874187147943,-0.000384874186505148,-6.42795278810171e-13,-0.00336560398864094,-0.0033656040428261,5.41851598312437e-11,0
constant,8,33,waves,split,5,3.02350962044784e-08,3.0235119081055e-08,-2.2876576623052e-14,-0.000384874186238449,-0.000384874184862183,-1.37626569212193e-12,-0.0033656039959169,-0.00336560402845927,3.25423728762819e-11,0
constant,8,33,waves,compatible,10,3.02351399472656e-08,3.02351196612105e-08,2.02860550962653e-14,-0.000384874187147943,-0.000384874186505148,-6.42794899339411e-13,-0.00336560398864094,-0.0033656040428261,5.41851611322863e-11,0
constant,8,33,waves,compatible,5,3.02350962044784e-08,3.02351190810663e-08,-2.2876587912413e-14,-0.000384874186238449,-0.000384874184862183,-1.37626563791182e-12,-0.0033656039959169,-0.00336560402845927,3.25423728762819e-11,0
constant,8,33,mixed,divergence,10,-1.78235975978325e-09,-1.78233196996223e-09,-2.77898210166521e-14,2.63761949099717e-05,2.63761997606046e-05,-4.85063293988153e-12,0.000229421173571609,0.000229421190306166,-1.67345566386406e-11,0
constant,8,33,mixed,divergence,5,-1.78233136582939e-09,-1.78233144124885e-09,7.54194608309916e-17,2.63761949099717e-05,2.63761996473745e-05,-4.73740277827936e-12,0.000229421180847567,0.000229421189318995,-8.47142869091558e-12,0
constant,8,33,mixed,advective,10,-1.7823598152944e-09,-1.78233196376901e-09,-2.78515253905183e-14,2.63761949099717e-05,2.63761997606063e-05,-4.85063465088809e-12,0.000229421173571609,0.000229421190306173,-1.67345644448962e-11,0
constant,8,33,mixed,advective,5,-1.78233128256267e-09,-1.78233144276187e-09,1.60199199866321e-16,2.63761949099717e-05,2.63761996473754e-05,-4.73740369646308e-12,0.000229421180847567,0.000229421189319,-8.47143378666579e-12,0
constant,8,33,mixed,split,10,-1.7823598152944e-09,-1.78233196816652e-09,-2.78471278775248e-14,2.63761949099717e-05,2.63761997606057e-05,-4.85063405796502e-12,0.000229421173571609,0.00022942119030617,-1.67345609212392e-11,0
constant,8,33,mixed,split,5,-1.78233131031824e-09,-1.78233144467016e-09,1.34351919170504e-16,2.63761949099717e-05,2.63761996473753e-05,-4.73740366935802e-12,0.000229421180847567,0.000229421189319,-8.4714329464091e-12,0
constant,8,33,mixed,compatible,10,-1.7823598152944e-09,-1.78233196816652e-09,-2.78471278775248e-14,2.63761949099717e-05,2.63761997606057e-05,-4.85063405796502e-12,0.000229421173571609,0.00022942119030617,-1.67345610567644e-11,0
constant,8,33,mixed,compatible,5,-1.78233131031824e-09,-1.78233144467016e-09,1.34351919170504e-16,2.63761949099717e-05,2.63761996473753e-05,-4.73740366258176e-12,0.000229421180847567,0.000229421189318999,-8.47143286509394e-12,0
constant,16,65,waves,divergence,10,1.72045300228518e-09,1.72045067334889e-09,2.3289362879581e-15,3.51647031493485e-08,3.51517542479922e-08,1.29489013563381e-11,-9.47987427935004e-06,-9.47989305196444e-06,1.87726144003396e-11,0
constant,16,65,waves,divergence,5,1.72044800628157e-09,1.72045067722831e-09,-2.67094673396032e-15,3.51574271917343e-08,3.51517541060472e-08,5.6730856871551e-12,-9.47989610722288e-06,-9.47989301137343e-06,-3.09584945027731e-12,0
constant,16,65,waves,advective,10,1.72045311330749e-09,1.72045067864567e-09,2.43466181091926e-15,3.51647031493485e-08,3.51517542450857e-08,1.2948904262839e-11,-9.47987427935004e-06,-9.4798930519846e-06,1.87726345563357e-11,0
constant,16,65,waves,advective,5,1.72044800628157e-09,1.72045067736383e-09,-2.67108225902509e-15,3.51574271917343e-08,3.51517541037146e-08,5.67308801968531e-12,-9.47989610722288e-06,-9.47989301138838e-06,-3.09583450014579e-12,0
constant,16,65,waves,split,10,1.72045300228518e-09,1.72045067753888e-09,2.32474629824342e-15,3.51647031493485e-08,3.51517542462802e-08,1.29489030682512e-11,-9.47987427935004e-06,-9.47989305197353e-06,1.8772623485615e-11,0
constant,16,65,waves,split,5,1.72044800628157e-09,1.72045067712101e-09,-2.67083944284461e-15,3.51574271917343e-08,3.51517541048239e-08,5.67308691038317e-12,-9.47989610722288e-06,-9.47989301138204e-06,-3.0958408427285e-12,0
