deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,scenario,form,config
20,160,32,0,0.147797458333333,0.0223075833333333,0.0319193333333333,0.206919708333333,3.42461984227568e-11,1.03058070007562e-12,2.58839431588387e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83516052445909e-17,0,-6.37555785942823e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929772,constant,linear,divergence,1
10,160,64,0,0.211667458333333,0.0182450833333333,0.02273925,0.255807958333333,3.42459245789145e-11,1.03058070007562e-12,2.58821039158295e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83505464534068e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,divergence,1
5,160,128,0,0.383203708333333,0.0154054583333333,0.023072,0.424500375,3.42462804714526e-11,1.03058070007562e-12,2.58815942008488e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83509699698804e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,divergence,1
20,160,32,0,0.1053795,0.0123426666666667,0.0191241666666667,0.139380791666667,3.42461984227564e-11,1.03058070007562e-12,2.58839431588387e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83516052445909e-17,0,-6.37555785942823e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929772,constant,linear,advective,1
10,160,64,0,0.180347416666667,0.0108155,0.0164696666666667,0.209813333333333,3.42459245789145e-11,1.03058070007562e-12,2.58821039158295e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83505464534068e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,advective,1
5,160,128,0,0.349473666666667,0.0100729166666667,0.016305,0.378123916666667,3.42462804714513e-11,1.03058070007562e-12,2.58815942008488e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83509699698804e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,advective,1
20,160,32,0,0.116658458333333,0.0114475833333333,0.0173707916666667,0.14770925,3.42461984227568e-11,1.03058070007562e-12,2.58839431588387e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83516052445909e-17,0,-6.37555785942823e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929772,constant,linear,split,1
10,160,64,0,0.20953525,0.0136992083333333,0.0184780416666667,0.244813083333333,3.42459245789145e-11,1.03058070007562e-12,2.58821039158295e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83505464534068e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,split,1
5,160,128,0,0.440732083333333,0.0140445833333333,0.018696125,0.477478541666667,3.42462804714513e-11,1.03058070007562e-12,2.58815942008488e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83509699698804e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,split,1
20,160,32,0,0.11357425,0.0135657916666667,0.0180239166666667,0.147989291666667,3.42461984227568e-11,1.03058070007562e-12,2.58839431588387e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83516052445909e-17,0,-6.37555785942823e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929772,constant,linear,compatible,1
10,160,64,0,0.205653833333333,0.0124795,0.0172859583333333,0.237719416666667,3.42459245789145e-11,1.03058070007562e-12,2.58821039158295e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83505464534068e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,compatible,1
5,160,128,0,0.400046833333333,0.0115185833333333,0.0168001666666667,0.43063075,3.42462804714513e-11,1.03058070007562e-12,2.58815942008488e-10,5.54934146085309e-20,6.78333718389188e-13,6.18810686424208e-20,8.29592915550201e-07,4.83509699698804e-17,0,-6.38465280644596e-10,-5.56610757485032e-09,-999.999800000036,-0.000199999965929775,constant,linear,compatible,1
20,160,32,0,0.182675041666667,0.0194950833333333,0.0307765416666667,0.236398875,3.46448264719091e-11,1.03540128068631e-12,2.65795531600945e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83523463984197e-17,-2.27373675443232e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712173,constant,linear,divergence,2
10,160,64,0,0.353966166666667,0.017305375,0.023341375,0.395872,3.46416696593591e-11,1.03543904421475e-12,2.65749124575918e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712176,constant,linear,divergence,2
5,160,128,0,0.720561208333333,0.0175128333333333,0.0235386666666667,0.762755541666667,3.4642060349021e-11,1.03655802196211e-12,2.65751618145669e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.41193764749914e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712176,constant,linear,divergence,2
20,160,32,0,0.184760375,0.018337875,0.0246695416666667,0.229010041666667,3.46448264718894e-11,1.03540128068631e-12,2.65795531600945e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83523463984197e-17,-2.27373675443232e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712173,constant,linear,advective,2
10,160,64,0,0.355060291666667,0.0175225833333333,0.0237174583333333,0.397415083333333,3.46416696593498e-11,1.03543904421475e-12,2.65749124575918e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712176,constant,linear,advective,2
5,160,128,0,0.691847875,0.0179809583333333,0.023156625,0.734142125,3.46420603490217e-11,1.03655802196211e-12,2.65751618145669e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.41193764749914e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712176,constant,linear,advective,2
20,160,32,0,0.216420291666667,0.0197070416666667,0.0241403333333333,0.26151925,3.46448264719089e-11,1.03540128068631e-12,2.65795531600945e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83523463984197e-17,-2.27373675443232e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712173,constant,linear,split,2
10,160,64,0,0.43330975,0.0191534583333333,0.024253,0.478047583333333,3.46416696593473e-11,1.03543904421475e-12,2.65749124575918e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712176,constant,linear,split,2
5,160,128,0,0.809689625,0.018396125,0.022693875,0.852039,3.4642060349022e-11,1.03655802196211e-12,2.65751618145669e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.41193764749914e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712176,constant,linear,split,2
20,160,32,0,0.178983666666667,0.0169778333333333,0.021179375,0.218590791666667,3.46448264719089e-11,1.03540128068631e-12,2.65795531600945e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83523463984197e-17,-2.27373675443232e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712173,constant,linear,compatible,2
10,160,64,0,0.38695725,0.0176139166666667,0.02229925,0.42811625,3.46416696593473e-11,1.03543904421475e-12,2.65749124575918e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.42103259451687e-10,-5.60976332053542e-09,-999.999800000036,-0.000199999965712176,constant,linear,compatible,2
5,160,128,0,0.758421041666667,0.01659,0.023036125,0.79926025,3.4642060349022e-11,1.03655802196211e-12,2.65751618145669e-10,5.54577091999933e-20,6.85477878102049e-13,5.47611285936692e-20,8.29592915550201e-07,4.83514993654724e-17,-3.41060513164848e-13,-6.41193764749914e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712176,constant,linear,compatible,2
20,160,32,0,0.209268375,0.0209717083333333,0.0316005833333333,0.263017791666667,6.93198758004041e-12,1.05451929085197e-12,5.31720757212124e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83535110687222e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712234,constant,linear,divergence,3
10,160,64,0,0.436899333333333,0.0217105833333333,0.032343625,0.492133791666667,6.9311750871073e-12,1.05467307556998e-12,5.3160471033041e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.8353193431367e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,divergence,3
5,160,128,0,0.830085125,0.0203844583333333,0.0299275833333333,0.881630166666667,6.93127707648431e-12,1.05460440187802e-12,5.31611215533131e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83526640357749e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,divergence,3
20,160,32,0,0.209248166666667,0.0211742916666667,0.0305348333333333,0.262136791666667,6.93198758004088e-12,1.05451929085197e-12,5.31720757212124e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83535110687222e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712234,constant,linear,advective,3
10,160,64,0,0.416828791666667,0.0222682916666667,0.0342311666666667,0.475366666666667,6.9311750871073e-12,1.05467307556998e-12,5.3160471033041e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.8353193431367e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,advective,3
5,160,128,0,0.853944708333333,0.0217204166666667,0.031068125,0.907926875,6.93127707648459e-12,1.05460440187802e-12,5.31611215533131e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83526640357749e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,advective,3
20,160,32,0,0.268739875,0.0219760416666667,0.0346604583333333,0.326551708333333,6.93198758004039e-12,1.05451929085197e-12,5.31720757212124e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83535110687222e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712234,constant,linear,split,3
10,160,64,0,0.543265458333333,0.0223145833333333,0.032027875,0.598851208333333,6.9311750871073e-12,1.05467307556998e-12,5.3160471033041e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.8353193431367e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,split,3
5,160,128,0,1.08386391666667,0.0219194583333333,0.0308447083333333,1.13915929166667,6.93127707648459e-12,1.05460440187802e-12,5.31611215533131e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83526640357749e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,split,3
20,160,32,0,0.234035083333333,0.0218753333333333,0.03075975,0.287806,6.93198758004039e-12,1.05451929085197e-12,5.31720757212124e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.83535110687222e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.60248736292124e-09,-999.999800000036,-0.000199999965712234,constant,linear,compatible,3
10,160,64,0,0.498341208333333,0.0213170416666667,0.0340593333333333,0.554911291666667,6.9311750871073e-12,1.05467307556998e-12,5.3160471033041e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,4.8353193431367e-17,1.02318153949454e-12,-6.2755134422332e-10,-5.59521140530705e-09,-999.999800000036,-0.000199999965712236,constant,linear,compatible,3
