deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,scenario,form,config
20,160,32,0,0.22040475,0.0129891666666667,0.0147730833333333,0.2495285,8.6677547453735e-08,8.11265573273974e-07,2.17910076048328e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.5494310147175e-08,-2.27373675443232e-13,-0.000626826920779422,-0.00551185139192967,-999.809670038079,-0.180040400444917,constant,mixed,divergence,1
10,160,64,0,0.309076125,0.01057075,0.0158111666666667,0.336716875,8.66776938506053e-08,8.11265579357766e-07,2.18015106219432e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54941100849859e-08,0,-0.000626826923507906,-0.00551185154472478,-999.809670038077,-0.180040400447181,constant,mixed,divergence,1
5,160,128,0,0.474342541666667,0.021995625,0.0212202916666667,0.518852833333333,8.66779317584169e-08,8.112655799243e-07,2.18017669809631e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54942529706892e-08,-1.13686837721616e-13,-0.000626826924417401,-0.00551185155927669,-999.809670038076,-0.180040400447323,constant,mixed,divergence,1
20,160,32,0,0.149669291666667,0.06648175,0.0222035416666667,0.239706916666667,8.667754740727e-08,8.11265573325863e-07,2.17910074246242e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54943099251304e-08,-2.27373675443232e-13,-0.000626826920779422,-0.00551185139192967,-999.809670038079,-0.180040400444918,constant,mixed,advective,1
10,160,64,0,0.251766166666667,0.0119330416666667,0.0166682916666667,0.281632333333333,8.66776938044869e-08,8.11265579357766e-07,2.18015104416018e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54941104180529e-08,0,-0.000626826922598411,-0.00551185153744882,-999.809670038077,-0.180040400447182,constant,mixed,advective,1
5,160,128,0,0.460064291666667,0.0122107916666667,0.0170167916666667,0.490600333333333,8.66779317121473e-08,8.11265580577805e-07,2.18017667999058e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54942531927338e-08,-1.13686837721616e-13,-0.00062682692623639,-0.00551185155927669,-999.809670038076,-0.180040400447323,constant,mixed,advective,1
20,160,32,0,0.137286,0.011755125,0.0222667916666667,0.172491375,8.66775474304822e-08,8.11265573273974e-07,2.17910075149537e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54943098141081e-08,-2.27373675443232e-13,-0.000626826920779422,-0.00551185139192967,-999.809670038079,-0.180040400444918,constant,mixed,split,1
10,160,64,0,0.257528416666667,0.010624625,0.01579175,0.285237416666667,8.66776938277253e-08,8.11265579357766e-07,2.18015105329442e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54941103070306e-08,0,-0.000626826922598411,-0.00551185154472478,-999.809670038077,-0.180040400447181,constant,mixed,split,1
5,160,128,0,0.606339666666667,0.0211454583333333,0.0196122083333333,0.648482791666667,8.66779317352816e-08,8.11265579917067e-07,2.18017668901245e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54942529706892e-08,-1.13686837721616e-13,-0.000626826924417401,-0.00551185155927669,-999.809670038076,-0.180040400447323,constant,mixed,split,1
20,160,32,0,0.13365825,0.0118278333333333,0.0180885416666667,0.166011666666667,8.66775474304822e-08,8.11265573273974e-07,2.17910075149537e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54943098141081e-08,-2.27373675443232e-13,-0.000626826920779422,-0.00551185139192967,-999.809670038079,-0.180040400444918,constant,mixed,compatible,1
10,160,64,0,0.248451125,0.0166310833333333,0.0172727916666667,0.283637166666667,8.66776938277205e-08,8.11265579357766e-07,2.18015105329442e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54941103070306e-08,0,-0.000626826922598411,-0.00551185154472478,-999.809670038077,-0.180040400447181,constant,mixed,compatible,1
5,160,128,0,0.497227875,0.01226725,0.0281082916666667,0.538886625,8.667793173528e-08,8.11265579917067e-07,2.18017668901245e-07,2.74991171899112e-14,6.78059204062424e-13,4.40895127077487e-17,0.831612988991903,5.54942529706892e-08,-1.13686837721616e-13,-0.000626826924417401,-0.00551185155927669,-999.809670038076,-0.180040400447323,constant,mixed,compatible,1
20,160,32,0,0.206453958333333,0.0220165,0.025809375,0.255527125,8.69107293218529e-08,8.11265577014218e-07,2.31480022384738e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54944445951833e-08,-4.54747350886464e-13,-0.000626826922598411,-0.00551185144286137,-999.809961697597,-0.180040396881278,constant,mixed,divergence,2
10,160,64,0,0.370853208333333,0.0199084166666667,0.022214875,0.414400583333333,8.69100360460979e-08,8.11265575258794e-07,2.31537099704989e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942749531051e-08,-1.13686837721616e-13,-0.00062682692805538,-0.00551185156655265,-999.809961697594,-0.180040396883542,constant,mixed,divergence,2
5,160,128,0,0.731986916666667,0.0171307916666667,0.0244948333333333,0.774997916666667,8.69102367382077e-08,8.11265575008612e-07,2.31546631652327e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942942709857e-08,-6.82121026329696e-13,-0.000626826929874369,-0.00551185158838052,-999.809961697594,-0.180040396883684,constant,mixed,divergence,2
20,160,32,0,0.180746375,0.0280880416666667,0.0247280416666667,0.234852208333333,8.69107292977622e-08,8.11265577014218e-07,2.31480022379367e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54944443731387e-08,-4.54747350886464e-13,-0.000626826922598411,-0.00551185144286137,-999.809961697597,-0.180040396881271,constant,mixed,advective,2
10,160,64,0,0.386499666666667,0.0174184166666667,0.022037875,0.427155916666667,8.69100360219363e-08,8.11265576065333e-07,2.3153709970086e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942748420828e-08,-1.13686837721616e-13,-0.00062682692805538,-0.00551185156655265,-999.809961697594,-0.180040396883535,constant,mixed,advective,2
5,160,128,0,0.794726416666667,0.0185154583333333,0.0246033333333333,0.839100958333333,8.69102367140209e-08,8.11265574553896e-07,2.31546631655795e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942946040526e-08,-6.82121026329696e-13,-0.000626826929874369,-0.00551185158838052,-999.809961697594,-0.180040396883677,constant,mixed,advective,2
20,160,32,0,0.24643825,0.0221022916666667,0.036591375,0.306317125,8.69107293097907e-08,8.11265577014218e-07,2.31480022383554e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.5494444484161e-08,-4.54747350886464e-13,-0.000626826922598411,-0.00551185144286137,-999.809961697597,-0.180040396881274,constant,mixed,split,2
10,160,64,0,0.482432625,0.0317858333333333,0.044822625,0.560289625,8.69100360340348e-08,8.11265576048356e-07,2.3153709970448e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942747310605e-08,-1.13686837721616e-13,-0.00062682692805538,-0.00551185156655265,-999.809961697594,-0.180040396883539,constant,mixed,split,2
5,160,128,0,1.376537125,0.021550125,0.0276070833333333,1.42709266666667,8.69102367261118e-08,8.11265575008612e-07,2.31546631655622e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942947150749e-08,-6.82121026329696e-13,-0.000626826929874369,-0.00551185158838052,-999.809961697594,-0.18004039688368,constant,mixed,split,2
20,160,32,0,0.239741416666667,0.0455255,0.0403613333333333,0.329417375,8.69107293097899e-08,8.11265577014218e-07,2.31480022383554e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.5494444484161e-08,-4.54747350886464e-13,-0.000626826922598411,-0.00551185144286137,-999.809961697597,-0.180040396881274,constant,mixed,compatible,2
10,160,64,0,0.723028041666667,0.0342634166666667,0.0293913333333333,0.787969166666667,8.69100360340444e-08,8.11265576048356e-07,2.3153709970448e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942747310605e-08,-1.13686837721616e-13,-0.00062682692805538,-0.00551185156655265,-999.809961697594,-0.180040396883539,constant,mixed,compatible,2
5,160,128,0,1.03903625,0.0947010833333333,0.0327365833333333,1.17213175,8.69102367261115e-08,8.11265575008612e-07,2.31546631655622e-07,7.12461418350042e-17,6.87652401276316e-13,4.50404361181227e-17,0.831612988991896,5.54942947150749e-08,-6.82121026329696e-13,-0.000626826929874369,-0.00551185158838052,-999.809961697594,-0.18004039688368,constant,mixed,compatible,2
20,160,32,0,0.294162416666667,0.025805375,0.0300097916666667,0.35126575,8.19907006639731e-08,8.11265634230622e-07,7.43155175782896e-08,6.23789266596803e-17,6.94623979884002e-13,4.30194263210959e-17,0.831613216308449,5.54965832177956e-08,1.13686837721616e-13,-0.000626824619757826,-0.00551183136849431,-999.809961697531,-0.18004039694162,constant,mixed,divergence,3
