deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,scenario,form,config
20,160,32,0,0.101350208333333,0.01111025,0.0154342083333333,0.129140375,8.77627586812005e-08,8.19180892515244e-07,2.1827796563037e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02474569730182e-08,-2.27373675443232e-13,-0.000637810033367714,-0.00557770879822783,-999.800036242485,-0.19996593172338,constant,waves,divergence,1
10,160,64,0,0.193812583333333,0.0118970833333333,0.014551,0.221932083333333,8.7762969411452e-08,8.19180892374773e-07,2.18382658424584e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02472532470932e-08,-3.41060513164848e-13,-0.000637810037005693,-0.00557770892919507,-999.800036242483,-0.199965931725674,constant,waves,divergence,1
5,160,128,0,0.35636275,0.0106834583333333,0.0162881666666667,0.384554166666667,8.77632060960116e-08,8.19180892087285e-07,2.18385180062337e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02473964658634e-08,-2.27373675443232e-13,-0.000637810039734177,-0.0055777089582989,-999.800036242483,-0.199965931725818,constant,waves,divergence,1
20,160,32,0,0.0879878333333333,0.0106658333333333,0.0158688333333333,0.115713583333333,8.7762758635556e-08,8.19180892515244e-07,2.18277963837327e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02474567509736e-08,-2.27373675443232e-13,-0.000637810033367714,-0.00557770879822783,-999.800036242485,-0.199965931723381,constant,waves,advective,1
10,160,64,0,0.202656625,0.011478125,0.015195875,0.230546291666667,8.77629693659827e-08,8.19180892374773e-07,2.18382656624869e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02472534691378e-08,-3.41060513164848e-13,-0.000637810037005693,-0.00557770892919507,-999.800036242483,-0.199965931725674,constant,waves,advective,1
5,160,128,0,0.361583166666667,0.00978991666666667,0.0147777916666667,0.387350541666667,8.77632060505388e-08,8.19180892087285e-07,2.1838517825115e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.0247396687908e-08,-2.27373675443232e-13,-0.000637810039734177,-0.00557770896557486,-999.800036242483,-0.199965931725818,constant,waves,advective,1
20,160,32,0,0.115224375,0.0103735833333333,0.01540125,0.142176166666667,8.77627586584323e-08,8.19180892515244e-07,2.18277964730576e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02474569730182e-08,-2.27373675443232e-13,-0.000637810033367714,-0.00557770879822783,-999.800036242485,-0.199965931723381,constant,waves,split,1
10,160,64,0,0.214155208333333,0.00989258333333333,0.0143450416666667,0.239634,8.77629693887201e-08,8.19180892374773e-07,2.18382657519685e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02472532470932e-08,-3.41060513164848e-13,-0.000637810037005693,-0.00557770892919507,-999.800036242483,-0.199965931725674,constant,waves,split,1
5,160,128,0,0.429273,0.0101035833333333,0.0151084166666667,0.455621833333333,8.77632060732394e-08,8.19180892087285e-07,2.18385179153756e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.0247396687908e-08,-2.27373675443232e-13,-0.000637810039734177,-0.0055777089582989,-999.800036242483,-0.199965931725818,constant,waves,split,1
20,160,32,0,0.0979111666666667,0.0114032916666667,0.0139620833333333,0.12448425,8.77627586584323e-08,8.19180892515244e-07,2.18277964730576e-07,2.75008184081041e-14,6.88540292896563e-13,6.70352618724516e-17,0.829593932884719,5.02474569730182e-08,-2.27373675443232e-13,-0.000637810033367714,-0.00557770879822783,-999.800036242485,-0.199965931723381,constant,waves,compatible,1
