deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,scenario,form,config
20,160,32,0,0.106132291666667,0.0131215833333333,0.0173848333333333,0.13782725,2.3901984176199e-11,1.11338706915125e-12,1.80651784004131e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606163207151e-16,0,-6.35736796539277e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743609,exponential,linear,divergence,1
10,160,64,0,0.220683708333333,0.013497,0.0174464166666667,0.252834833333333,2.3901754799241e-11,1.11338706915125e-12,1.80639524137725e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606374965388e-16,0,-6.36191543890163e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743614,exponential,linear,divergence,1
5,160,128,0,0.44972775,0.014236875,0.01834475,0.483501958333333,2.39019920785016e-11,1.11338706915125e-12,1.80636074408324e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35605739690677e-16,0,-6.35736796539277e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743615,exponential,linear,divergence,1
20,160,32,0,0.111690541666667,0.0139488333333333,0.0219084166666667,0.148756458333333,2.39019841761583e-11,1.11338706915125e-12,1.80651784004131e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606163207151e-16,0,-6.35736796539277e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743609,exponential,linear,advective,1
10,160,64,0,0.224734541666667,0.012440375,0.017732375,0.256281875,2.3901754799241e-11,1.11338706915125e-12,1.80639524137725e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606374965388e-16,0,-6.36191543890163e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743614,exponential,linear,advective,1
5,160,128,0,0.4455815,0.0129002083333333,0.018453625,0.478284166666667,2.39019920785026e-11,1.11338706915125e-12,1.80636074408324e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35605739690677e-16,0,-6.35736796539277e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743615,exponential,linear,advective,1
20,160,32,0,0.141039166666667,0.0143927916666667,0.019133,0.175998,2.3901984176162e-11,1.11338706915125e-12,1.80651784004131e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606163207151e-16,0,-6.35736796539277e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743609,exponential,linear,split,1
10,160,64,0,0.262903333333333,0.0146486666666667,0.0208508333333333,0.299757166666667,2.3901754799241e-11,1.11338706915125e-12,1.80639524137725e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606374965388e-16,0,-6.36191543890163e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743614,exponential,linear,split,1
5,160,128,0,0.543248083333333,0.017618375,0.0197415416666667,0.582041791666667,2.39019920785026e-11,1.11338706915125e-12,1.80636074408324e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35605739690677e-16,0,-6.35736796539277e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743615,exponential,linear,split,1
20,160,32,0,0.122318291666667,0.0143945416666667,0.0190555,0.157123541666667,2.3901984176162e-11,1.11338706915125e-12,1.80651784004131e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606163207151e-16,0,-6.35736796539277e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743609,exponential,linear,compatible,1
10,160,64,0,0.256916125,0.0159045,0.0192551666666667,0.293824083333333,2.3901754799241e-11,1.11338706915125e-12,1.80639524137725e-10,8.59921983802323e-19,7.04691095532018e-13,4.5805831019889e-20,1.1734210341629e-06,-1.35606374965388e-16,0,-6.36191543890163e-10,-3.21415427606553e-09,-999.999800000062,-0.000199999917743614,exponential,linear,compatible,1
