deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,scenario,form,config
20,160,32,0,0.12003875,0.0123177916666667,0.017771,0.150815083333333,3.9191633377004e-07,8.57745880774621e-07,1.39676582756918e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12592340293116e-08,-6.82121026329696e-13,-0.000626612976247998,-0.00317005370379775,-999.809692073041,-0.1799945261177,exponential,mixed,divergence,1
10,160,64,0,0.276592125,0.0176736666666667,0.0197658333333333,0.31486275,3.91916374218217e-07,8.57745871447292e-07,1.39757641835579e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.1258988225934e-08,-7.95807864051312e-13,-0.000626612973519514,-0.00317005372198764,-999.809692073037,-0.179994526123129,exponential,mixed,divergence,1
5,160,128,0,0.534410583333333,0.01407675,0.018083875,0.567406208333333,3.91916396854155e-07,8.57745874802552e-07,1.39760561657367e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12590850373817e-08,-4.54747350886464e-13,-0.00062661297079103,-0.00317005372198764,-999.809692073037,-0.179994526123468,exponential,mixed,divergence,1
20,160,32,0,0.117382833333333,0.0112653333333333,0.0155564166666667,0.144921166666667,3.91916333753469e-07,8.57745880743376e-07,1.39676576209977e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.1259233807267e-08,-6.82121026329696e-13,-0.000626612976702745,-0.00317005370379775,-999.809692073041,-0.179994526117716,exponential,mixed,advective,1
10,160,64,0,0.259042416666667,0.0114915416666667,0.0157438333333333,0.286984666666667,3.91916374201607e-07,8.57745871379625e-07,1.39757635286046e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.1258988225934e-08,-7.95807864051312e-13,-0.000626612973519514,-0.00317005372380663,-999.809692073037,-0.179994526123145,exponential,mixed,advective,1
5,160,128,0,0.506553916666667,0.0109490833333333,0.016857625,0.535198541666667,3.91916396837453e-07,8.57745874802552e-07,1.39760555121167e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12590848153371e-08,-3.41060513164848e-13,-0.000626612971245777,-0.00317005372744461,-999.809692073037,-0.179994526123485,exponential,mixed,advective,1
20,160,32,0,0.120208791666667,0.011427,0.0169877916666667,0.149258625,3.91916333761856e-07,8.57745880743376e-07,1.39676579482837e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12592335852224e-08,-6.82121026329696e-13,-0.000626612976702745,-0.00317005370379775,-999.809692073041,-0.179994526117708,exponential,mixed,split,1
10,160,64,0,0.2692895,0.0164178333333333,0.0158283333333333,0.302204541666667,3.91916374209922e-07,8.57745871447292e-07,1.39757638559082e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12589886700232e-08,-7.95807864051312e-13,-0.000626612973519514,-0.00317005372380663,-999.809692073037,-0.179994526123137,exponential,mixed,split,1
5,160,128,0,0.556407166666667,0.0112552083333333,0.0190504166666667,0.587419791666667,3.91916396845781e-07,8.57745874802552e-07,1.3976055839257e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12590848153371e-08,-4.54747350886464e-13,-0.00062661297079103,-0.00317005372562562,-999.809692073037,-0.179994526123476,exponential,mixed,split,1
20,160,32,0,0.125043166666667,0.0117897916666667,0.0166645416666667,0.155152125,3.91916333761856e-07,8.57745880743376e-07,1.39676579482837e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12592335852224e-08,-6.82121026329696e-13,-0.000626612976702745,-0.00317005370379775,-999.809692073041,-0.179994526117708,exponential,mixed,compatible,1
10,160,64,0,0.234950208333333,0.011194625,0.0271297083333333,0.27391375,3.91916374209959e-07,8.57745871447292e-07,1.39757638559082e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12589886700232e-08,-7.95807864051312e-13,-0.000626612973519514,-0.00317005372380663,-999.809692073037,-0.179994526123137,exponential,mixed,compatible,1
5,160,128,0,0.467864541666667,0.0128292083333333,0.0148360416666667,0.4962915,3.91916396845786e-07,8.57745874802552e-07,1.3976055839257e-07,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,4.12590848153371e-08,-4.54747350886464e-13,-0.00062661297079103,-0.00317005372562562,-999.809692073037,-0.179994526123476,exponential,mixed,compatible,1
20,160,32,0,0.1935735,0.0193792916666667,0.0255984583333333,0.239272041666667,3.91948642103641e-07,8.57745865920363e-07,1.50393459419133e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12593312848486e-08,3.41060513164848e-13,-0.000626612979885977,-0.00317005372016865,-999.809985254093,-0.179994526125475,exponential,mixed,divergence,2
10,160,64,0,0.376923208333333,0.0228925833333333,0.0262054583333333,0.426812375,3.91948579597317e-07,8.57745870798007e-07,1.50433982401747e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.125910568753e-08,-5.6843418860808e-13,-0.000626612972610019,-0.00317005373835855,-999.809985254089,-0.179994526130906,exponential,mixed,divergence,2
5,160,128,0,0.825601291666667,0.0256710416666667,0.03128475,0.883329083333333,3.91948600977237e-07,8.57745872206382e-07,1.50441774818868e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12591139031804e-08,-6.82121026329696e-13,-0.000626612975338503,-0.00317005373472057,-999.809985254088,-0.179994526131245,exponential,mixed,divergence,2
20,160,32,0,0.190824416666667,0.0183381666666667,0.02356625,0.233404708333333,3.91948642099541e-07,8.57745866068899e-07,1.50393459414425e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12593312848486e-08,3.41060513164848e-13,-0.000626612979885977,-0.00317005372016865,-999.809985254093,-0.179994526125468,exponential,mixed,advective,2
10,160,64,0,0.408828791666667,0.0174220416666667,0.027841125,0.454801166666667,3.91948579593175e-07,8.57745870764886e-07,1.50433982404195e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12591059095746e-08,-5.6843418860808e-13,-0.000626612972610019,-0.00317005373835855,-999.809985254089,-0.179994526130899,exponential,mixed,advective,2
5,160,128,0,0.832373041666667,0.023378,0.0260333333333333,0.882563833333333,3.91948600973109e-07,8.57745872206382e-07,1.50441774811549e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.1259114125225e-08,-6.82121026329696e-13,-0.000626612975338503,-0.00317005373472057,-999.809985254088,-0.179994526131238,exponential,mixed,advective,2
20,160,32,0,0.229618666666667,0.0185820416666667,0.0253479583333333,0.274264041666667,3.91948642101539e-07,8.57745866068899e-07,1.50393459414118e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.1259331062804e-08,3.41060513164848e-13,-0.000626612979885977,-0.00317005372016865,-999.809985254093,-0.179994526125472,exponential,mixed,split,2
10,160,64,0,0.480266875,0.0251519166666667,0.0326410833333333,0.53869025,3.91948579595266e-07,8.57745870798007e-07,1.50433982405569e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12591063536638e-08,-5.6843418860808e-13,-0.000626612972610019,-0.00317005373835855,-999.809985254089,-0.179994526130903,exponential,mixed,split,2
5,160,128,0,0.954904208333333,0.017000875,0.03219425,1.00476891666667,3.91948600975064e-07,8.57745872206382e-07,1.50441774814545e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12591139031804e-08,-6.82121026329696e-13,-0.000626612975338503,-0.00317005373472057,-999.809985254088,-0.179994526131242,exponential,mixed,split,2
20,160,32,0,0.202180666666667,0.0176641666666667,0.0242682083333333,0.244729,3.91948642101623e-07,8.57745866068899e-07,1.50393459414118e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.1259331062804e-08,3.41060513164848e-13,-0.000626612979885977,-0.00317005372016865,-999.809985254093,-0.179994526125472,exponential,mixed,compatible,2
10,160,64,0,0.4401425,0.0202700833333333,0.0298697083333333,0.49107875,3.91948579595271e-07,8.57745870798007e-07,1.50433982405569e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12591063536638e-08,-5.6843418860808e-13,-0.000626612972610019,-0.00317005373835855,-999.809985254089,-0.179994526130903,exponential,mixed,compatible,2
5,160,128,0,0.881849,0.0190704583333333,0.0233239166666667,0.925080833333333,3.91948600975067e-07,8.57745872206382e-07,1.50441774814545e-07,8.63462575135546e-16,7.2299237483282e-13,7.02098798870568e-17,1.17546558336375,4.12591139031804e-08,-6.82121026329696e-13,-0.000626612975338503,-0.00317005373472057,-999.809985254088,-0.179994526131242,exponential,mixed,compatible,2
20,160,32,0,0.237200375,0.0236033333333333,0.0344124166666667,0.29592675,3.91571749515456e-07,8.57745684231672e-07,6.28619666791208e-08,3.37738008258291e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,4.12607998878656e-08,-2.72848410531878e-12,-0.000626611354618944,-0.00317004553289735,-999.809985254016,-0.17999452622192,exponential,mixed,divergence,3
10,160,64,0,0.495322458333333,0.0248245,0.0387261666666667,0.55966525,3.91571707084226e-07,8.57745675996853e-07,6.27413060269121e-08,3.37738008258291e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,4.12605829502866e-08,-1.59161572810262e-12,-0.000626611346888239,-0.00317004556563916,-999.809985254012,-0.179994526227351,exponential,mixed,divergence,3
5,160,128,0,1.00331366666667,0.0223308333333333,0.0355569166666667,1.0619155,3.91571706006643e-07,8.57745677749497e-07,6.27348847190271e-08,3.37738008258291e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,4.12605787314391e-08,-9.09494701772928e-13,-0.000626611344159755,-0.00317004556745815,-999.809985254011,-0.17999452622769,exponential,mixed,divergence,3
20,160,32,0,0.274083416666667,0.0226567916666667,0.035241625,0.332637583333333,3.91571749514838e-07,8.57745684218354e-07,6.28619666864751e-08,3.37738008258291e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,4.12607998878656e-08,-2.72848410531878e-12,-0.000626611354618944,-0.00317004553289735,-999.809985254016,-0.179994526221919,exponential,mixed,advective,3
10,160,64,0,0.5439075,0.0215913333333333,0.0318659166666667,0.598104416666667,3.91571707083519e-07,8.57745675985612e-07,6.27413060407228e-08,3.37738008258291e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,4.1260582728242e-08,-1.59161572810262e-12,-0.000626611346888239,-0.00317004556563916,-999.809985254012,-0.17999452622735,exponential,mixed,advective,3
5,160,128,0,1.071026625,0.0233005416666667,0.0331331666666667,1.12820791666667,3.9157170600601e-07,8.57745677749497e-07,6.27348847367946e-08,3.37738008258291e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,4.12605791755283e-08,-9.09494701772928e-13,-0.000626611344159755,-0.00317004556745815,-999.809985254011,-0.179994526227689,exponential,mixed,advective,3
20,160,32,0,0.300343708333333,0.0228057083333333,0.0338971666666667,0.357776125,3.91571749515137e-07,8.57745684216646e-07,6.28619666757019e-08,3.37738008258291e-16,7.43524378545095e-13,7.20307059382787e-17,1.17546574196234,4.12607998878656e-08,-2.72848410531878e-12,-0.000626611354618944,-0.00317004553289735,-999.809985254016,-0.17999452622192,exponential,mixed,split,3
