deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,scenario,form,config
20,160,32,0,0.10194425,0.0121130416666667,0.0164979166666667,0.131812083333333,3.89483647740635e-07,8.6782065968119e-07,1.40097368761495e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.6880776876913e-08,6.82121026329696e-13,-0.000637577485576912,-0.003212106976207,-999.800062390272,-0.199917748306646,exponential,waves,divergence,1
10,160,64,0,0.198851875,0.0117594166666667,0.0175009166666667,0.229288125,3.89483697619312e-07,8.67820650612355e-07,1.4017790148655e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68805272987771e-08,2.27373675443232e-13,-0.000637577481029439,-0.00321210698530194,-999.800062390268,-0.199917748312144,exponential,waves,divergence,1
5,160,128,0,0.488270583333333,0.0130788333333333,0.0174199166666667,0.520073,3.89483720760097e-07,8.67820655176989e-07,1.4018078229541e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68806243322695e-08,4.54747350886464e-13,-0.000637577481484186,-0.00321210698712093,-999.800062390267,-0.199917748312488,exponential,waves,divergence,1
20,160,32,0,0.10457975,0.0119495833333333,0.017163875,0.135029708333333,3.89483647723971e-07,8.67820660570996e-07,1.40097362226023e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68807773210023e-08,6.82121026329696e-13,-0.000637577485576912,-0.00321210697438801,-999.800062390272,-0.199917748306651,exponential,waves,advective,1
10,160,64,0,0.207078625,0.011856,0.0176700833333333,0.237740708333333,3.89483697602715e-07,8.67820650906114e-07,1.4017789495382e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68805279649109e-08,3.41060513164848e-13,-0.000637577481029439,-0.00321210698348295,-999.800062390268,-0.199917748312148,exponential,waves,advective,1
5,160,128,0,0.402851916666667,0.0115275,0.016491625,0.432143375,3.89483720743421e-07,8.67820655176989e-07,1.40180775761791e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68806241102249e-08,4.54747350886464e-13,-0.000637577481484186,-0.00321210698530194,-999.800062390267,-0.199917748312493,exponential,waves,advective,1
20,160,32,0,0.115457416666667,0.011223625,0.016107125,0.143994791666667,3.89483647732353e-07,8.67820660570996e-07,1.4009736549537e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68807770989577e-08,6.82121026329696e-13,-0.000637577485576912,-0.003212106976207,-999.800062390272,-0.199917748306648,exponential,waves,split,1
10,160,64,0,0.229155208333333,0.0111693333333333,0.0173873333333333,0.25899025,3.89483697611008e-07,8.67820650906114e-07,1.40177898221647e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68805277428663e-08,2.27373675443232e-13,-0.000637577481029439,-0.00321210698348295,-999.800062390268,-0.199917748312146,exponential,waves,split,1
5,160,128,0,0.454506666666667,0.0114075416666667,0.01600375,0.483128916666667,3.89483720751729e-07,8.67820655176989e-07,1.40180779026396e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68806243322695e-08,4.54747350886464e-13,-0.000637577481484186,-0.00321210698712093,-999.800062390267,-0.199917748312491,exponential,waves,split,1
20,160,32,0,0.102249208333333,0.0108625833333333,0.0162525416666667,0.130621875,3.89483647732352e-07,8.67820660570996e-07,1.4009736549537e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68807770989577e-08,6.82121026329696e-13,-0.000637577485576912,-0.003212106976207,-999.800062390272,-0.199917748306648,exponential,waves,compatible,1
10,160,64,0,0.205470666666667,0.0113695,0.016478,0.2344405,3.89483697611005e-07,8.67820650906114e-07,1.40177898221647e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68805277428663e-08,2.27373675443232e-13,-0.000637577481029439,-0.00321210698348295,-999.800062390268,-0.199917748312146,exponential,waves,compatible,1
5,160,128,0,0.406959625,0.0110272916666667,0.0161184583333333,0.435119791666667,3.89483720751729e-07,8.67820655176989e-07,1.40180779026396e-07,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,3.68806243322695e-08,4.54747350886464e-13,-0.000637577481484186,-0.00321210698712093,-999.800062390267,-0.199917748312491,exponential,waves,compatible,1
20,160,32,0,0.192271083333333,0.0177165,0.0243884583333333,0.235203666666667,3.89516162329836e-07,8.67820654981774e-07,1.50786915843619e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68808743544946e-08,-1.59161572810262e-12,-0.000637577488305396,-0.00321210696529306,-999.800062971916,-0.199916367582638,exponential,waves,divergence,2
10,160,64,0,0.380271791666667,0.0181678333333333,0.0241640416666667,0.423394041666667,3.89516108584226e-07,8.67820629830809e-07,1.50826932477823e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68806463146854e-08,-1.25055521493778e-12,-0.000637577483757923,-0.00321210698166396,-999.800062971911,-0.199916367588153,exponential,waves,divergence,2
5,160,128,0,0.757187625,0.0172695,0.023805125,0.799033833333333,3.89516130573814e-07,8.67820633381471e-07,1.50834691895811e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68806531980681e-08,-7.95807864051312e-13,-0.000637577487395902,-0.0032121069925779,-999.800062971911,-0.199916367588497,exponential,waves,divergence,2
20,160,32,0,0.187484,0.0169606666666667,0.0236480833333333,0.228802875,3.89516162325743e-07,8.67820656791742e-07,1.50786915836368e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68808745765392e-08,-1.59161572810262e-12,-0.000637577488305396,-0.00321210696529306,-999.800062971916,-0.199916367582644,exponential,waves,advective,2
10,160,64,0,0.373063083333333,0.0169994583333333,0.0234732083333333,0.414332708333333,3.89516108580259e-07,8.67820629840304e-07,1.5082693247371e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68806463146854e-08,-1.25055521493778e-12,-0.000637577483757923,-0.00321210698166396,-999.800062971911,-0.199916367588158,exponential,waves,advective,2
5,160,128,0,0.740626708333333,0.0180977916666667,0.0257745416666667,0.785279166666667,3.89516130569659e-07,8.67820634978829e-07,1.50834691893211e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68806531980681e-08,-7.95807864051312e-13,-0.000637577487395902,-0.0032121069925779,-999.800062971911,-0.199916367588503,exponential,waves,advective,2
20,160,32,0,0.227153,0.016467875,0.0238019583333333,0.268050375,3.89516162327686e-07,8.67820656791742e-07,1.50786915840822e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68808739104054e-08,-1.59161572810262e-12,-0.000637577488305396,-0.00321210696529306,-999.800062971916,-0.199916367582641,exponential,waves,split,2
10,160,64,0,0.44988225,0.017395625,0.023634125,0.491677125,3.89516108582274e-07,8.67820629830809e-07,1.50826932474047e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.688064653673e-08,-1.25055521493778e-12,-0.000637577483757923,-0.00321210698166396,-999.800062971911,-0.199916367588155,exponential,waves,split,2
5,160,128,0,0.9004865,0.0167445416666667,0.022709,0.940660916666667,3.89516130571706e-07,8.67820634978829e-07,1.50834691900422e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68806531980681e-08,-7.95807864051312e-13,-0.000637577487395902,-0.0032121069925779,-999.800062971911,-0.1999163675885,exponential,waves,split,2
20,160,32,0,0.209993291666667,0.0169546666666667,0.023350375,0.251002083333333,3.89516162327733e-07,8.67820656791742e-07,1.50786915840822e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68808739104054e-08,-1.59161572810262e-12,-0.000637577488305396,-0.00321210696529306,-999.800062971916,-0.199916367582641,exponential,waves,compatible,2
10,160,64,0,0.417462583333333,0.0173125416666667,0.0239625,0.459429416666667,3.89516108582251e-07,8.67820629830809e-07,1.50826932474047e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.688064653673e-08,-1.25055521493778e-12,-0.000637577483757923,-0.00321210698166396,-999.800062971911,-0.199916367588155,exponential,waves,compatible,2
5,160,128,0,0.831097083333333,0.0175280416666667,0.023924375,0.873352125,3.8951613057172e-07,8.67820634978829e-07,1.50834691901266e-07,8.60474749058809e-16,7.21309561888128e-13,5.19831397816476e-17,1.17345070129463,3.68806531980681e-08,-7.95807864051312e-13,-0.000637577487395902,-0.0032121069925779,-999.800062971911,-0.1999163675885,exponential,waves,compatible,2
20,160,32,0,0.237104833333333,0.0221609583333333,0.0326268333333333,0.292538041666667,3.89136814029022e-07,8.67820451224571e-07,6.32420014995689e-08,3.37516548567506e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,3.68823396268425e-08,0,-0.000637575870769069,-0.0032120988053066,-999.800062971839,-0.199916367678755,exponential,waves,divergence,3
10,160,64,0,0.4780825,0.0222922916666667,0.0340703333333333,0.535188291666667,3.89136770502278e-07,8.67820450720118e-07,6.31200438447388e-08,3.37516548567506e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,3.68821193585944e-08,9.09494701772928e-13,-0.000637575864857354,-0.00321209884168638,-999.800062971835,-0.199916367684269,exponential,waves,divergence,3
5,160,128,0,0.95739725,0.0225295833333333,0.033956625,1.01473275,3.89136769364129e-07,8.6782045127071e-07,6.31135396092261e-08,3.37516548567506e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,3.68821144736131e-08,1.81898940354586e-12,-0.000637575864402606,-0.00321209882349649,-999.800062971834,-0.199916367684613,exponential,waves,divergence,3
