profile,amplitude,time,config,form,family,rmsError,referenceRMS
constant,0.0001,327,1,divergence,Ag_q,1.83519222711211e-30,2.18119999087245e-19
constant,0.0001,327,1,divergence,Ag_0,9.22118267707764e-26,3.74462968660947e-17
constant,0.0001,327,1,divergence,Aw_p,4.73187843744847e-14,7.17738619183951e-14
constant,0.0001,327,1,divergence,Aw_m,4.73187843743883e-14,3.65456028345694e-14
constant,0.0001,327,1,divergence,Aio,1.0556251370087e-22,3.55607480344103e-13
constant,0.0001,327,1,divergence,Amda,8.36239788991093e-24,1.15039457293025e-13
constant,0.0001,327,1,advective,Ag_q,3.83593721644279e-30,2.18119999087245e-19
constant,0.0001,327,1,advective,Ag_0,8.60593179970989e-26,3.74462968660947e-17
constant,0.0001,327,1,advective,Aw_p,4.73187843744847e-14,7.17738619183951e-14
constant,0.0001,327,1,advective,Aw_m,4.73187843743883e-14,3.65456028345694e-14
constant,0.0001,327,1,advective,Aio,1.05605603127022e-22,3.55607480344103e-13
constant,0.0001,327,1,advective,Amda,9.74896989262882e-25,1.15039457293025e-13
constant,0.0001,327,1,split,Ag_q,1.38787758815259e-30,2.18119999087245e-19
constant,0.0001,327,1,split,Ag_0,8.02009569343245e-26,3.74462968660947e-17
constant,0.0001,327,1,split,Aw_p,4.73187843744847e-14,7.17738619183951e-14
constant,0.0001,327,1,split,Aw_m,4.73187843743883e-14,3.65456028345694e-14
constant,0.0001,327,1,split,Aio,1.05584028855468e-22,3.55607480344103e-13
constant,0.0001,327,1,split,Amda,4.63524401636332e-24,1.15039457293025e-13
constant,0.0001,327,1,compatible,Ag_q,7.75586871155504e-29,2.18119999087245e-19
constant,0.0001,327,1,compatible,Ag_0,1.68365794725216e-24,3.74462968660947e-17
constant,0.0001,327,1,compatible,Aw_p,4.7318784374414e-14,7.17738619183951e-14
constant,0.0001,327,1,compatible,Aw_m,4.73187843742973e-14,3.65456028345694e-14
constant,0.0001,327,1,compatible,Aio,3.13365133880597e-24,3.55607480344103e-13
constant,0.0001,327,1,compatible,Amda,4.63587301476556e-24,1.15039457293025e-13
constant,0.0001,327,2,divergence,Ag_q,3.81260198778139e-30,2.18119999087245e-19
constant,0.0001,327,2,divergence,Ag_0,5.62905513460214e-26,3.74462968660947e-17
constant,0.0001,327,2,divergence,Aw_p,1.16595139381004e-14,7.17738619183951e-14
constant,0.0001,327,2,divergence,Aw_m,1.16595139381004e-14,3.65456028345694e-14
constant,0.0001,327,2,divergence,Aio,5.65969627327495e-27,3.55607480344103e-13
constant,0.0001,327,2,divergence,Amda,9.75837656089246e-25,1.15039457293025e-13
constant,0.0001,327,2,advective,Ag_q,3.81684541830781e-30,2.18119999087245e-19
constant,0.0001,327,2,advective,Ag_0,5.6352883041885e-26,3.74462968660947e-17
constant,0.0001,327,2,advective,Aw_p,1.16595139381004e-14,7.17738619183951e-14
constant,0.0001,327,2,advective,Aw_m,1.16595139381004e-14,3.65456028345694e-14
constant,0.0001,327,2,advective,Aio,5.72649534570976e-27,3.55607480344103e-13
constant,0.0001,327,2,advective,Amda,9.76204803433703e-25,1.15039457293025e-13
constant,0.0001,327,2,split,Ag_q,3.81474963275225e-30,2.18119999087245e-19
constant,0.0001,327,2,split,Ag_0,5.63217199693031e-26,3.74462968660947e-17
constant,0.0001,327,2,split,Aw_p,1.16595139381004e-14,7.17738619183951e-14
constant,0.0001,327,2,split,Aw_m,1.16595139381004e-14,3.65456028345694e-14
constant,0.0001,327,2,split,Aio,5.70059701489745e-27,3.55607480344103e-13
constant,0.0001,327,2,split,Amda,9.76010742482197e-25,1.15039457293025e-13
constant,0.0001,327,2,compatible,Ag_q,3.81462215772431e-30,2.18119999087245e-19
constant,0.0001,327,2,compatible,Ag_0,5.63217142229391e-26,3.74462968660947e-17
constant,0.0001,327,2,compatible,Aw_p,1.16595139381004e-14,7.17738619183951e-14
constant,0.0001,327,2,compatible,Aw_m,1.16595139381004e-14,3.65456028345694e-14
constant,0.0001,327,2,compatible,Aio,5.76049507766108e-27,3.55607480344103e-13
constant,0.0001,327,2,compatible,Amda,9.76010742482197e-25,1.15039457293025e-13
constant,0.0001,327,3,divergence,Ag_q,1.76489000784995e-30,1.00969939658671e-19
constant,0.0001,327,3,divergence,Ag_0,2.60696817977857e-26,1.73342671503402e-17
constant,0.0001,327,3,divergence,Aw_p,5.47410096415267e-15,3.322484930449e-14
constant,0.0001,327,3,divergence,Aw_m,5.47410096415267e-15,1.69173411746406e-14
constant,0.0001,327,3,divergence,Aio,5.65033001019441e-27,3.55607480344103e-13
constant,0.0001,327,3,divergence,Amda,9.75915770552009e-25,1.15039457293025e-13
constant,0.0001,327,3,advective,Ag_q,1.76687715826758e-30,1.00969939658671e-19
constant,0.0001,327,3,advective,Ag_0,2.60987009483745e-26,1.73342671503402e-17
constant,0.0001,327,3,advective,Aw_p,5.47410096415267e-15,3.322484930449e-14
constant,0.0001,327,3,advective,Aw_m,5.47410096415267e-15,1.69173411746406e-14
constant,0.0001,327,3,advective,Aio,5.73651042363683e-27,3.55607480344103e-13
constant,0.0001,327,3,advective,Amda,9.7621179338735e-25,1.15039457293025e-13
constant,0.0001,327,3,split,Ag_q,1.7658817534882e-30,1.00969939658671e-19
constant,0.0001,327,3,split,Ag_0,2.60841907553767e-26,1.73342671503402e-17
constant,0.0001,327,3,split,Aw_p,5.47410096415267e-15,3.322484930449e-14
constant,0.0001,327,3,split,Aw_m,5.47410096415267e-15,1.69173411746406e-14
constant,0.0001,327,3,split,Aio,5.68448191688933e-27,3.55607480344103e-13
constant,0.0001,327,3,split,Amda,9.76056789773948e-25,1.15039457293025e-13
constant,0.0001,327,3,compatible,Ag_q,1.765836216931e-30,1.00969939658671e-19
constant,0.0001,327,3,compatible,Ag_0,2.60841900288425e-26,1.73342671503402e-17
constant,0.0001,327,3,compatible,Aw_p,5.47410096415267e-15,3.322484930449e-14
constant,0.0001,327,3,compatible,Aw_m,5.47410096415267e-15,1.69173411746406e-14
constant,0.0001,327,3,compatible,Aio,5.76036874549177e-27,3.55607480344103e-13
constant,0.0001,327,3,compatible,Amda,9.76063779318632e-25,1.15039457293025e-13
constant,0.0001,327,4,divergence,Ag_q,1.75270784631735e-30,1.00969939658671e-19
constant,0.0001,327,4,divergence,Ag_0,2.60211467782333e-26,1.73342671503402e-17
constant,0.0001,327,4,divergence,Aw_p,1.30259575378042e-15,3.322484930449e-14
constant,0.0001,327,4,divergence,Aw_m,1.30259575378042e-15,1.69173411746406e-14
constant,0.0001,327,4,divergence,Aio,6.31817878175205e-27,3.55607480344103e-13
constant,0.0001,327,4,divergence,Amda,9.88376272619859e-25,1.15039457293025e-13
constant,0.0001,327,4,advective,Ag_q,1.76723450316522e-30,1.00969939658671e-19
constant,0.0001,327,4,advective,Ag_0,2.62339585190621e-26,1.73342671503402e-17
constant,0.0001,327,4,advective,Aw_p,1.30259575378042e-15,3.322484930449e-14
constant,0.0001,327,4,advective,Aw_m,1.30259575378042e-15,1.69173411746406e-14
constant,0.0001,327,4,advective,Aio,6.37506698495619e-27,3.55607480344103e-13
constant,0.0001,327,4,advective,Amda,9.76305117861408e-25,1.15039457293025e-13
constant,0.0001,327,4,split,Ag_q,1.75997680516954e-30,1.00969939658671e-19
constant,0.0001,327,4,split,Ag_0,2.61274486887911e-26,1.73342671503402e-17
constant,0.0001,327,4,split,Aw_p,1.30259575378042e-15,3.322484930449e-14
constant,0.0001,327,4,split,Aw_m,1.30259575378042e-15,1.69173411746406e-14
constant,0.0001,327,4,split,Aio,6.33067263348983e-27,3.55607480344103e-13
constant,0.0001,327,4,split,Amda,9.82326261325821e-25,1.15039457293025e-13
constant,0.0001,327,4,compatible,Ag_q,1.75996506337705e-30,1.00969939658671e-19
constant,0.0001,327,4,compatible,Ag_0,2.61274471955671e-26,1.73342671503402e-17
constant,0.0001,327,4,compatible,Aw_p,1.30259575378042e-15,3.322484930449e-14
constant,0.0001,327,4,compatible,Aw_m,1.30259575378042e-15,1.69173411746406e-14
constant,0.0001,327,4,compatible,Aio,6.25513060910517e-27,3.55607480344103e-13
constant,0.0001,327,4,compatible,Amda,9.82344342139483e-25,1.15039457293025e-13
