deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,scenario,form,config
20,2000,400,0,1.36118395833333,0.123166458333333,0.174652708333333,1.674813875,4.59803440606677e-06,6.08026325313058e-06,1.32195569501754e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.97292815815342e-08,6.82121026329696e-13,0.000977252936536388,0.00490245014043467,-999.800082033498,-0.199878703181488,waves,divergence,1
10,2000,800,0,2.41524666666667,0.130174,0.1864345,2.74514770833333,4.59803438990169e-06,6.08026320384789e-06,1.32200801980174e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.9735672025264e-08,5.6843418860808e-13,0.000977252930169925,0.00490245016408153,-999.800082033494,-0.19987870318699,waves,divergence,1
20,2000,400,0,1.27140754166667,0.112526375,0.169251791666667,1.57063320833333,4.59803440235753e-06,6.08026326343235e-06,1.32195646450665e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.97292835799357e-08,4.54747350886464e-13,0.000977252936536388,0.00490245013133972,-999.800082033497,-0.199878703178948,waves,advective,1
10,2000,800,0,2.45280208333333,0.118307916666667,0.180884583333333,2.769122875,4.59803438619279e-06,6.08026320301033e-06,1.32200878927644e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.97356744677546e-08,5.6843418860808e-13,0.000977252931534167,0.00490245016590052,-999.800082033493,-0.199878703184449,waves,advective,1
20,2000,400,0,1.475835875,0.116191083333333,0.179448375,1.78835754166667,4.598034404208e-06,6.08026326170016e-06,1.32195607975077e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.97292831358465e-08,5.6843418860808e-13,0.000977252938355377,0.00490245016226254,-999.800082033497,-0.199878703180218,waves,split,1
10,2000,800,0,2.88844816666667,0.108604833333333,0.162256083333333,3.176805,4.59803438804297e-06,6.08026320491985e-06,1.32200840453098e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.97356733575316e-08,4.54747350886464e-13,0.000977252930624672,0.00490245015498658,-999.800082033493,-0.199878703185719,waves,split,1
20,2000,400,0,1.286294125,0.130159208333333,0.180724291666667,1.61161575,4.59803440420798e-06,6.08026326170016e-06,1.32195607975077e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.97292831358465e-08,5.6843418860808e-13,0.000977252938355377,0.00490245016226254,-999.800082033497,-0.199878703180218,waves,compatible,1
10,2000,800,0,2.406776625,0.110641041666667,0.163699125,2.69445933333333,4.59803438804301e-06,6.08026320491985e-06,1.32200840453098e-06,3.3116666286523e-14,1.26070959234989e-10,4.86891366586258e-17,1.17345070129464,-4.97356733575316e-08,4.54747350886464e-13,0.000977252930624672,0.00490245015498658,-999.800082033493,-0.199878703185719,waves,compatible,1
20,2000,400,0,2.96929275,0.242601083333333,0.3758425,3.60374775,1.8975553450429e-07,2.77703658218324e-07,3.98984929585613e-07,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,-5.92372240149075e-09,1.02318153949454e-12,-2.03926538233645e-06,8.26994437375106e-07,-999.800001121974,-0.19998792022407,waves,divergence,2
10,2000,800,0,5.92617925,0.243860875,0.353919,6.53692516666667,1.89756379741615e-07,2.77703664426986e-07,3.9894016589117e-07,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,-5.92409499233781e-09,1.81898940354586e-12,-2.03920262720203e-06,8.2737096818164e-07,-999.800001121974,-0.199987920224271,waves,divergence,2
20,2000,400,0,3.177693375,0.245001875,0.391310583333333,3.82752183333333,1.89755534445351e-07,2.77703658362778e-07,3.9898493162134e-07,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,-5.92372262353535e-09,1.02318153949454e-12,-2.0392649275891e-06,8.26992618385702e-07,-999.800001121974,-0.199987920224085,waves,advective,2
