nx,nz,scenario,form,rmsError,maxError,scalarBudgetDefect
8,9,oscillatory,divergence,0.000184475830509867,0.000531195389991226,-0.039328603482627
8,9,oscillatory,advective,2.98917063457912e-05,9.04347985795154e-05,0.039328603482627
8,9,oscillatory,split,9.66650114282484e-05,0.000265597694995613,1.73472347597681e-18
8,9,oscillatory,compatible,9.88716924370068e-05,0.000265597694995613,1.73472347597681e-18
8,9,boundary,divergence,8.46472267418383e-05,0.000338314476311683,-0.00131690582303706
8,9,boundary,advective,8.10105120264982e-07,2.58512835505142e-06,0.00131811868397851
8,9,boundary,split,4.23080279000222e-05,0.000169157238155841,6.06430470727803e-07
8,9,boundary,compatible,4.23657768727708e-05,0.000169157238155841,-1.0842021724855e-19
8,17,oscillatory,divergence,0.000142069935694144,0.000347751083158435,-0.0238327198134632
8,17,oscillatory,advective,2.10650227976688e-08,5.94605816396751e-08,0.0238327198134632
8,17,oscillatory,split,7.10350909547333e-05,0.000173875541579218,1.73472347597681e-18
8,17,oscillatory,compatible,7.1034444118618e-05,0.000173875541579218,0
8,17,boundary,divergence,7.73758504489242e-05,0.00034645614229045,-0.00138641291365397
8,17,boundary,advective,1.1529103231104e-09,3.47829637560169e-09,0.00138641680513842
8,17,boundary,split,3.86879251256218e-05,0.000173228071145225,1.94574222651869e-09
8,17,boundary,compatible,3.86904437800498e-05,0.000173228071145225,-5.42101086242752e-20
8,33,oscillatory,divergence,0.000140465255168424,0.000346470405006799,-0.0238246422215608
8,33,oscillatory,advective,1.35397012914568e-19,5.96311194867027e-19,0.0238246422215608
8,33,oscillatory,split,7.02326275842119e-05,0.0001732352025034,-8.67361737988404e-19
8,33,oscillatory,compatible,7.02326123397183e-05,0.0001732352025034,3.46944695195361e-18
8,33,boundary,divergence,7.28584245957099e-05,0.000346470407117397,-0.00138647965450351
8,33,boundary,advective,2.05245847301044e-19,6.17541612468813e-19,0.00138647965450384
8,33,boundary,split,3.64292122978549e-05,0.000173235203558698,1.64148208914305e-16
8,33,boundary,compatible,3.64293223392792e-05,0.000173235203558698,5.42101086242752e-20
8,65,oscillatory,divergence,0.000139626886056666,0.000346470405006706,-0.0238246422183333
8,65,oscillatory,advective,1.60632597672201e-19,7.86046575051991e-19,0.0238246422183333
8,65,oscillatory,split,6.98134430283328e-05,0.000173235202503353,6.93889390390723e-18
8,65,oscillatory,compatible,6.98134421174997e-05,0.000173235202503353,-8.67361737988404e-19
8,65,boundary,divergence,7.03796699683862e-05,0.000346470407117401,-0.00138647965450581
8,65,boundary,advective,3.4077464198439e-20,1.35525271560688e-19,0.00138647965450581
8,65,boundary,split,3.51898349841931e-05,0.0001732352035587,6.50521303491303e-19
8,65,boundary,compatible,3.51898414418615e-05,0.0001732352035587,5.42101086242752e-20
16,9,oscillatory,divergence,8.99186984158709e-05,0.00026027270368099,-1.04083408558608e-17
16,9,oscillatory,advective,3.37042078225962e-05,0.000120984806322964,1.21430643318376e-17
16,9,oscillatory,split,5.78672117070402e-05,0.000151002995971806,0
16,9,oscillatory,compatible,6.34745720838967e-05,0.000164426189903527,-5.20417042793042e-18
16,9,boundary,divergence,2.04572429233906e-06,1.14914945697036e-05,-3.52417739166475e-06
16,9,boundary,advective,9.13428996515103e-07,3.45841709461983e-06,-1.10230261197168e-05
16,9,boundary,split,1.00196062486694e-06,5.74574728485178e-06,-7.27360175569055e-06
16,9,boundary,compatible,1.21357156481594e-06,5.74574728485178e-06,-5.42101086242752e-20
16,17,oscillatory,divergence,4.32355038965266e-07,1.80444223679227e-06,-1.64798730217797e-17
16,17,oscillatory,advective,2.37517356134573e-08,7.95471109188222e-08,-2.60208521396521e-18
