profile,amplitude,time,config,continuityMax,sbpMatrixNorm,transportBottomMax
constant,0.0001,327,1,2.14239778651234e-22,2.47709338195665,2.66215470209362e-21
constant,0.0001,327,2,5.55865371635635e-22,2.93856322099309,2.66215470209362e-21
constant,0.0001,327,3,5.57519732860741e-22,2.93856322099309,2.7141663490953e-21
constant,0.0001,327,4,6.54713454835721e-21,3.32590972486454,2.7141663490953e-21
constant,0.0001,327,5,6.04565630199694e-20,3.65348319539264,2.7141663490953e-21
constant,0.0001,327,6,6.1592695591311e-20,3.65348319539264,2.71703563189257e-21
constant,0.0001,327,7,3.31000871606463e-19,3.93232656189846,2.7141663490953e-21
constant,0.0001,901,1,3.93944766728379e-22,2.47709338195665,3.98735808980718e-21
constant,0.0001,901,2,5.98051582875839e-22,2.93856322099309,3.98735808980718e-21
constant,0.0001,901,3,6.13974809667485e-22,2.93856322099309,3.98735808980718e-21
constant,0.0001,901,4,5.89924533357506e-21,3.32590972486454,3.98735808980718e-21
constant,0.0001,901,5,6.27681192417488e-20,3.65348319539264,4.00375305465959e-21
constant,0.0001,901,6,6.32592577304522e-20,3.65348319539264,4.01185554784047e-21
constant,0.0001,901,7,5.73169162869631e-19,3.93232656189846,4.00375305465959e-21
constant,0.1,327,1,2.18110983917982e-19,2.47709338195665,2.66116336622688e-18
constant,0.1,327,2,4.62479989200848e-19,2.93856322099309,2.66116336622688e-18
constant,0.1,327,3,6.24263282126419e-19,2.93856322099309,2.71317501322857e-18
constant,0.1,327,4,7.23196730365722e-18,3.32590972486454,2.71317501322857e-18
constant,0.1,327,5,6.29235365526802e-17,3.65348319539264,2.71317501322857e-18
constant,0.1,327,6,6.76042406192075e-17,3.65348319539264,2.7152894855578e-18
constant,0.1,327,7,3.3834265209952e-16,3.93232656189846,2.71317501322857e-18
constant,0.1,901,1,1.3976043629696e-19,2.47709338195665,3.11832940372005e-18
constant,0.1,901,2,6.75508775435305e-19,2.93856322099309,3.11832940372005e-18
constant,0.1,901,3,6.7466174248805e-19,2.93856322099309,3.11832940372005e-18
constant,0.1,901,4,6.64793808652538e-18,3.32590972486454,3.11832940372005e-18
constant,0.1,901,5,6.19325080043927e-17,3.65348319539264,3.11832940372005e-18
constant,0.1,901,6,6.63070096604875e-17,3.65348319539264,3.11832940372005e-18
constant,0.1,901,7,4.04332871437735e-16,3.93232656189846,3.11832940372005e-18
constant,0.4,327,1,8.00446135155314e-19,2.47709338195665,1.25005407064301e-17
constant,0.4,327,2,1.82366193543851e-18,2.93856322099309,1.25005407064301e-17
constant,0.4,327,3,1.90667116426943e-18,2.93856322099309,1.34640135846121e-17
constant,0.4,327,4,2.87762503170703e-17,3.32590972486454,1.34640135846121e-17
constant,0.4,327,5,2.48998887372558e-16,3.65348319539264,1.34640135846121e-17
constant,0.4,327,6,2.48771035509746e-16,3.65348319539264,1.34640135846121e-17
constant,0.4,327,7,1.73519866146022e-15,3.93232656189846,1.34640135846121e-17
constant,0.4,901,1,8.95313825247795e-19,2.47709338195665,1.28672418947095e-17
constant,0.4,901,2,1.72032391587348e-18,2.93856322099309,1.28672418947095e-17
constant,0.4,901,3,2.05405489709168e-18,2.93856322099309,1.28672418947095e-17
constant,0.4,901,4,2.4568190635111e-17,3.32590972486454,1.28672418947095e-17
constant,0.4,901,5,2.48053598603422e-16,3.65348319539264,1.28672418947095e-17
constant,0.4,901,6,2.55762445456383e-16,3.65348319539264,1.28672418947095e-17
constant,0.4,901,7,1.69810115946932e-15,3.93232656189846,1.28672418947095e-17
exponential,0.0001,327,1,2.48005291255649e-20,2.47709338195668,1.8817292689511e-21
exponential,0.0001,327,2,3.75457280037819e-21,2.93856322099304,1.8817292689511e-21
exponential,0.0001,327,3,4.08130914233664e-21,2.93856322099304,1.90306636160112e-21
exponential,0.0001,327,4,3.11847090932491e-21,3.32590972486481,1.90306636160112e-21
exponential,0.0001,327,5,2.2664748783953e-20,3.6534831953934,1.90918927853363e-21
exponential,0.0001,327,6,2.4411754237665e-20,3.6534831953934,1.91386332934874e-21
exponential,0.0001,327,7,4.56495337469027e-19,3.93232656189558,1.90918927853363e-21
exponential,0.0001,901,1,1.41191458756676e-20,2.47709338195668,7.7450251143045e-22
exponential,0.0001,901,2,3.00349280418004e-21,2.93856322099304,7.7450251143045e-22
exponential,0.0001,901,3,3.35587174512763e-21,2.93856322099304,7.7450251143045e-22
exponential,0.0001,901,4,3.14121837617012e-21,3.32590972486481,7.7450251143045e-22
exponential,0.0001,901,5,3.87745048037294e-20,3.6534831953934,7.78057494526269e-22
exponential,0.0001,901,6,4.11369326331809e-20,3.6534831953934,7.78726895372537e-22
exponential,0.0001,901,7,2.02334995275371e-19,3.93232656189558,7.78057494526269e-22
exponential,0.1,327,1,2.47943484320279e-17,2.47709338195668,1.88896292343415e-18
exponential,0.1,327,2,3.58972563046372e-18,2.93856322099304,1.88896292343415e-18
exponential,0.1,327,3,4.01070100524911e-18,2.93856322099304,1.91030001608418e-18
exponential,0.1,327,4,4.35290231593985e-18,3.32590972486481,1.91030001608418e-18
exponential,0.1,327,5,2.12664562067137e-17,3.6534831953934,1.91524013091825e-18
exponential,0.1,327,6,2.47875721684498e-17,3.6534831953934,1.92033673278239e-18
exponential,0.1,327,7,4.77929023125819e-16,3.93232656189558,1.91524013091825e-18
exponential,0.1,901,1,1.97858426149132e-17,2.47709338195668,1.38967352227603e-18
exponential,0.1,901,2,6.70850094225406e-19,2.93856322099304,1.38967352227603e-18
exponential,0.1,901,3,9.99075361286447e-19,2.93856322099304,1.38967352227603e-18
exponential,0.1,901,4,3.72270980318265e-18,3.32590972486481,1.38967352227603e-18
exponential,0.1,901,5,1.30248256299294e-17,3.6534831953934,1.38967352227603e-18
exponential,0.1,901,6,1.84612948436443e-17,3.6534831953934,1.38967352227603e-18
exponential,0.1,901,7,3.46182789059306e-16,3.93232656189558,1.38967352227603e-18
exponential,0.4,327,1,6.90738427826937e-17,2.47709338195668,4.80593019089597e-18
exponential,0.4,327,2,1.42852106554438e-18,2.93856322099304,4.80593019089597e-18
exponential,0.4,327,3,1.48823688832581e-18,2.93856322099304,5.1096014521861e-18
exponential,0.4,327,4,1.4172555273459e-17,3.32590972486481,5.1096014521861e-18
exponential,0.4,327,5,8.47380230762675e-17,3.6534831953934,5.1096014521861e-18
exponential,0.4,327,6,9.48329617416442e-17,3.6534831953934,5.1096014521861e-18
exponential,0.4,327,7,1.30494065260587e-15,3.93232656189558,5.1096014521861e-18
exponential,0.4,901,1,7.67217032634528e-17,2.47709338195668,5.38056266936141e-18
exponential,0.4,901,2,2.82231378025133e-18,2.93856322099304,5.38056266936141e-18
exponential,0.4,901,3,2.96461531539005e-18,2.93856322099304,5.38056266936141e-18
exponential,0.4,901,4,1.49213323988318e-17,3.32590972486481,5.38056266936141e-18
exponential,0.4,901,5,7.73095441288472e-17,3.6534831953934,5.38056266936141e-18
exponential,0.4,901,6,1.03104238471582e-16,3.6534831953934,5.38056266936141e-18
exponential,0.4,901,7,1.38453803272525e-15,3.93232656189558,5.38056266936141e-18
