profile,nx,nz,apvCount,waveCount,form,setupSeconds,operatorSetupSeconds,medianSeconds,minimumSeconds,maximumSeconds,trial1,trial2,trial3,trial4,trial5
constant,8,33,3,4,production,6.35092329166667,0.0292924583333333,0.00278859444444444,0.00256615416666667,0.00553892361111111,0.00553892361111111,0.00278859444444444,0.00286511527777778,0.00257597083333333,0.00256615416666667
constant,8,33,3,4,divergence,6.35092329166667,0.024768,0.00264824166666667,0.00250582222222222,0.00317780972222222,0.00317780972222222,0.00264824166666667,0.00315866527777778,0.002506075,0.00250582222222222
constant,8,33,3,4,advective,6.35092329166667,0.0194585833333333,0.00268356944444444,0.00245441944444444,0.00310256666666667,0.00310256666666667,0.00269839305555556,0.00268356944444444,0.00262275694444444,0.00245441944444444
constant,8,33,3,4,split,6.35092329166667,0.0129973333333333,0.00329284722222222,0.002903675,0.00365271944444444,0.00365271944444444,0.00329284722222222,0.00346697222222222,0.00304209583333333,0.002903675
constant,8,33,3,4,compatible,6.35092329166667,0.0221695833333333,0.00293690833333333,0.00255790555555556,0.00305712361111111,0.00305712361111111,0.00293690833333333,0.00298630555555556,0.00265767777777778,0.00255790555555556
constant,16,65,3,4,production,14.4534734166667,0.00700383333333333,0.00706649305555556,0.00678960972222222,0.00769975694444444,0.00769975694444444,0.00710674583333333,0.00706649305555556,0.00687084305555556,0.00678960972222222
constant,16,65,3,4,divergence,14.4534734166667,0.00605008333333333,0.00662975833333333,0.00642745416666667,0.0069264875,0.0068723625,0.0069264875,0.00662975833333333,0.00642745416666667,0.00645406527777778
constant,16,65,3,4,advective,14.4534734166667,0.00521283333333333,0.006667175,0.00648980555555556,0.00683873888888889,0.00674297777777778,0.00683873888888889,0.00654124305555556,0.006667175,0.00648980555555556
constant,16,65,3,4,split,14.4534734166667,0.00524279166666667,0.00811039583333333,0.00780628611111111,0.00842603194444445,0.00842603194444445,0.00828353194444444,0.00811039583333333,0.00804628888888889,0.00780628611111111
constant,16,65,3,4,compatible,14.4534734166667,0.005363875,0.00751072222222222,0.00722491805555556,0.00809363055555556,0.00809363055555556,0.00768889166666667,0.00751072222222222,0.00747655972222222,0.00722491805555556
constant,16,65,6,8,production,13.4984179166667,0.00309091666666667,0.00663824166666667,0.00645537916666667,0.0071742375,0.0071742375,0.00663824166666667,0.00667486388888889,0.00662250555555556,0.00645537916666667
constant,16,65,6,8,divergence,13.4984179166667,0.00420829166666667,0.00628786527777778,0.00604113888888889,0.00666572777777778,0.00666572777777778,0.00628786527777778,0.00642427916666667,0.00607509583333333,0.00604113888888889
constant,16,65,6,8,advective,13.4984179166667,0.00517845833333333,0.00643191527777778,0.00606517777777778,0.00698538611111111,0.00675379305555556,0.00698538611111111,0.00643191527777778,0.00615037777777778,0.00606517777777778
