profile,nx,nz,waveCount,form,family,rmsDifference,productionRMS
constant,8,33,4,divergence,Ag_q,1.74715186174677e-29,2.18121851169826e-13
constant,8,33,4,divergence,Ag_0,2.20128040459126e-26,3.74466053975379e-11
constant,8,33,4,divergence,Aw_p,3.6369939338718e-24,7.17808070641257e-08
constant,8,33,4,divergence,Aw_m,4.07839151479918e-24,3.65527523565629e-08
constant,8,33,4,divergence,Aio,7.8763489952371e-24,3.55608354335481e-07
constant,8,33,4,divergence,Amda,1.87169606528732e-23,1.15043394133759e-07
constant,8,33,4,advective,Ag_q,1.33792845044685e-24,2.18121851169826e-13
constant,8,33,4,advective,Ag_0,3.66534472796338e-22,3.74466053975379e-11
constant,8,33,4,advective,Aw_p,3.11738428586175e-19,7.17808070641257e-08
constant,8,33,4,advective,Aw_m,3.11756996701337e-19,3.65527523565629e-08
constant,8,33,4,advective,Aio,1.42989866021422e-22,3.55608354335481e-07
constant,8,33,4,advective,Amda,4.22792071065003e-22,1.15043394133759e-07
constant,8,33,4,split,Ag_q,6.68965067638822e-25,2.18121851169826e-13
constant,8,33,4,split,Ag_0,1.83266457872841e-22,3.74466053975379e-11
constant,8,33,4,split,Aw_p,1.55868779598918e-19,7.17808070641257e-08
constant,8,33,4,split,Aw_m,1.55878128518699e-19,3.65527523565629e-08
constant,8,33,4,split,Aio,1.28008651778184e-22,3.55608354335481e-07
constant,8,33,4,split,Amda,1.97417358758124e-22,1.15043394133759e-07
constant,8,33,4,compatible,Ag_q,6.68959342578412e-25,2.18121851169826e-13
constant,8,33,4,compatible,Ag_0,1.83265863362207e-22,3.74466053975379e-11
constant,8,33,4,compatible,Aw_p,1.55867605622186e-19,7.17808070641257e-08
constant,8,33,4,compatible,Aw_m,1.55876494961595e-19,3.65527523565629e-08
constant,8,33,4,compatible,Aio,2.9579554700839e-22,3.55608354335481e-07
constant,8,33,4,compatible,Amda,1.92702904245389e-22,1.15043394133759e-07
constant,16,65,4,divergence,Ag_q,1.27400227354185e-29,1.00970797006319e-13
constant,16,65,4,divergence,Ag_0,5.78949951000832e-26,1.73344099729099e-11
constant,16,65,4,divergence,Aw_p,5.64855002045337e-24,3.32281650232906e-08
constant,16,65,4,divergence,Aw_m,5.85071951680848e-24,1.69208057806892e-08
constant,16,65,4,divergence,Aio,3.8289983421684e-24,3.55608354335481e-07
constant,16,65,4,divergence,Amda,0,1.15043394133749e-07
constant,16,65,4,advective,Ag_q,1.66421786100298e-26,1.00970797006319e-13
constant,16,65,4,advective,Ag_0,2.67565934768004e-22,1.73344099729099e-11
constant,16,65,4,advective,Aw_p,6.48271247546222e-23,3.32281650232906e-08
constant,16,65,4,advective,Aw_m,4.19208879630798e-23,1.69208057806892e-08
constant,16,65,4,advective,Aio,4.07061148221964e-22,3.55608354335481e-07
constant,16,65,4,advective,Amda,1.07732328159983e-20,1.15043394133749e-07
constant,16,65,4,split,Ag_q,8.33040266771607e-27,1.00970797006319e-13
constant,16,65,4,split,Ag_0,1.33784339603857e-22,1.73344099729099e-11
constant,16,65,4,split,Aw_p,3.10035372875591e-23,3.32281650232906e-08
constant,16,65,4,split,Aw_m,2.17029984779132e-23,1.69208057806892e-08
constant,16,65,4,split,Aio,2.51273782276749e-22,3.55608354335481e-07
constant,16,65,4,split,Amda,5.37023491525621e-21,1.15043394133749e-07
constant,16,65,4,compatible,Ag_q,8.31174122654992e-27,1.00970797006319e-13
constant,16,65,4,compatible,Ag_0,1.33780937059632e-22,1.73344099729099e-11
constant,16,65,4,compatible,Aw_p,5.57297270781288e-23,3.32281650232906e-08
constant,16,65,4,compatible,Aw_m,3.37247045800056e-23,1.69208057806892e-08
constant,16,65,4,compatible,Aio,2.69197107071358e-22,3.55608354335481e-07
constant,16,65,4,compatible,Amda,5.40479584368653e-21,1.15043394133749e-07
constant,16,65,8,divergence,Ag_q,1.22033092624521e-29,7.143265037088e-14
constant,16,65,8,divergence,Ag_0,5.78949951000832e-26,1.73344099729099e-11
constant,16,65,8,divergence,Aw_p,5.23725437026768e-24,2.3496113013347e-08
constant,16,65,8,divergence,Aw_m,5.11494215705828e-24,1.19664336422856e-08
constant,16,65,8,divergence,Aio,1.47985053556116e-23,2.5146920675001e-07
constant,16,65,8,divergence,Amda,1.47970566347079e-23,1.0305417911642e-07
constant,16,65,8,advective,Ag_q,1.70879631621978e-26,7.143265037088e-14
constant,16,65,8,advective,Ag_0,2.67565934768004e-22,1.73344099729099e-11
constant,16,65,8,advective,Aw_p,1.76895508290049e-22,2.3496113013347e-08
