profile,amplitude,time,config,form,field,rmsError,maxError,referenceRMS
constant,0.0001,327,1,divergence,u,7.11072746794373e-24,1.8785668539669e-23,8.50395188561442e-14
constant,0.0001,327,1,divergence,v,5.82226299482152e-24,1.84672022367877e-23,3.20516164490672e-14
constant,0.0001,327,1,divergence,w,1.05709509116581e-23,7.52407161585597e-23,2.70041881451978e-09
constant,0.0001,327,1,divergence,eta,1.01217083792836e-22,2.45667037860379e-22,1.59557703559235e-12
constant,0.0001,327,1,advective,u,8.7637355083322e-25,5.5689288505279e-24,8.50395188561442e-14
constant,0.0001,327,1,advective,v,4.54737689329846e-25,3.33933025333469e-24,3.20516164490672e-14
constant,0.0001,327,1,advective,w,1.05659753488629e-23,7.51503584527538e-23,2.70041881451978e-09
constant,0.0001,327,1,advective,eta,6.10014859108632e-23,2.65246792719905e-22,1.59557703559235e-12
constant,0.0001,327,1,split,u,3.76063611174325e-24,1.2177286073324e-23,8.50395188561442e-14
constant,0.0001,327,1,split,v,3.08144098539302e-24,1.09032630896176e-23,3.20516164490672e-14
constant,0.0001,327,1,split,w,1.05684966380208e-23,7.51955373056568e-23,2.70041881451978e-09
constant,0.0001,327,1,split,eta,5.61161426105048e-23,1.84037487899266e-22,1.59557703559235e-12
constant,0.0001,327,1,compatible,u,3.50095326381456e-17,6.35765418856095e-17,8.50395188561442e-14
constant,0.0001,327,1,compatible,v,2.0269942778463e-17,4.7621358582609e-17,3.20516164490672e-14
constant,0.0001,327,1,compatible,w,2.38225431126594e-19,5.11743493696098e-19,2.70041881451978e-09
constant,0.0001,327,1,compatible,eta,6.3595625107289e-16,1.10161141885473e-15,1.59557703559235e-12
constant,0.0001,327,2,divergence,u,6.25329651181953e-25,5.57915248785957e-24,8.4743526278153e-14
constant,0.0001,327,2,divergence,v,2.53137883801397e-25,3.34372263085496e-24,3.18820001727044e-14
constant,0.0001,327,2,divergence,w,7.81742766751227e-24,7.67765999420324e-23,1.93820011921329e-09
constant,0.0001,327,2,divergence,eta,4.30279580128451e-23,2.64984158836451e-22,1.61956742642837e-12
constant,0.0001,327,2,advective,u,6.25103597684612e-25,5.57274062642193e-24,8.4743526278153e-14
constant,0.0001,327,2,advective,v,2.53145101577889e-25,3.34677710027997e-24,3.18820001727044e-14
constant,0.0001,327,2,advective,w,7.81742318948297e-24,7.67765376220209e-23,1.93820011921329e-09
