interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
1,wave,wave,wave,u*dx(u),0,1,1,1,1,0,0,0,1024
1,wave,wave,wave,v*dy(u),0.48021465623081,16,1,15,1,2.02779295024695e-15,1.82593031236279e-11,1024,0
1,wave,wave,wave,w*dz(u),0.480219206706672,16,1,15,1,2.17920788093031e-15,9.85388151020357e-07,1024,0
1,wave,wave,wave,u*dx(v),0,1,1,1,1,0,0,0,1024
1,wave,wave,wave,v*dy(v),0.459161262768356,16,1,15,1,1.52398276386421e-15,3.38469252625373e-11,1024,0
1,wave,wave,wave,w*dz(v),0.459165610198675,16,1,15,1,1.83382307065403e-15,8.00530668437625e-07,1024,0
1,wave,wave,wave,u*dx(w),0,1,1,1,1,0,0,0,1024
1,wave,wave,wave,v*dy(w),0.00226513246428584,16,1,16,1,6.66133814775094e-16,3.37743166767268e-11,1024,0
1,wave,wave,wave,w*dz(w),0.00226513246413798,16,1,16,1,6.66133814775094e-16,3.38993277892996e-11,1024,0
1,wave,wave,wave,u*dx(eta),0,1,1,1,1,0,0,0,1024
1,wave,wave,wave,v*dy(eta),0.214064606068997,16,1,16,1,1.84592689085841e-15,1.82155401873274e-11,1024,0
1,wave,wave,wave,w*dz(eta),0.214064606055023,16,1,16,1,1.70390081426814e-15,1.8550050384647e-11,1024,0
1,wave,wave,wave,w*eta*dlogN2,0,1,1,1,1,0,0,0,1024
1,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,v*dy(u),0.000234958677543584,16,1,3,0,1.75716085913216e-15,1.96733940441378e-11,128,0
1,wave,apv,wave,w*dz(u),0.000198742412722255,16,1,3,0,2.28859207813553e-15,2.28751515335926e-11,128,0
1,wave,apv,wave,u*dx(v),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,w*dz(v),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,u*dx(eta),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,v*dy(eta),5.74319209681875e-05,16,1,3,0,1.65930168566396e-15,2.11463381098249e-11,128,0
1,wave,apv,wave,w*dz(eta),6.71080262285207e-05,16,1,3,0,1.35818088153521e-15,4.73090455699321e-10,128,0
1,wave,apv,wave,w*eta*dlogN2,0,1,1,-1,0,0,0,0,128
1,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,v*dy(u),0.000234958677512755,3,0,16,1,2.14528520049473e-15,1.8447922813621e-11,128,0
1,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,v*dy(v),0.000225148064867217,3,0,16,1,1.38135803765636e-15,3.37414540751979e-11,128,0
1,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,v*dy(w),7.42553869218075e-07,3,0,16,1,3.33066907387547e-16,3.57203155942898e-11,128,0
1,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,v*dy(eta),6.71080264686324e-05,3,0,16,1,1.51683201868246e-15,1.89115390014649e-11,128,0
1,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,0,128
1,wave,boundary,wave,u*dx(u),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,v*dy(u),3.0362762881468e-05,16,1,2,0,2.19510426285372e-15,1.94038118905837e-11,64,0
1,wave,boundary,wave,w*dz(u),4.29823414576231e-05,16,1,1,0,1.57126739621665e-15,1.84420256843509e-11,64,0
1,wave,boundary,wave,u*dx(v),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,v*dy(v),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,w*dz(v),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,u*dx(eta),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,v*dy(eta),1.30972824321931e-05,16,1,2,0,7.71356927897578e-16,1.85688131537631e-11,64,0
1,wave,boundary,wave,w*dz(eta),1.08063944821944e-05,16,1,1,0,1.34597392268063e-15,1.84294801641727e-11,64,0
1,wave,boundary,wave,w*eta*dlogN2,0,1,1,1,0,0,0,0,64
1,boundary,wave,wave,u*dx(u),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,v*dy(u),1.58694509907515e-05,2,0,16,1,2.43687387889984e-15,1.70368164020829e-11,64,0
1,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,u*dx(v),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,v*dy(v),1.51960774801197e-05,2,0,16,1,1.46920713857079e-15,3.38453709503028e-11,64,0
1,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,u*dx(w),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,v*dy(w),5.22385747005759e-08,2,0,16,1,4.44089209850063e-16,3.37303518449517e-11,64,0
1,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,u*dx(eta),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,v*dy(eta),4.96389744638512e-06,2,0,16,1,1.15475970502582e-15,2.12955262758909e-11,64,0
1,boundary,wave,wave,w*dz(eta),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,w*eta*dlogN2,0,1,0,1,1,0,0,0,64
1,apv,boundary,wave,u*dx(u),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,v*dy(u),3.02995836849944e-07,3,0,1,0,1.3483052012201e-15,1.07982341873252e-11,8,0
1,apv,boundary,wave,w*dz(u),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,u*dx(v),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,v*dy(v),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,w*dz(v),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,u*dx(w),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,v*dy(w),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,w*dz(w),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,u*dx(eta),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,v*dy(eta),1.17943182882512e-07,3,0,2,0,9.38294210711417e-16,9.61664081700064e-12,8,0
1,apv,boundary,wave,w*dz(eta),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,w*eta*dlogN2,0,-1,0,1,0,0,0,0,8
1,boundary,apv,wave,u*dx(u),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,v*dy(u),2.08264856083569e-08,2,0,3,0,1.41955732346258e-15,1.23051349021922e-11,8,0
1,boundary,apv,wave,w*dz(u),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,u*dx(v),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,v*dy(v),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,w*dz(v),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,u*dx(w),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,v*dy(w),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,w*dz(w),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,u*dx(eta),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,v*dy(eta),1.92762199988985e-08,2,0,2,0,1.37134032458192e-15,6.50894893539089e-11,8,0
1,boundary,apv,wave,w*dz(eta),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,w*eta*dlogN2,0,1,0,-1,0,0,0,0,8
1,boundary,boundary,wave,u*dx(u),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,v*dy(u),5.05734838731689e-09,1,0,2,0,2.42122208561339e-15,1.44792170274805e-10,4,0
1,boundary,boundary,wave,w*dz(u),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,u*dx(v),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,v*dy(v),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,w*dz(v),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,u*dx(w),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,v*dy(w),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,w*dz(w),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,u*dx(eta),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,v*dy(eta),3.40702212332392e-09,2,0,1,0,4.1854544330419e-15,2.76735670318723e-10,4,0
1,boundary,boundary,wave,w*dz(eta),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,w*eta*dlogN2,0,1,0,1,0,0,0,0,4
2,wave,wave,wave,u*dx(u),0,1,1,1,1,0,0,0,1024
2,wave,wave,wave,v*dy(u),0.475153230491228,16,1,15,1,1.89872919381567e-15,1.83149051480314e-11,1024,0
2,wave,wave,wave,w*dz(u),0.475157732169578,16,1,15,1,2.32017545861917e-15,1.16462134287257e-06,1024,0
2,wave,wave,wave,u*dx(v),0,1,1,1,1,0,0,0,1024
2,wave,wave,wave,v*dy(v),0.459636436753551,16,1,15,1,1.55526690179707e-15,1.83643100726272e-11,1024,0
2,wave,wave,wave,w*dz(v),0.459640788824483,16,1,15,1,2.3461947852281e-15,1.01443404640659e-06,1024,0
2,wave,wave,wave,u*dx(w),0,1,1,1,1,0,0,0,1024
2,wave,wave,wave,v*dy(w),0.00253249124555069,16,1,16,1,5.55111512312578e-16,1.82615034205469e-11,1024,0
2,wave,wave,wave,w*dz(w),0.00253249124550935,16,1,16,1,6.66133814775094e-16,1.86394233381293e-11,1024,0
2,wave,wave,wave,u*dx(eta),0,1,1,1,1,0,0,0,1024
2,wave,wave,wave,v*dy(eta),0.236234294193193,16,1,16,1,1.55009157477196e-15,1.82249770830367e-11,1024,0
2,wave,wave,wave,w*dz(eta),0.236234294189337,16,1,16,1,1.61302669462766e-15,1.86290982640003e-11,1024,0
2,wave,wave,wave,w*eta*dlogN2,0,1,1,1,1,0,0,0,1024
2,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,v*dy(u),0.00023260958087599,16,1,3,0,1.659341088929e-15,1.82565074169361e-11,128,0
2,wave,apv,wave,w*dz(u),0.000196711793924124,16,1,3,0,1.78736099757487e-15,2.22444285213896e-11,128,0
2,wave,apv,wave,u*dx(v),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,w*dz(v),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,128
