interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
1,wave,wave,wave,u*dx(u),0,1,1,1,1,0,0,0,256
1,wave,wave,wave,v*dy(u),0.273384943925706,7,1,8,1,1.88278057584788e-15,6.92719215322768e-11,256,0
1,wave,wave,wave,w*dz(u),0.275122555950483,7,1,8,1,2.50136360146569e-14,1.93308758678802e-06,256,0
1,wave,wave,wave,u*dx(v),0,1,1,1,1,0,0,0,256
1,wave,wave,wave,v*dy(v),0.256236818861576,7,1,8,1,1.35147912940529e-15,8.78546124738477e-11,256,0
1,wave,wave,wave,w*dz(v),0.257853165922123,7,1,8,1,1.98676175129961e-14,1.48849828600362e-06,256,0
1,wave,wave,wave,u*dx(w),0,1,1,1,1,0,0,0,256
1,wave,wave,wave,v*dy(w),0.00243322377513119,8,1,8,1,5.55111512312578e-16,8.77686812117418e-11,256,0
1,wave,wave,wave,w*dz(w),0.00243319454481414,8,1,8,1,5.55111512312578e-16,8.78750405775008e-11,256,0
1,wave,wave,wave,u*dx(eta),0,1,1,1,1,0,0,0,256
1,wave,wave,wave,v*dy(eta),0.155661274029461,8,1,8,1,7.88673422410619e-16,6.91446899736547e-11,256,0
1,wave,wave,wave,w*dz(eta),0.155660246106461,8,1,8,1,1.23613456415873e-15,6.92539359192779e-11,256,0
1,wave,wave,wave,w*eta*dlogN2,0.116737304337132,8,1,8,1,1.0583332099034e-15,6.93316515310016e-11,256,0
1,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,48
1,wave,apv,wave,v*dy(u),0.00834898718322578,8,1,2,0,1.43856875013922e-15,5.1299228921706e-11,48,0
1,wave,apv,wave,w*dz(u),0.00758441803357249,8,1,2,0,1.13847661229612e-15,5.11842268463401e-11,48,0
1,wave,apv,wave,u*dx(v),0,1,1,-1,0,0,0,0,48
1,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,48
1,wave,apv,wave,w*dz(v),0,1,1,-1,0,0,0,0,48
1,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,48
1,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,48
1,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,48
1,wave,apv,wave,u*dx(eta),0,1,1,-1,0,0,0,0,48
1,wave,apv,wave,v*dy(eta),0.00259476672999177,8,1,2,0,9.73674163922154e-16,5.06528152754981e-11,48,0
1,wave,apv,wave,w*dz(eta),0.00287469250496795,8,1,2,0,1.08451837486595e-15,1.54398827056923e-10,48,0
