waveCount,gramError,denseError,fixedError,targetedError
1,7.7715611723761e-16,2.23918004849111e-06,2.23918004849111e-06,2.23918004849111e-06
2,2.67515199753497e-13,2.23918004849111e-06,2.23918004849111e-06,2.23918004849111e-06
3,2.71822037877266e-13,2.23918004849111e-06,2.23918004849111e-06,2.23918004849111e-06
4,2.7225288845758e-13,2.50409539148677e-06,2.50178345595486e-06,2.50409539148677e-06
5,2.74794653696352e-13,2.85415421785729e-06,2.85147530121321e-06,2.85415421785729e-06
6,6.65305285154744e-13,3.16974069392018e-06,3.16674368150416e-06,3.16974069392018e-06
7,1.35222609407587e-10,3.45822900271742e-06,3.45494618159137e-06,3.45822900271742e-06
8,8.68847912807646e-09,9.60530815063976e-06,9.60513534664642e-06,9.60528541327221e-06
9,2.21443182777388e-07,2.28639291890431e-05,2.28635908570141e-05,2.28639164561173e-05
10,2.54033101850162e-06,3.21994193654973e-05,3.21987972711213e-05,3.21994157275185e-05
11,1.37970962226576e-05,3.73289876733907e-05,3.73221228073817e-05,3.7328980397433e-05
12,3.50408727197381e-05,0.000204673226107843,0.000204668656806462,0.000204670519451611
13,4.39181738667086e-05,0.011803412809968,0.0118032833561301,0.0118033401668072
14,5.05832250327971e-05,0.0654236972332001,0.0654231607913971,0.0654234439134598
15,5.07918113529223e-05,0.318146526813507,0.318145424127579,0.318146497011185
16,7.49636462328592e-05,0.479536801576614,0.479535073041916,0.47953674197197
