caseId,modeCount,lastModeNumber,gramError,gramLimitingVariable,leakageError,leakageLimitingVariable,leakageLimitingModeNumber,quadraticAliasingError,quadraticLimitingChannel,quadraticLimitingModeNumberI,quadraticLimitingModeNumberJ,gramAccepted,leakageAccepted,quadraticAccepted,combinedAccepted
cal-constant-17,1,-1,5.874589776961777e-13,G,,,,7.532187746601773e-13,GG->F,-1,-1,True,True,True,True
cal-constant-17,2,1,6.431847929837874e-13,G,,,,1.2872857325422989e-12,FG->G,1,1,True,True,True,True
cal-constant-17,3,2,2.999580751168436e-10,G,,,,1.7351239064329882e-07,FG->G,2,2,True,True,True,True
cal-constant-33,1,-1,7.654768497253226e-14,G,,,,8.47938937745654e-14,GG->F,-1,-1,True,True,True,True
cal-constant-33,2,1,1.0510341427615567e-13,G,,,,3.35912490137051e-13,FG->G,1,1,True,True,True,True
cal-constant-33,3,2,4.233990104453388e-13,G,,,,4.0840148714904526e-13,FG->G,1,-1,True,True,True,True
cal-constant-33,4,3,4.234613622172769e-13,G,,,,4.4868168490765794e-13,FG->G,3,3,True,True,True,True
cal-exponential-17,1,-1,2.1918898111811618e-13,G,,,,1.0861456307548655e-13,FG->G,-1,-1,True,True,True,True
cal-exponential-17,2,1,2.2246673125809282e-13,G,,,,8.285518429809419e-13,GG->F,1,1,True,True,True,True
cal-exponential-17,3,2,1.988500931843318e-10,G,,,,1.0417810796748024e-07,FG->G,2,2,True,True,True,True
cal-exponential-33,1,-1,2.4253023701089385e-14,G,,,,6.622839211919912e-14,FG->G,-1,-1,True,True,True,True
cal-exponential-33,2,1,6.047354261410055e-14,G,,,,2.0219422250933556e-13,FG->G,1,1,True,True,True,True
cal-exponential-33,3,2,2.8901806902507755e-13,G,,,,4.2392821992503876e-13,GG->F,-1,2,True,True,True,True
cal-exponential-33,4,3,3.3921327929238363e-13,G,,,,6.519089169412324e-13,GG->F,-1,3,True,True,True,True
withheld-exponential-25,1,-1,5.598613613287324e-14,G,,,,1.5081200156380303e-13,FG->G,-1,-1,True,True,True,True
withheld-exponential-25,2,1,1.4198979151976778e-13,G,,,,7.375605319868758e-13,GG->F,-1,-1,True,True,True,True
withheld-exponential-25,3,2,1.6008768619242062e-13,G,,,,7.669479646142588e-13,GG->F,-1,-1,True,True,True,True
withheld-exponential-49,1,-1,4.665511344406102e-15,G,,,,1.0263198594134045e-14,FG->G,-1,-1,True,True,True,True
withheld-exponential-49,2,1,3.5131648308950126e-14,G,,,,8.479377676427147e-14,FG->G,1,-1,True,True,True,True
withheld-exponential-49,3,2,6.085371092981124e-14,G,,,,1.02532355633844e-13,GG->F,-1,-1,True,True,True,True
withheld-exponential-49,4,3,6.186004938633776e-14,G,,,,1.057626012599615e-13,GG->F,-1,-1,True,True,True,True
withheld-pycnocline-33,1,-1,1.0774377786901818e-06,F,,,,3.7185598940395936e-06,GG->F,-1,-1,True,True,True,True
withheld-pycnocline-33,2,1,9.452144636388444e-06,F,,,,3.7446986398700174e-05,GG->F,1,1,True,True,True,True
withheld-pycnocline-33,3,2,5.55523886089982e-05,F,,,,9.716515209912082e-05,GG->F,2,2,True,True,True,True
withheld-pycnocline-65,1,-1,5.661131357221192e-08,G,,,,4.853312867094922e-08,FG->G,-1,-1,True,True,True,True
withheld-pycnocline-65,2,1,1.0987614167958376e-07,G,,,,1.0295948387883939e-07,FG->G,1,-1,True,True,True,True
withheld-pycnocline-65,3,2,1.1100144426066221e-07,G,,,,1.0571906075297022e-07,FG->G,1,-1,True,True,True,True
withheld-pycnocline-65,4,3,1.7940249509553682e-07,F,,,,1.6742294860374454e-07,GG->F,2,3,True,True,True,True
followup-pycnocline-129,1,-1,2.391227213373288e-13,G,,,,8.752816899622084e-13,GG->F,-1,-1,True,True,True,True
followup-pycnocline-129,2,1,3.2171666614818806e-13,G,,,,9.292247594859478e-13,GG->F,-1,1,True,True,True,True
followup-pycnocline-129,3,2,3.384185949453457e-13,G,,,,9.316399717342399e-13,GG->F,-1,1,True,True,True,True
followup-pycnocline-129,4,3,3.4540633699712644e-13,G,,,,1.2536869670491967e-12,GG->F,1,1,True,True,True,True
