caseId,split,policy,constructionSeconds,assessmentSeconds,nonzeroProductEvaluations,processWallSeconds,peakResidentBytes,denseEvaluations,evaluationFraction
cal-constant-17,calibration,linear,3.19118225,4.5541666666666665e-05,0,6.11,870400000,790592,0.0
cal-constant-17,calibration,fixed,3.6008275833333334,2.1636867916666667,43600,10.38,1023721472,790592,0.055148546911681376
cal-constant-17,calibration,targeted,3.748704958333333,3.647992875,82400,13.15,1070006272,790592,0.10422569416336112
cal-constant-33,calibration,linear,3.1221056666666667,4.995833333333333e-05,0,6.08,869122048,2799744.0,0.0
cal-constant-33,calibration,fixed,3.63178575,5.562427291666666,115016,17.44,1160839168,2799744.0,0.04108089882503543
cal-constant-33,calibration,targeted,3.7528084583333334,10.3075465,217476,26.26,1238892544,2799744.0,0.07767710190646002
cal-exponential-17,calibration,linear,3.1678042916666667,4.625e-05,0,7.1,870449152,865856,0.0
cal-exponential-17,calibration,fixed,3.5901673333333335,2.233629666666667,48592,10.37,1032568832,865856,0.056120186266538544
cal-exponential-17,calibration,targeted,3.8101866666666666,3.744611375,91136,13.43,1076461568,865856,0.10525537733757115
cal-exponential-33,calibration,linear,3.236463166666667,4.6166666666666666e-05,0,6.06,874266624,3072128.0,0.0
cal-exponential-33,calibration,fixed,3.659668375,6.2074295,128328,18.46,1160953856,3072128.0,0.041771697012624474
cal-exponential-33,calibration,targeted,4.035570208333334,10.954994541666666,240772,28.08,1235730432,3072128.0,0.07837303654014416
withheld-exponential-25,withheld,linear,4.010355458333334,4.8708333333333336e-05,0,6.97,877477888,776704,0.0
withheld-exponential-25,withheld,fixed,4.390142833333333,4.402523708333334,98504,15.97,1107787776,776704,0.12682308833223468
withheld-exponential-25,withheld,targeted,4.427968166666667,7.195320375,180144,21.22,1154777088,776704,0.23193391562294002
withheld-exponential-49,withheld,linear,3.794127,5.516666666666667e-05,0,6.96,885456896,1352912.0,0.0
withheld-exponential-49,withheld,fixed,4.670885791666667,7.420691083333334,148280,22.0,1182957568,1352912.0,0.10960062443085729
withheld-exponential-49,withheld,targeted,4.576908041666667,13.588416333333333,267784,32.77,1254162432,1352912.0,0.1979315727852218
withheld-pycnocline-33,withheld,linear,6.311508833333333,5.520833333333333e-05,0,9.51,949911552,1313600.0,0.0
withheld-pycnocline-33,withheld,fixed,6.562730541666666,8.822216791666667,142528,25.6,1352531968,1313600.0,0.10850182704019488
withheld-pycnocline-33,withheld,targeted,7.816175125,14.339702083333334,260400,37.15,1430421504,1313600.0,0.19823386114494518
withheld-pycnocline-65,withheld,linear,11.687414875,6.058333333333333e-05,0,14.89,1018085376,8126480.0,0.0
withheld-pycnocline-65,withheld,fixed,10.421498666666666,12.127331625,213528,34.69,1486307328,8126480.0,0.02627558303225997
withheld-pycnocline-65,withheld,targeted,11.103789583333333,18.086308375,328704,45.73,1640300544,8126480.0,0.04044850907157835
followup-pycnocline-129,resolution-followup,linear,12.607074208333334,5.904166666666667e-05,0,15.79,984072192,8126480.0,0.0
followup-pycnocline-129,resolution-followup,fixed,14.023357375,15.564437083333333,213528,42.08,1515569152,8126480.0,0.02627558303225997
followup-pycnocline-129,resolution-followup,targeted,14.177063041666667,22.548006291666667,321892,54.17,1689976832,8126480.0,0.03961026176154989
