caseId,split,policy,tolerance,status,largestDenseCount,largestJointCount,largestSampledCount,falseAcceptance,retainedCountLoss,additionalQuadraticLoss,worstMissedError,productEvaluations,candidatePlanEvaluations,densePlanEvaluations,limitingInteraction
cal-constant-17,calibration,linear,0.1,scored,7,3,3,0,4,0,1.12996e-06,0,0,790592,"wave mode 1 sign 1 [-2,-1] x wave mode 1 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-17,calibration,fixed,0.1,scored,7,3,3,0,4,0,1.12996e-06,15168,43600,790592,"wave mode 1 sign 1 [-2,-1] x wave mode 1 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-17,calibration,targeted,0.1,scored,7,3,3,0,4,0,1.12996e-06,28608,82400,790592,"wave mode 1 sign 1 [-2,1] x wave mode 1 sign 1 [1,-1] -> wave [-1,0], w*dz(u)"
cal-constant-17,calibration,linear,0.03,scored,6,3,3,0,3,0,1.12996e-06,0,0,790592,"wave mode 1 sign 1 [-2,-1] x wave mode 1 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-17,calibration,fixed,0.03,scored,6,3,3,0,3,0,1.12996e-06,15168,43600,790592,"wave mode 1 sign 1 [-2,-1] x wave mode 1 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-17,calibration,targeted,0.03,scored,6,3,3,0,3,0,1.12996e-06,28608,82400,790592,"wave mode 1 sign 1 [-2,1] x wave mode 1 sign 1 [1,-1] -> wave [-1,0], w*dz(u)"
cal-constant-17,calibration,linear,0.01,scored,6,3,3,0,3,0,1.12996e-06,0,0,790592,"wave mode 1 sign 1 [-2,-1] x wave mode 1 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-17,calibration,fixed,0.01,scored,6,3,3,0,3,0,1.12996e-06,15168,43600,790592,"wave mode 1 sign 1 [-2,-1] x wave mode 1 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-17,calibration,targeted,0.01,scored,6,3,3,0,3,0,1.12996e-06,28608,82400,790592,"wave mode 1 sign 1 [-2,1] x wave mode 1 sign 1 [1,-1] -> wave [-1,0], w*dz(u)"
cal-constant-33,calibration,linear,0.1,scored,14,8,8,0,6,0,9.592283e-06,0,0,2799744,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-33,calibration,fixed,0.1,scored,14,8,8,0,6,0,9.592283e-06,54880,115016,2799744,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-33,calibration,targeted,0.1,scored,14,8,8,0,6,0,9.592283e-06,103700,217476,2799744,"wave mode 8 sign 1 [-2,0] x wave mode 7 sign 1 [2,-1] -> wave [0,-1], w*dz(v)"
cal-constant-33,calibration,linear,0.03,scored,13,8,8,0,5,0,9.592283e-06,0,0,2799744,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-33,calibration,fixed,0.03,scored,13,8,8,0,5,0,9.592283e-06,54880,115016,2799744,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-33,calibration,targeted,0.03,scored,13,8,8,0,5,0,9.592283e-06,103700,217476,2799744,"wave mode 8 sign 1 [-2,0] x wave mode 7 sign 1 [2,-1] -> wave [0,-1], w*dz(v)"
cal-constant-33,calibration,linear,0.01,scored,12,8,8,0,4,0,9.592283e-06,0,0,2799744,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-33,calibration,fixed,0.01,scored,12,8,8,0,4,0,9.592283e-06,54880,115016,2799744,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-constant-33,calibration,targeted,0.01,scored,12,8,8,0,4,0,9.592283e-06,103700,217476,2799744,"wave mode 8 sign 1 [-2,0] x wave mode 7 sign 1 [2,-1] -> wave [0,-1], w*dz(v)"
cal-exponential-17,calibration,linear,0.1,scored,7,3,3,0,4,0,3.408557e-06,0,0,865856,"wave mode 1 sign 1 [-2,-1] x wave mode 1 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-exponential-17,calibration,fixed,0.1,scored,7,3,3,0,4,0,3.408557e-06,16832,48592,865856,"wave mode 1 sign 1 [-2,-1] x wave mode 1 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
cal-exponential-17,calibration,targeted,0.1,scored,7,3,3,0,4,0,3.408557e-06,31520,91136,865856,"wave mode 1 sign 1 [-2,1] x wave mode 1 sign 1 [1,-1] -> wave [-1,0], w*dz(u)"
cal-exponential-17,calibration,linear,0.03,scored,6,3,3,0,3,0,3.408557e-06,0,0,865856,"wave mode 1 sign 1 [-2,-1] x wave mode 1 sign 1 [1,1] -> wave [-1,0], w*dz(u)"
