interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
52,wave,wave,wave,u*dx(u),0.275158460995361,7,1,8,1,1.55612665578001e-15,6.72488731368048e-11,232,0
52,wave,wave,wave,v*dy(u),0,1,1,1,1,0,0,0,232
52,wave,wave,wave,w*dz(u),0.275155471705317,8,1,7,1,2.32234215891297e-15,6.84849596381828e-07,232,0
52,wave,wave,wave,u*dx(v),0.237354396622259,8,1,7,1,2.39220563481749e-15,5.044009654398e-11,232,0
52,wave,wave,wave,v*dy(v),0,1,1,1,1,0,0,0,232
52,wave,wave,wave,w*dz(v),0.237351641893254,8,1,7,1,1.23548595419868e-15,4.45673676206736e-07,232,0
52,wave,wave,wave,u*dx(w),0.00270710666325741,8,1,8,1,3.33066907387547e-16,6.73536781903294e-11,232,0
52,wave,wave,wave,v*dy(w),0,1,1,1,1,0,0,0,232
52,wave,wave,wave,w*dz(w),0.00270710666325741,8,1,8,1,3.33066907387547e-16,6.73536781903294e-11,232,0
52,wave,wave,wave,u*dx(eta),0.220330677738148,8,1,8,1,1.55876151729112e-15,5.05451236421095e-11,232,0
52,wave,wave,wave,v*dy(eta),0,1,1,1,1,0,0,0,232
52,wave,wave,wave,w*dz(eta),0.220330677738148,8,1,8,1,1.58348840244976e-15,5.05451236421095e-11,232,0
52,wave,wave,wave,w*eta*dlogN2,0,1,1,1,1,0,0,0,232
52,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,v*dy(u),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,w*dz(u),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,u*dx(v),0.0076994138890741,8,1,2,0,1.20606780567986e-15,3.37414540751979e-11,48,0
52,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,w*dz(v),0.00728628995261303,8,1,2,0,9.88152320278402e-16,4.49120740597664e-11,48,0
52,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,u*dx(eta),0.0041714549171282,8,1,2,0,1.04083023457065e-15,4.64692728741056e-11,48,0
52,wave,apv,wave,v*dy(eta),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,w*dz(eta),0.00441070736134491,8,1,2,0,1.81019146739337e-15,5.24042809146863e-10,48,0
52,wave,apv,wave,w*eta*dlogN2,0,1,1,-1,0,0,0,0,48
52,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,v*dy(u),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,v*dy(v),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,v*dy(w),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,v*dy(eta),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,0,48
52,wave,boundary,wave,u*dx(u),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,v*dy(u),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,w*dz(u),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,u*dx(v),0.000238467204913615,8,1,1,0,1.04477531999383e-15,3.33992833390084e-11,32,0
52,wave,boundary,wave,v*dy(v),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,w*dz(v),0.000240420356040624,8,1,2,0,7.54988899861825e-16,3.36015659740951e-11,32,0
52,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,u*dx(eta),0.000137560682109055,8,1,2,0,6.12900776938481e-16,3.38500338870062e-11,32,0
52,wave,boundary,wave,v*dy(eta),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,w*dz(eta),0.000169441694527188,8,1,1,0,1.60951781693426e-15,3.36206618101187e-11,32,0
52,wave,boundary,wave,w*eta*dlogN2,0,1,1,1,0,0,0,0,32
