waveCount,gramError,sampledQuadraticError
1,1.11022302462516e-15,9.20530737857916e-07
2,1.86670528360577e-13,9.20530737857916e-07
3,2.12787939300034e-13,9.20530737857916e-07
4,2.1420682624315e-13,1.03978049992293e-06
5,2.33795899183432e-13,1.17800595944573e-06
6,6.78249203922368e-13,1.30186163005419e-06
7,1.35575797850999e-10,1.5161292594712e-06
8,8.6979284401323e-09,9.59216231422033e-06
9,2.21527158163202e-07,2.28853514272487e-05
10,2.54050379476654e-06,3.22924679494463e-05
11,1.37965648868427e-05,3.72542963305023e-05
12,3.50397080006693e-05,0.000201288028620183
13,4.3918402452871e-05,0.0117227816954255
14,5.05826766314398e-05,0.0651639029383659
15,5.0788469995467e-05,0.318373918533325
16,7.4951632221875e-05,0.480219215154648
