waveCount,gramError,sampledQuadraticError
1,1.11022302462516e-15,9.20530737857916e-07
2,1.86670528360577e-13,9.20530737857916e-07
3,2.12787939300034e-13,9.20530737857916e-07
4,2.1420682624315e-13,1.04031391856552e-06
5,2.33795899183432e-13,1.17863351078995e-06
6,6.78249203922368e-13,1.30256785269012e-06
7,1.35575797850999e-10,1.5161292594712e-06
8,8.6979284401323e-09,9.59228327701567e-06
9,2.21527158163202e-07,2.28855988098076e-05
10,2.54050379476654e-06,3.22931482514832e-05
11,1.37965648868427e-05,3.72640715795569e-05
12,3.50397080006693e-05,0.000201289469259791
13,4.3918402452871e-05,0.011722831055522
14,5.05826766314398e-05,0.065164141356945
15,5.0788469995467e-05,0.318374991416931
16,7.4951632221875e-05,0.480220913887024
