interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
52,wave,wave,wave,u*dx(u),0.273380634331047,8,1,7,1,1.39636007740829e-15,7.43483052900729e-11,232,0
52,wave,wave,wave,v*dy(u),0,1,1,1,1,0,0,0,232
52,wave,wave,wave,w*dz(u),0.275119779493545,8,1,7,1,2.52668307691704e-14,1.93237421331081e-06,232,0
52,wave,wave,wave,u*dx(v),0.256232810649222,8,1,7,1,1.50214464779802e-15,5.57658363931068e-11,232,0
52,wave,wave,wave,v*dy(v),0,1,1,1,1,0,0,0,232
52,wave,wave,wave,w*dz(v),0.257850604850265,8,1,7,1,1.98823857728629e-14,1.48793883976697e-06,232,0
52,wave,wave,wave,u*dx(w),0.00243320101513914,8,1,8,1,4.44089209850063e-16,7.43285433202345e-11,232,0
52,wave,wave,wave,v*dy(w),0,1,1,1,1,0,0,0,232
52,wave,wave,wave,w*dz(w),0.00243320101513914,8,1,8,1,4.44089209850063e-16,7.43285433202345e-11,232,0
52,wave,wave,wave,u*dx(eta),0.155658759190859,8,1,8,1,1.37209699933178e-15,5.57174306692332e-11,232,0
52,wave,wave,wave,v*dy(eta),0,1,1,1,1,0,0,0,232
52,wave,wave,wave,w*dz(eta),0.155658759190859,8,1,8,1,1.99280468099392e-15,5.57172086246283e-11,232,0
52,wave,wave,wave,w*eta*dlogN2,0.116736773145327,8,1,8,1,9.98511927020007e-16,5.58015855744998e-11,232,0
52,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,v*dy(u),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,w*dz(u),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,u*dx(v),0.00784865483401914,8,1,2,0,1.16045465564427e-15,3.72386566027672e-11,48,0
52,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,w*dz(v),0.00713008167329129,8,1,2,0,1.03207332030252e-15,3.72240016588421e-11,48,0
52,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,u*dx(eta),0.00259474450730174,8,1,2,0,7.30734198686411e-16,3.71269681664899e-11,48,0
52,wave,apv,wave,v*dy(eta),0,1,1,-1,0,0,0,0,48
52,wave,apv,wave,w*dz(eta),0.0028746572437613,8,1,2,0,9.28737883167083e-16,1.67686198260242e-10,48,0
52,wave,apv,wave,w*eta*dlogN2,0.000681862701415612,8,1,1,0,7.60954853923264e-16,3.75615094583281e-11,48,0
52,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,v*dy(u),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,v*dy(v),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,v*dy(w),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,v*dy(eta),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,48
52,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,0,48
52,wave,boundary,wave,u*dx(u),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,v*dy(u),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,w*dz(u),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,u*dx(v),0.000336553107780314,8,1,1,0,1.68702194735106e-15,3.86328746770914e-11,32,0
52,wave,boundary,wave,v*dy(v),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,w*dz(v),0.000244422594548565,8,1,2,0,8.96613857834635e-16,3.71807029608817e-11,32,0
52,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,u*dx(eta),0.000115497885634829,8,1,2,0,7.31379585413724e-16,3.72482045207789e-11,32,0
52,wave,boundary,wave,v*dy(eta),0,1,1,1,0,0,0,0,32
52,wave,boundary,wave,w*dz(eta),0.000148068541187049,8,1,1,0,1.53712820693427e-15,3.71860320313999e-11,32,0
52,wave,boundary,wave,w*eta*dlogN2,0.00013644710874956,8,1,2,0,9.9649926589323e-16,3.71831454515359e-11,32,0
52,boundary,wave,wave,u*dx(u),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,v*dy(u),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,u*dx(v),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,v*dy(v),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,u*dx(w),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,v*dy(w),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,u*dx(eta),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,v*dy(eta),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,w*dz(eta),0,1,0,1,1,0,0,0,32
52,boundary,wave,wave,w*eta*dlogN2,0,1,0,1,1,0,0,0,32
52,apv,boundary,wave,u*dx(u),0,-1,0,1,0,0,0,0,6
52,apv,boundary,wave,v*dy(u),0,-1,0,1,0,0,0,0,6
52,apv,boundary,wave,w*dz(u),0,-1,0,1,0,0,0,0,6
52,apv,boundary,wave,u*dx(v),0,-1,0,1,0,0,0,0,6
52,apv,boundary,wave,v*dy(v),0,-1,0,1,0,0,0,0,6
52,apv,boundary,wave,w*dz(v),0,-1,0,1,0,0,0,0,6
