waveCount,gramError,sampledQuadraticError
1,7.7715611723761e-16,2.23918004849111e-06
2,2.67515199753497e-13,2.23918004849111e-06
3,2.71822037877266e-13,2.23918004849111e-06
4,2.7225288845758e-13,2.50178345595486e-06
5,2.74794653696352e-13,2.85147530121321e-06
6,6.65305285154744e-13,3.16674368150416e-06
7,1.35222609407587e-10,3.45494618159137e-06
8,8.68847912807646e-09,9.60513534664642e-06
9,2.21443182777388e-07,2.28635908570141e-05
10,2.54033101850162e-06,3.21987972711213e-05
11,1.37970962226576e-05,3.73221228073817e-05
12,3.50408727197381e-05,0.000204668656806462
13,4.39181738667086e-05,0.0118032833561301
14,5.05832250327971e-05,0.0654231607913971
15,5.07918113529223e-05,0.318145424127579
16,7.49636462328592e-05,0.479535073041916
