interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
52,wave,wave,wave,u*dx(u),0.479362941673063,16,1,15,1,1.58637702917456e-15,7.43483052900729e-11,640,0
52,wave,wave,wave,v*dy(u),0,1,1,1,1,0,0,0,640
52,wave,wave,wave,w*dz(u),0.479534872666906,16,1,15,1,5.26984045657969e-14,2.79515001751641e-06,640,0
52,wave,wave,wave,u*dx(v),0.47059378204141,16,1,15,1,1.84474540989715e-15,5.57658363931068e-11,640,0
52,wave,wave,wave,v*dy(v),0,1,1,1,1,0,0,0,640
52,wave,wave,wave,w*dz(v),0.47075644463778,16,1,15,1,4.94993553605475e-14,2.46626673083065e-06,640,0
52,wave,wave,wave,u*dx(w),0.00209188091830246,16,1,16,1,6.66133814775094e-16,7.43285433202345e-11,640,0
52,wave,wave,wave,v*dy(w),0,1,1,1,1,0,0,0,640
52,wave,wave,wave,w*dz(w),0.00209188091830246,16,1,16,1,6.66133814775094e-16,7.43285433202345e-11,640,0
52,wave,wave,wave,u*dx(eta),0.13988382878116,16,1,16,1,1.38163953097206e-15,5.57174306692332e-11,640,0
52,wave,wave,wave,v*dy(eta),0,1,1,1,1,0,0,0,640
52,wave,wave,wave,w*dz(eta),0.13988382878116,16,1,16,1,2.00215578728414e-15,5.57172086246283e-11,640,0
52,wave,wave,wave,w*eta*dlogN2,0.0846313745632795,15,1,16,1,1.73813931654562e-15,5.58015855744998e-11,640,0
52,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,128
52,wave,apv,wave,v*dy(u),0,1,1,-1,0,0,0,0,128
52,wave,apv,wave,w*dz(u),0,1,1,-1,0,0,0,0,128
52,wave,apv,wave,u*dx(v),0.000254588856182348,16,1,3,0,1.64805210686052e-15,3.72386566027672e-11,128,0
52,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,128
52,wave,apv,wave,w*dz(v),0.000252222810012324,16,1,3,0,1.85923052761099e-15,3.72240016588421e-11,128,0
52,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,128
52,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,128
52,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,128
52,wave,apv,wave,u*dx(eta),4.63556696378132e-05,16,1,3,0,8.63574216175814e-16,3.71269681664899e-11,128,0
52,wave,apv,wave,v*dy(eta),0,1,1,-1,0,0,0,0,128
52,wave,apv,wave,w*dz(eta),4.89166795775603e-05,16,1,3,0,9.46890350529383e-16,1.67686198260242e-10,128,0
52,wave,apv,wave,w*eta*dlogN2,0.000108462520483134,16,1,3,0,1.20214292371078e-15,3.75615094583281e-11,128,0
52,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,v*dy(u),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,v*dy(v),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,v*dy(w),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,v*dy(eta),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,128
52,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,0,128
52,wave,boundary,wave,u*dx(u),0,1,1,1,0,0,0,0,64
52,wave,boundary,wave,v*dy(u),0,1,1,1,0,0,0,0,64
52,wave,boundary,wave,w*dz(u),0,1,1,1,0,0,0,0,64
52,wave,boundary,wave,u*dx(v),4.12996577711227e-05,16,1,2,0,1.87257706889071e-15,3.86328746770914e-11,64,0
52,wave,boundary,wave,v*dy(v),0,1,1,1,0,0,0,0,64
52,wave,boundary,wave,w*dz(v),4.85359491197329e-05,16,1,2,0,1.43048185053031e-15,3.71807029608817e-11,64,0
52,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,0,64
52,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,0,64
52,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,0,64
52,wave,boundary,wave,u*dx(eta),1.1558061500697e-05,16,1,2,0,7.36015650157723e-16,3.72482045207789e-11,64,0
52,wave,boundary,wave,v*dy(eta),0,1,1,1,0,0,0,0,64
52,wave,boundary,wave,w*dz(eta),1.06814491681305e-05,16,1,2,0,1.5438745367818e-15,3.71860320313999e-11,64,0
52,wave,boundary,wave,w*eta*dlogN2,1.04251487548355e-05,16,1,1,0,9.97739438940506e-16,3.71831454515359e-11,64,0
52,boundary,wave,wave,u*dx(u),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,v*dy(u),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,u*dx(v),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,v*dy(v),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,u*dx(w),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,v*dy(w),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,u*dx(eta),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,v*dy(eta),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,w*dz(eta),0,1,0,1,1,0,0,0,64
52,boundary,wave,wave,w*eta*dlogN2,0,1,0,1,1,0,0,0,64
52,apv,boundary,wave,u*dx(u),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,v*dy(u),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,w*dz(u),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,u*dx(v),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,v*dy(v),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,w*dz(v),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,u*dx(w),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,v*dy(w),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,w*dz(w),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,u*dx(eta),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,v*dy(eta),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,w*dz(eta),0,-1,0,1,0,0,0,0,8
52,apv,boundary,wave,w*eta*dlogN2,0,-1,0,1,0,0,0,0,8
52,boundary,apv,wave,u*dx(u),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,v*dy(u),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,w*dz(u),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,u*dx(v),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,v*dy(v),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,w*dz(v),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,u*dx(w),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,v*dy(w),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,w*dz(w),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,u*dx(eta),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,v*dy(eta),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,w*dz(eta),0,1,0,-1,0,0,0,0,8
52,boundary,apv,wave,w*eta*dlogN2,0,1,0,-1,0,0,0,0,8
52,boundary,boundary,wave,u*dx(u),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,v*dy(u),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,w*dz(u),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,u*dx(v),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,v*dy(v),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,w*dz(v),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,u*dx(w),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,v*dy(w),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,w*dz(w),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,u*dx(eta),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,v*dy(eta),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,w*dz(eta),0,1,0,1,0,0,0,0,4
52,boundary,boundary,wave,w*eta*dlogN2,0,1,0,1,0,0,0,0,4
60,wave,wave,inertial,u*dx(u),0.00154941393810245,16,1,15,1,1.09796679647956e-15,7.43483052900729e-11,640,0
60,wave,wave,inertial,v*dy(u),0,1,1,1,1,0,0,0,640
60,wave,wave,inertial,w*dz(u),0.00155561731649256,16,1,15,1,1.88553252938283e-14,1.37934204391676e-06,640,0
60,wave,wave,inertial,u*dx(v),0.00154941393810242,15,1,16,1,1.36768504943603e-15,5.57658363931068e-11,640,0
60,wave,wave,inertial,v*dy(v),0,1,1,1,1,0,0,0,640
60,wave,wave,inertial,w*dz(v),0.00155561731649255,16,1,15,1,1.88536921072496e-14,1.37932346166991e-06,640,0
60,wave,wave,mda,u*dx(eta),3.74078289217389e-05,16,1,15,1,5.54747488194262e-15,6.9830852697634e-10,640,0
60,wave,wave,mda,v*dy(eta),0,1,1,1,1,0,0,0,640
60,wave,wave,mda,w*dz(eta),3.74078289222741e-05,15,1,16,1,2.48730118143201e-15,6.98309048330898e-10,640,0
60,wave,wave,mda,w*eta*dlogN2,5.66542450241293e-05,16,1,16,1,3.90917782166073e-15,8.13868457573925e-11,640,0
60,wave,apv,inertial,u*dx(u),0,1,1,-1,0,0,0,0,128
60,wave,apv,inertial,v*dy(u),0,1,1,-1,0,0,0,0,128
60,wave,apv,inertial,w*dz(u),0,1,1,-1,0,0,0,0,128
60,wave,apv,inertial,u*dx(v),1.75765135068436e-05,16,1,2,0,1.31095675323742e-15,3.72386566027672e-11,128,0
60,wave,apv,inertial,v*dy(v),0,1,1,-1,0,0,0,0,128
60,wave,apv,inertial,w*dz(v),1.6027528195631e-05,16,1,3,0,8.75109041797914e-16,3.72240016588421e-11,128,0
60,wave,apv,mda,u*dx(eta),1.78660167049637e-06,15,1,3,0,3.01471447962727e-15,7.45764144203764e-10,128,0
60,wave,apv,mda,v*dy(eta),0,1,1,-1,0,0,0,0,128
60,wave,apv,mda,w*dz(eta),1.9184801869862e-06,15,1,3,0,1.44885013467554e-15,3.69991503963073e-07,128,0
60,wave,apv,mda,w*eta*dlogN2,4.87099401667922e-06,16,1,3,0,3.99770614372147e-15,7.82542238202996e-11,128,0
60,apv,wave,inertial,u*dx(u),0,-1,0,1,1,0,0,0,128
60,apv,wave,inertial,v*dy(u),0,-1,0,1,1,0,0,0,128
60,apv,wave,inertial,w*dz(u),0,-1,0,1,1,0,0,0,128
60,apv,wave,inertial,u*dx(v),0,-1,0,1,1,0,0,0,128
60,apv,wave,inertial,v*dy(v),0,-1,0,1,1,0,0,0,128
60,apv,wave,inertial,w*dz(v),0,-1,0,1,1,0,0,0,128
60,apv,wave,mda,u*dx(eta),0,-1,0,1,1,0,0,0,128
60,apv,wave,mda,v*dy(eta),0,-1,0,1,1,0,0,0,128
60,apv,wave,mda,w*dz(eta),0,-1,0,1,1,0,0,0,128
60,apv,wave,mda,w*eta*dlogN2,0,-1,0,1,1,0,0,0,128
60,wave,boundary,inertial,u*dx(u),0,1,1,1,0,0,0,0,64
60,wave,boundary,inertial,v*dy(u),0,1,1,1,0,0,0,0,64
60,wave,boundary,inertial,w*dz(u),0,1,1,1,0,0,0,0,64
60,wave,boundary,inertial,u*dx(v),4.12749853004007e-06,16,1,2,0,8.68056647423994e-16,3.86328746770914e-11,64,0
60,wave,boundary,inertial,v*dy(v),0,1,1,1,0,0,0,0,64
60,wave,boundary,inertial,w*dz(v),3.94693907461532e-06,16,1,2,0,1.04090768759107e-15,3.71807029608817e-11,64,0
60,wave,boundary,mda,u*dx(eta),2.7478591899902e-08,16,1,2,0,4.13836763695986e-16,8.09711607471659e-10,64,0
60,wave,boundary,mda,v*dy(eta),0,1,1,1,0,0,0,0,64
60,wave,boundary,mda,w*dz(eta),5.80973263224863e-08,16,1,1,0,2.11470899112814e-15,6.80428961339395e-11,64,0
60,wave,boundary,mda,w*eta*dlogN2,3.1679885136893e-08,16,1,1,0,1.41842412981744e-15,6.72442610815614e-11,64,0
60,boundary,wave,inertial,u*dx(u),0,1,0,1,1,0,0,0,64
60,boundary,wave,inertial,v*dy(u),0,1,0,1,1,0,0,0,64
60,boundary,wave,inertial,w*dz(u),0,1,0,1,1,0,0,0,64
60,boundary,wave,inertial,u*dx(v),0,1,0,1,1,0,0,0,64
60,boundary,wave,inertial,v*dy(v),0,1,0,1,1,0,0,0,64
60,boundary,wave,inertial,w*dz(v),0,1,0,1,1,0,0,0,64
60,boundary,wave,mda,u*dx(eta),0,1,0,1,1,0,0,0,64
60,boundary,wave,mda,v*dy(eta),0,1,0,1,1,0,0,0,64
60,boundary,wave,mda,w*dz(eta),0,1,0,1,1,0,0,0,64
60,boundary,wave,mda,w*eta*dlogN2,0,1,0,1,1,0,0,0,64
60,apv,boundary,inertial,u*dx(u),0,-1,0,1,0,0,0,0,8
60,apv,boundary,inertial,v*dy(u),0,-1,0,1,0,0,0,0,8
60,apv,boundary,inertial,w*dz(u),0,-1,0,1,0,0,0,0,8
60,apv,boundary,inertial,u*dx(v),0,-1,0,1,0,0,0,0,8
60,apv,boundary,inertial,v*dy(v),0,-1,0,1,0,0,0,0,8
60,apv,boundary,inertial,w*dz(v),0,-1,0,1,0,0,0,0,8
