waveCount,gramError,sampledQuadraticError
1,7.7715611723761e-16,2.23918004849111e-06
2,2.67515199753497e-13,2.23918004849111e-06
3,2.71822037877266e-13,2.23918004849111e-06
4,2.7225288845758e-13,2.50409539148677e-06
5,2.74794653696352e-13,2.85415421785729e-06
6,6.65305285154744e-13,3.16974069392018e-06
7,1.35222609407587e-10,3.45822900271742e-06
8,8.68847912807646e-09,9.60528541327221e-06
9,2.21443182777388e-07,2.28639164561173e-05
10,2.54033101850162e-06,3.21994157275185e-05
11,1.37970962226576e-05,3.7328980397433e-05
12,3.50408727197381e-05,0.000204670519451611
13,4.39181738667086e-05,0.0118033401668072
14,5.05832250327971e-05,0.0654234439134598
15,5.07918113529223e-05,0.318146497011185
16,7.49636462328592e-05,0.47953674197197
