waveCount,gramError,sampledQuadraticError
1,1.77635683940025e-15,2.90755175491597e-09
2,5.31061410596074e-13,2.90755175491597e-09
3,5.37501567948686e-13,2.90755175491597e-09
4,5.38907810400951e-13,3.47480377804743e-09
5,5.38909427919966e-13,4.06445943568201e-09
6,5.39815680692433e-13,4.60513627231762e-09
7,5.40361313287171e-13,5.10493780581101e-09
8,5.40899506203351e-13,5.57097257214423e-09
9,5.40984940981673e-13,6.00782845694425e-09
10,5.41285383288368e-13,6.42016262375478e-09
11,5.41291106138996e-13,6.810815467162e-09
12,5.41297480224048e-13,7.1829506786969e-09
13,5.42130578946814e-13,7.53834505928808e-09
14,5.4274583286659e-13,7.87927501022523e-09
15,5.43295608327129e-13,8.20686629765532e-09
16,5.43527842370838e-13,8.52282155960893e-09
17,5.47558360142061e-13,8.82787620781755e-09
18,5.48218360735361e-13,9.12334918723445e-09
19,5.48422928650194e-13,9.40969435703209e-09
20,5.48429640050847e-13,1.74146421727528e-08
21,5.4913161608114e-13,1.72070926396373e-07
22,5.49460812799512e-13,4.55547223054964e-07
23,5.49545395948374e-13,6.75991714160773e-07
24,5.50228924079988e-13,7.86481393788563e-07
