k1x,k1y,k2x,k2y,k3x,k3y,page1,page2,page3
-10,-3,0,1,-10,-2,48,2,46
-10,-3,0,2,-10,-1,48,4,45
-10,-3,0,3,-10,0,48,7,44
-10,-3,0,4,-10,1,48,10,45
-10,-3,0,5,-10,2,48,14,46
-10,-3,0,6,-10,3,48,19,48
-10,-3,1,-2,-9,-5,48,5,47
-10,-3,1,-1,-9,-4,48,3,42
-10,-3,1,0,-9,-3,48,2,41
-10,-3,1,1,-9,-2,48,3,39
-10,-3,1,2,-9,-1,48,5,38
-10,-3,1,3,-9,0,48,8,37
-10,-3,1,4,-9,1,48,11,38
-10,-3,1,5,-9,2,48,15,39
-10,-3,1,6,-9,3,48,20,41
-10,-3,1,7,-9,4,48,25,42
-10,-3,1,8,-9,5,48,31,47
-10,-3,2,-4,-8,-7,48,13,49
-10,-3,2,-3,-8,-6,48,9,44
-10,-3,2,-2,-8,-5,48,6,40
-10,-3,2,-1,-8,-4,48,5,36
-10,-3,2,0,-8,-3,48,4,34
-10,-3,2,1,-8,-2,48,5,32
-10,-3,2,2,-8,-1,48,6,31
-10,-3,2,3,-8,0,48,9,30
-10,-3,2,4,-8,1,48,13,31
-10,-3,2,5,-8,2,48,16,32
-10,-3,2,6,-8,3,48,21,34
-10,-3,2,7,-8,4,48,27,36
-10,-3,2,8,-8,5,48,32,40
-10,-3,2,9,-8,6,48,39,44
-10,-3,2,10,-8,7,48,46,49
-10,-3,3,-5,-7,-8,48,18,49
-10,-3,3,-4,-7,-7,48,14,43
-10,-3,3,-3,-7,-6,48,12,39
-10,-3,3,-2,-7,-5,48,9,35
-10,-3,3,-1,-7,-4,48,8,31
-10,-3,3,0,-7,-3,48,7,28
-10,-3,3,1,-7,-2,48,8,27
-10,-3,3,2,-7,-1,48,9,25
-10,-3,3,3,-7,0,48,12,24
-10,-3,3,4,-7,1,48,14,25
-10,-3,3,5,-7,2,48,18,27
-10,-3,3,6,-7,3,48,23,28
-10,-3,3,7,-7,4,48,28,31
-10,-3,3,8,-7,5,48,34,35
-10,-3,3,9,-7,6,48,41,39
-10,-3,3,10,-7,7,48,48,43
-10,-3,4,-5,-6,-8,48,22,44
-10,-3,4,-4,-6,-7,48,17,39
-10,-3,4,-3,-6,-6,48,14,33
-10,-3,4,-2,-6,-5,48,13,29
-10,-3,4,-1,-6,-4,48,11,26
-10,-3,4,0,-6,-3,48,10,23
-10,-3,4,1,-6,-2,48,11,21
-10,-3,4,2,-6,-1,48,13,20
-10,-3,4,3,-6,0,48,14,19
-10,-3,4,4,-6,1,48,17,20
-10,-3,4,5,-6,2,48,22,21
-10,-3,4,6,-6,3,48,26,23
-10,-3,4,7,-6,4,48,31,26
-10,-3,4,8,-6,5,48,36,29
-10,-3,4,9,-6,6,48,42,33
-10,-3,5,-6,-5,-9,48,29,47
-10,-3,5,-5,-5,-8,48,25,40
-10,-3,5,-4,-5,-7,48,22,35
-10,-3,5,-3,-5,-6,48,18,29
-10,-3,5,-2,-5,-5,48,16,25
-10,-3,5,-1,-5,-4,48,15,22
-10,-3,5,0,-5,-3,48,14,18
-10,-3,5,1,-5,-2,48,15,16
-10,-3,5,2,-5,-1,48,16,15
-10,-3,5,3,-5,0,48,18,14
-10,-3,5,4,-5,1,48,22,15
-10,-3,5,5,-5,2,48,25,16
-10,-3,5,6,-5,3,48,29,18
-10,-3,5,7,-5,4,48,35,22
-10,-3,5,8,-5,5,48,40,25
-10,-3,5,9,-5,6,48,47,29
-10,-3,6,-6,-4,-9,48,33,42
-10,-3,6,-5,-4,-8,48,29,36
-10,-3,6,-4,-4,-7,48,26,31
-10,-3,6,-3,-4,-6,48,23,26
-10,-3,6,-2,-4,-5,48,21,22
-10,-3,6,-1,-4,-4,48,20,17
-10,-3,6,0,-4,-3,48,19,14
-10,-3,6,1,-4,-2,48,20,13
-10,-3,6,2,-4,-1,48,21,11
-10,-3,6,3,-4,0,48,23,10
-10,-3,6,4,-4,1,48,26,11
-10,-3,6,5,-4,2,48,29,13
-10,-3,6,6,-4,3,48,33,14
-10,-3,6,7,-4,4,48,39,17
-10,-3,6,8,-4,5,48,44,22
-10,-3,7,-7,-3,-10,48,43,48
-10,-3,7,-6,-3,-9,48,39,41
-10,-3,7,-5,-3,-8,48,35,34
-10,-3,7,-4,-3,-7,48,31,28
-10,-3,7,-3,-3,-6,48,28,23
-10,-3,7,-2,-3,-5,48,27,18
-10,-3,7,-1,-3,-4,48,25,14
-10,-3,7,0,-3,-3,48,24,12
-10,-3,7,1,-3,-2,48,25,9
-10,-3,7,2,-3,-1,48,27,8
-10,-3,7,3,-3,0,48,28,7
-10,-3,7,4,-3,1,48,31,8
-10,-3,7,5,-3,2,48,35,9
-10,-3,7,6,-3,3,48,39,12
-10,-3,7,7,-3,4,48,43,14
-10,-3,7,8,-3,5,48,49,18
-10,-3,8,-7,-2,-10,48,49,46
-10,-3,8,-6,-2,-9,48,44,39
-10,-3,8,-5,-2,-8,48,40,32
-10,-3,8,-4,-2,-7,48,36,27
-10,-3,8,-3,-2,-6,48,34,21
-10,-3,8,-2,-2,-5,48,32,16
-10,-3,8,-1,-2,-4,48,31,13
-10,-3,8,0,-2,-3,48,30,9
-10,-3,8,1,-2,-2,48,31,6
-10,-3,8,2,-2,-1,48,32,5
