interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
893,wave,wave,wave,u*dx(u),7.83406051767117e-07,24,-1,23,1,3.55862072689675e-15,1.38471456523348e-11,2304,0
893,wave,wave,wave,v*dy(u),7.83406051804368e-07,24,-1,23,1,3.62326017828925e-15,1.38440370278659e-11,2304,0
893,wave,wave,wave,w*dz(u),7.83672358196706e-07,24,1,23,1,6.88033810761749e-15,8.63839656360693e-07,2304,0
893,wave,wave,wave,u*dx(v),7.86214840680638e-07,24,1,23,1,3.64541827215088e-15,1.38453692954954e-11,2304,0
893,wave,wave,wave,v*dy(v),7.86214840726795e-07,24,1,23,1,3.67594686427588e-15,1.38422606710265e-11,2304,0
893,wave,wave,wave,w*dz(v),7.86482572492686e-07,24,1,23,1,7.29924473187632e-15,9.07960703272463e-07,2304,0
893,wave,wave,wave,u*dx(w),1.46658176887319e-09,24,1,24,1,9.99200722162641e-16,1.39837030843637e-11,2304,0
893,wave,wave,wave,v*dy(w),1.46658176888484e-09,24,1,24,1,9.99200722162641e-16,1.39805944598947e-11,2304,0
893,wave,wave,wave,w*dz(w),1.4665818867072e-09,24,1,24,1,8.88178419700125e-16,1.37541089628712e-11,2304,0
893,wave,wave,wave,u*dx(eta),9.93730720877117e-08,24,1,24,1,1.29944341363565e-15,1.01967323473673e-11,2304,0
893,wave,wave,wave,v*dy(eta),9.93730720890664e-08,24,1,24,1,1.63390511153117e-15,1.01936237228983e-11,2304,0
893,wave,wave,wave,w*dz(eta),9.93730765728178e-08,24,1,24,1,1.74317787896092e-15,9.93827242723455e-12,2304,0
893,wave,wave,wave,w*eta*dlogN2,5.99953330563251e-08,24,1,23,1,9.99200722162641e-16,1.00786046175472e-11,2304,0
893,wave,apv,wave,u*dx(u),5.85469744621741e-11,24,1,5,0,2.38035572714552e-15,8.00691999787612e-12,288,0
893,wave,apv,wave,v*dy(u),5.85470132777274e-11,24,1,5,0,2.97561113799248e-15,8.0068932981766e-12,288,0
893,wave,apv,wave,w*dz(u),6.12417940075388e-11,24,1,5,0,2.15782696977011e-15,2.12442986260462e-11,288,0
893,wave,apv,wave,u*dx(v),5.86948024158871e-11,24,1,5,0,2.3730200597489e-15,1.12074957941812e-11,288,0
893,wave,apv,wave,v*dy(v),5.86947136920073e-11,24,1,5,0,2.47216859224928e-15,1.1206447312378e-11,288,0
893,wave,apv,wave,w*dz(v),6.13955402639271e-11,24,1,5,0,3.54130132056376e-15,2.70256696355616e-11,288,0
893,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,288
893,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,288
893,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,288
893,wave,apv,wave,u*dx(eta),4.34425688826587e-12,24,1,5,0,9.94896791414401e-16,1.96638261229509e-11,288,0
893,wave,apv,wave,v*dy(eta),4.34425939718242e-12,24,1,5,0,9.84351744565843e-16,1.9633850101286e-11,288,0
893,wave,apv,wave,w*dz(eta),4.23707272087725e-12,24,1,5,0,8.05329899627506e-16,1.98940197648767e-10,288,0
893,wave,apv,wave,w*eta*dlogN2,1.01564616681349e-11,24,1,5,0,1.25561597917023e-15,2.59416932379963e-11,288,0
