waveCount,gramError,sampledQuadraticError
1,1.77635683940025e-15,1.26982147019561e-09
2,5.31061410596074e-13,2.61057930828201e-09
3,5.37501567948686e-13,3.47763529084943e-09
4,5.38907810400951e-13,4.18030277060666e-09
5,5.38909427919966e-13,4.78252726310302e-09
6,5.39815680692433e-13,5.31782795576419e-09
7,5.40361313287171e-13,5.80424996954321e-09
8,5.40899506203351e-13,6.25317531088854e-09
9,5.40984940981673e-13,6.67194566261742e-09
10,5.41285383288368e-13,7.06600644662103e-09
11,5.41291106138996e-13,7.4391275362018e-09
12,5.41297480224048e-13,7.79439535136817e-09
13,5.42130578946814e-13,8.13401523913626e-09
14,5.4274583286659e-13,8.45996606102517e-09
15,5.43295608327129e-13,8.77364669804592e-09
16,5.43527842370838e-13,9.07642583314328e-09
17,5.47558360142061e-13,9.36925381722631e-09
18,5.48218360735361e-13,9.65312541012509e-09
19,5.48422928650194e-13,9.92868809390757e-09
20,5.48429640050847e-13,1.74148269138641e-08
21,5.4913161608114e-13,1.7207206326475e-07
22,5.49460812799512e-13,4.55549525213428e-07
23,5.49545395948374e-13,6.75992623655475e-07
24,5.50228924079988e-13,7.86482701187197e-07
