waveCount,gramError,sampledQuadraticError
1,1.77635683940025e-15,2.90755175491597e-09
2,5.31061410596074e-13,2.90755175491597e-09
3,5.37501567948686e-13,3.02960656561879e-09
4,5.38907810400951e-13,3.75641029393137e-09
5,5.38909427919966e-13,4.38755209941633e-09
6,5.39815680692433e-13,4.94780350024371e-09
7,5.40361313287171e-13,5.45536282814396e-09
8,5.40899506203351e-13,5.92226623297165e-09
9,5.40984940981673e-13,6.35646379976151e-09
10,5.41285383288368e-13,6.76390543574712e-09
11,5.41291106138996e-13,7.14874337504057e-09
12,5.41297480224048e-13,7.51436601831301e-09
13,5.42130578946814e-13,7.86320875079127e-09
14,5.4274583286659e-13,8.19743650737337e-09
15,5.43295608327129e-13,8.51858938943906e-09
16,5.43527842370838e-13,8.82815598401976e-09
17,5.47558360142061e-13,9.1271790125802e-09
18,5.48218360735361e-13,9.41673317100822e-09
19,5.48422928650194e-13,9.69752811386115e-09
20,5.48429640050847e-13,1.7414651054537e-08
21,5.4913161608114e-13,1.72070940607227e-07
22,5.49460812799512e-13,4.55547223054964e-07
23,5.49545395948374e-13,6.75991714160773e-07
24,5.50228924079988e-13,7.86481393788563e-07
