waveCount,gramError,sampledQuadraticError
1,5.55111512312578e-16,2.95725089927146e-06
2,4.42839884133893e-14,2.95725089927146e-06
3,1.46346353831707e-13,3.50608843291411e-06
4,3.88083512324856e-13,4.18229365095613e-06
5,3.26205985464573e-10,4.76256900583394e-06
6,4.1167634560794e-08,1.09153452285682e-05
7,1.36193502224904e-06,5.16385298396926e-05
8,1.54598660196781e-05,7.80460250098258e-05
9,6.60355468594573e-05,0.00116759946104139
10,0.000107246703893026,0.0123745072633028
11,0.000116626337683896,0.187020763754845
12,0.000184197464647279,0.442873179912567
