interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
27,wave,wave,wave,u*dx(u),1.02501618211637e-05,15,1,16,1,1.89398573110615e-15,1.20556120641879e-10,640,0
27,wave,wave,wave,v*dy(u),0,1,1,1,1,0,0,0,640
27,wave,wave,wave,w*dz(u),1.02497478073582e-05,16,1,15,1,1.50451460394378e-14,1.8294904786079e-06,640,0
27,wave,wave,wave,u*dx(v),9.59667621681234e-06,15,1,16,1,1.68138147639997e-15,9.04324393147249e-11,640,0
27,wave,wave,wave,v*dy(v),0,1,1,1,1,0,0,0,640
27,wave,wave,wave,w*dz(v),9.59537781597328e-06,16,1,15,1,1.36830827966529e-14,1.66775029700384e-06,640,0
27,wave,wave,wave,u*dx(w),1.34093077974797e-07,15,1,16,1,8.88178419700125e-16,1.20534915382109e-10,640,0
27,wave,wave,wave,v*dy(w),0,1,1,1,1,0,0,0,640
27,wave,wave,wave,w*dz(w),1.34093077968813e-07,16,1,15,1,8.88178419700125e-16,1.20534915382109e-10,640,0
27,wave,wave,wave,u*dx(eta),5.32807767109656e-06,16,1,16,1,1.90090556329747e-15,9.0378926564938e-11,640,0
27,wave,wave,wave,v*dy(eta),0,1,1,1,1,0,0,0,640
27,wave,wave,wave,w*dz(eta),5.3280776710918e-06,16,1,16,1,1.48370704132493e-15,9.03790375872404e-11,640,0
27,wave,wave,wave,w*eta*dlogN2,4.47155391062271e-06,16,1,16,1,1.43474150515932e-15,9.04843977522773e-11,640,0
27,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,128
27,wave,apv,wave,v*dy(u),0,1,1,-1,0,0,0,0,128
27,wave,apv,wave,w*dz(u),0,1,1,-1,0,0,0,0,128
27,wave,apv,wave,u*dx(v),6.0646940996251e-06,16,1,2,0,1.74647411900128e-15,6.03012084710031e-11,128,0
27,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,128
27,wave,apv,wave,w*dz(v),5.47675967844989e-06,16,1,3,0,1.78822181749616e-15,9.74952341081803e-11,128,0
27,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,128
27,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,128
27,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,128
27,wave,apv,wave,u*dx(eta),7.61504227474112e-07,16,1,3,0,1.15346792988742e-15,9.82535164339993e-11,128,0
27,wave,apv,wave,v*dy(eta),0,1,1,-1,0,0,0,0,128
27,wave,apv,wave,w*dz(eta),7.82566164143712e-07,16,1,2,0,1.72748064243967e-15,3.17190940180012e-10,128,0
27,wave,apv,wave,w*eta*dlogN2,8.7583070800393e-07,16,1,3,0,8.83297850019302e-16,9.75414193860047e-11,128,0
27,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,v*dy(u),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,v*dy(v),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,v*dy(w),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,v*dy(eta),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,128
27,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,0,128
27,wave,boundary,wave,u*dx(u),0,1,1,1,0,0,0,0,64
27,wave,boundary,wave,v*dy(u),0,1,1,1,0,0,0,0,64
27,wave,boundary,wave,w*dz(u),0,1,1,1,0,0,0,0,64
27,wave,boundary,wave,u*dx(v),2.06068254818423e-06,16,1,2,0,1.77632853031259e-15,6.07269790009468e-11,64,0
27,wave,boundary,wave,v*dy(v),0,1,1,1,0,0,0,0,64
27,wave,boundary,wave,w*dz(v),1.4696283713831e-06,16,1,2,0,1.45272074875907e-15,6.02967675789046e-11,64,0
27,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,0,64
27,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,0,64
27,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,0,64
27,wave,boundary,wave,u*dx(eta),1.91708137288113e-07,16,1,2,0,9.08133477455194e-16,6.02068395139099e-11,64,0
27,wave,boundary,wave,v*dy(eta),0,1,1,1,0,0,0,0,64
27,wave,boundary,wave,w*dz(eta),2.63865018555649e-07,16,1,2,0,1.32244685904896e-15,6.02984329134415e-11,64,0
27,wave,boundary,wave,w*eta*dlogN2,2.53387534383259e-07,16,1,1,0,1.03489183534252e-15,6.0298321891139e-11,64,0
27,boundary,wave,wave,u*dx(u),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,v*dy(u),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,u*dx(v),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,v*dy(v),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,u*dx(w),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,v*dy(w),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,u*dx(eta),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,v*dy(eta),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,w*dz(eta),0,1,0,1,1,0,0,0,64
27,boundary,wave,wave,w*eta*dlogN2,0,1,0,1,1,0,0,0,64
27,apv,boundary,wave,u*dx(u),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,v*dy(u),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,w*dz(u),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,u*dx(v),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,v*dy(v),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,w*dz(v),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,u*dx(w),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,v*dy(w),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,w*dz(w),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,u*dx(eta),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,v*dy(eta),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,w*dz(eta),0,-1,0,1,0,0,0,0,8
27,apv,boundary,wave,w*eta*dlogN2,0,-1,0,1,0,0,0,0,8
27,boundary,apv,wave,u*dx(u),0,1,0,-1,0,0,0,0,8
27,boundary,apv,wave,v*dy(u),0,1,0,-1,0,0,0,0,8
27,boundary,apv,wave,w*dz(u),0,1,0,-1,0,0,0,0,8
