interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
27,wave,wave,wave,u*dx(u),0.592905482844211,16,1,15,1,4.52517090460945e-15,5.01068075919875e-11,640,0
27,wave,wave,wave,v*dy(u),0,1,1,1,1,0,0,0,640
27,wave,wave,wave,w*dz(u),0.593366163952027,16,1,15,1,3.49453799231014e-12,3.37186659005794e-06,640,0
27,wave,wave,wave,u*dx(v),0.590249660319753,16,1,15,1,3.90229882900523e-15,3.75863784540797e-11,640,0
27,wave,wave,wave,v*dy(v),0,1,1,1,1,0,0,0,640
27,wave,wave,wave,w*dz(v),0.590637459274583,16,1,15,1,3.49442697000768e-12,3.112399428478e-06,640,0
27,wave,wave,wave,u*dx(w),0.00143267407337833,16,1,16,1,1.33226762955019e-15,4.98394658876578e-11,640,0
27,wave,wave,wave,v*dy(w),0,1,1,1,1,0,0,0,640
27,wave,wave,wave,w*dz(w),0.00143267407337833,16,1,16,1,1.33226762955019e-15,4.98394658876578e-11,640,0
27,wave,wave,wave,u*dx(eta),0.0827004003302622,16,1,16,1,3.14327786019857e-15,3.74182906881515e-11,640,0
27,wave,wave,wave,v*dy(eta),0,1,1,1,1,0,0,0,640
27,wave,wave,wave,w*dz(eta),0.0827004003302621,16,1,16,1,2.81111670347872e-15,3.74180686435466e-11,640,0
27,wave,wave,wave,w*eta*dlogN2,0.0688056334598169,16,1,16,1,1.65974041641965e-15,3.82365250573002e-11,640,0
27,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,96
27,wave,apv,wave,v*dy(u),0,1,1,-1,0,0,0,0,96
27,wave,apv,wave,w*dz(u),0,1,1,-1,0,0,0,0,96
27,wave,apv,wave,u*dx(v),0.00336589952306802,16,1,2,0,3.93086532773031e-15,6.09460577538421e-10,96,0
27,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,96
27,wave,apv,wave,w*dz(v),0.00978296018020403,16,1,2,0,4.19993789031533e-15,7.68129448935895e-10,96,0
27,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,96
27,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,96
27,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,96
27,wave,apv,wave,u*dx(eta),0.00102025393500992,16,1,2,0,1.99840144432528e-15,8.42768632658419e-10,96,0
27,wave,apv,wave,v*dy(eta),0,1,1,-1,0,0,0,0,96
27,wave,apv,wave,w*dz(eta),0.000413467414829717,16,1,2,0,1.66533453693773e-15,1.34006739038739e-09,96,0
27,wave,apv,wave,w*eta*dlogN2,0.0112735310009529,16,1,2,0,8.45720526135806e-16,7.80520204024526e-10,96,0
27,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,v*dy(u),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,v*dy(v),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,v*dy(w),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,v*dy(eta),0,-1,0,1,1,0,0,0,96
27,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,96
