interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
192,wave,wave,wave,u*dx(u),9.54176125045317e-06,16,1,15,1,4.52517090460945e-15,5.01068075919875e-11,640,0
192,wave,wave,wave,v*dy(u),0,1,1,1,1,0,0,0,640
192,wave,wave,wave,w*dz(u),1.48723214233984e-05,16,1,15,1,3.49453799231014e-12,3.37186659005794e-06,640,0
192,wave,wave,wave,u*dx(v),9.47609258484314e-06,16,1,15,1,3.90229882900523e-15,3.75863784540797e-11,640,0
192,wave,wave,wave,v*dy(v),0,1,1,1,1,0,0,0,640
192,wave,wave,wave,w*dz(v),1.48024983360016e-05,16,1,15,1,3.49442697000768e-12,3.112399428478e-06,640,0
192,wave,wave,wave,u*dx(w),3.03487095698793e-07,15,1,16,1,1.33226762955019e-15,4.98394658876578e-11,640,0
192,wave,wave,wave,v*dy(w),0,1,1,1,1,0,0,0,640
192,wave,wave,wave,w*dz(w),3.03487095700435e-07,16,1,15,1,1.33226762955019e-15,4.98394658876578e-11,640,0
192,wave,wave,wave,u*dx(eta),2.51695104959836e-06,16,1,16,1,3.14327786019857e-15,3.74182906881515e-11,640,0
192,wave,wave,wave,v*dy(eta),0,1,1,1,1,0,0,0,640
192,wave,wave,wave,w*dz(eta),2.51695104958766e-06,16,1,16,1,2.81111670347872e-15,3.74180686435466e-11,640,0
192,wave,wave,wave,w*eta*dlogN2,5.84966752587675e-05,15,1,16,1,1.65974041641965e-15,3.82365250573002e-11,640,0
192,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,128
192,wave,apv,wave,v*dy(u),0,1,1,-1,0,0,0,0,128
192,wave,apv,wave,w*dz(u),0,1,1,-1,0,0,0,0,128
192,wave,apv,wave,u*dx(v),2.87831127839356e-06,16,1,1,0,3.93086532773031e-15,6.09460577538421e-10,128,0
192,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,128
192,wave,apv,wave,w*dz(v),1.82754137835975e-06,16,1,2,0,4.19993789031533e-15,7.68129448935895e-10,128,0
192,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,128
192,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,128
192,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,128
192,wave,apv,wave,u*dx(eta),2.0741908334406e-07,16,1,2,0,1.99840144432528e-15,8.42768632658419e-10,128,0
192,wave,apv,wave,v*dy(eta),0,1,1,-1,0,0,0,0,128
192,wave,apv,wave,w*dz(eta),2.33243087624875e-07,16,1,3,0,1.66533453693773e-15,1.34006739038739e-09,128,0
192,wave,apv,wave,w*eta*dlogN2,7.61471963933884e-06,16,1,2,0,8.88178419700125e-16,7.80520204024526e-10,128,0
192,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,v*dy(u),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,v*dy(v),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,v*dy(w),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,v*dy(eta),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,128
192,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,0,128
192,wave,boundary,wave,u*dx(u),0,1,1,1,0,0,0,0,64
192,wave,boundary,wave,v*dy(u),0,1,1,1,0,0,0,0,64
192,wave,boundary,wave,w*dz(u),0,1,1,1,0,0,0,0,64
192,wave,boundary,wave,u*dx(v),2.82774247189978e-06,16,1,2,0,2.83478972043016e-15,3.39305250562916e-10,64,0
192,wave,boundary,wave,v*dy(v),0,1,1,1,0,0,0,0,64
192,wave,boundary,wave,w*dz(v),1.14999260592721e-06,16,1,2,0,3.3745320543542e-15,5.45972489440771e-10,64,0
192,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,0,64
192,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,0,64
192,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,0,64
192,wave,boundary,wave,u*dx(eta),1.318332493649e-07,16,1,2,0,1.38961748163213e-15,5.58737056621794e-10,64,0
192,wave,boundary,wave,v*dy(eta),0,1,1,1,0,0,0,0,64
192,wave,boundary,wave,w*dz(eta),2.19466210210235e-07,16,1,2,0,1.16661087138673e-15,3.02812885877302e-10,64,0
192,wave,boundary,wave,w*eta*dlogN2,7.35651877298092e-06,16,1,2,0,1.13118000046373e-15,5.42750622223309e-10,64,0
192,boundary,wave,wave,u*dx(u),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,v*dy(u),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,u*dx(v),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,v*dy(v),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,u*dx(w),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,v*dy(w),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,u*dx(eta),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,v*dy(eta),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,w*dz(eta),0,1,0,1,1,0,0,0,64
192,boundary,wave,wave,w*eta*dlogN2,0,1,0,1,1,0,0,0,64
