waveCount,gramError,sampledQuadraticError
1,5.12805353736212e-11,1.18640855362173e-06
2,5.94413571639775e-08,1.18640855362173e-06
3,8.25809285891055e-08,1.18640855362173e-06
4,8.25817832177747e-08,1.32203251723695e-06
5,1.11526115428297e-07,1.51117853874894e-06
6,1.45770891482896e-07,1.84595069185889e-06
7,1.48510611326994e-07,2.71355406766816e-06
8,2.39104080899097e-07,3.83983751817141e-06
9,2.80983694080017e-07,4.53251777798869e-06
10,3.31450584433935e-07,7.14182988303946e-06
11,5.72425029317442e-07,1.25998412841e-05
12,5.86033415665028e-07,2.07159137062263e-05
13,8.57290719413843e-07,2.94840301648946e-05
14,1.34265653582091e-06,4.00294338760432e-05
15,1.58636607717804e-06,6.81820602039807e-05
16,2.41295318896461e-06,0.00010597676737234
