interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
1,wave,wave,wave,u*dx(u),0,1,1,1,1,0,0,0,256
1,wave,wave,wave,v*dy(u),0.274685186172571,8,1,7,1,1.47087028054382e-15,1.09426964827712e-11,256,0
1,wave,wave,wave,w*dz(u),0.27468216655886,8,1,7,1,2.30055358505907e-15,1.33200991932049e-08,256,0
1,wave,wave,wave,u*dx(v),0,1,1,1,1,0,0,0,256
1,wave,wave,wave,v*dy(v),0.0466625331034635,8,1,7,1,3.33066907387547e-16,1.03055342037806e-11,256,0
1,wave,wave,wave,w*dz(v),0.0466619330418461,8,1,7,1,3.33066907387547e-16,8.46808523302656e-09,256,0
1,wave,wave,wave,u*dx(w),0,1,1,1,1,0,0,0,256
1,wave,wave,wave,v*dy(w),0.0269961154208178,8,1,8,1,5.47840866312058e-16,1.07704956064936e-11,256,0
1,wave,wave,wave,w*dz(w),0.0269961117236424,8,1,8,1,5.55111512312578e-16,1.0338285783007e-11,256,0
1,wave,wave,wave,u*dx(eta),0,1,1,1,1,0,0,0,256
1,wave,wave,wave,v*dy(eta),0.384944259813132,8,1,8,1,1.73194804241786e-15,1.08861854781933e-11,256,0
1,wave,wave,wave,w*dz(eta),0.384944207094279,8,1,8,1,1.88488169335966e-15,1.03329567124888e-11,256,0
1,wave,wave,wave,w*eta*dlogN2,0,1,1,1,1,0,0,0,256
1,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,64
1,wave,apv,wave,v*dy(u),0.0090442146679469,8,1,3,0,1.54339286127658e-15,1.10841017299845e-11,64,0
1,wave,apv,wave,w*dz(u),0.00921543037484117,8,1,3,0,1.45720883101902e-15,1.42824992134997e-11,64,0
1,wave,apv,wave,u*dx(v),0,1,1,-1,0,0,0,0,64
1,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,64
1,wave,apv,wave,w*dz(v),0,1,1,-1,0,0,0,0,64
1,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,64
1,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,64
1,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,64
1,wave,apv,wave,u*dx(eta),0,1,1,-1,0,0,0,0,64
1,wave,apv,wave,v*dy(eta),0.00912894858356597,8,1,3,0,1.1747575317538e-15,1.88775978901313e-11,64,0
1,wave,apv,wave,w*dz(eta),0.00895942336890087,8,1,3,0,1.36251484336877e-15,5.76129144391757e-10,64,0
