interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
1,wave,wave,wave,u*dx(u),9.51094943587582e-06,15,1,16,-1,4.31465962668059e-15,5.91811044614587e-11,1024,0
1,wave,wave,wave,v*dy(u),9.51094943586906e-06,15,1,16,1,3.94895318008931e-15,5.26452215154904e-11,1024,0
1,wave,wave,wave,w*dz(u),1.48393716031756e-05,15,1,16,1,7.72382158231721e-13,1.85230828761193e-06,1024,0
1,wave,wave,wave,u*dx(v),9.40289017437588e-06,15,1,16,1,3.60380268805853e-15,5.91868776211868e-11,1024,0
1,wave,wave,wave,v*dy(v),9.40289017432975e-06,15,1,16,-1,3.978218460453e-15,5.26507726306136e-11,1024,0
1,wave,wave,wave,w*dz(v),1.47208297559126e-05,15,1,16,1,7.72493180534184e-13,1.71910493096158e-06,1024,0
1,wave,wave,wave,u*dx(w),5.01511621155281e-07,15,1,16,1,1.33226762955019e-15,5.68032287873166e-11,1024,0
1,wave,wave,wave,v*dy(w),5.01511621097212e-07,15,1,16,1,1.22124532708767e-15,5.02675678859532e-11,1024,0
1,wave,wave,wave,w*dz(w),5.01528526104814e-07,16,1,15,1,1.22124532708767e-15,6.04423178174329e-11,1024,0
1,wave,wave,wave,u*dx(eta),3.91314220436362e-06,16,1,16,1,3.21539461615288e-15,3.39230865620266e-11,1024,0
1,wave,wave,wave,v*dy(eta),3.91314220438496e-06,16,1,16,1,2.88023080468343e-15,2.73869815714534e-11,1024,0
1,wave,wave,wave,w*dz(eta),3.91311108793505e-06,16,1,16,1,2.77890263287741e-15,3.77597952905262e-11,1024,0
1,wave,wave,wave,w*eta*dlogN2,9.02165201754916e-05,15,1,16,1,1.95119274684585e-15,3.77193831724298e-11,1024,0
1,wave,apv,wave,u*dx(u),2.88896218494178e-06,16,1,1,0,3.74174041783489e-15,6.32596796783368e-10,128,0
1,wave,apv,wave,v*dy(u),2.88896218583838e-06,16,1,1,0,3.49356475158254e-15,6.32596873823596e-10,128,0
1,wave,apv,wave,w*dz(u),1.84160181723356e-06,16,1,2,0,3.69511072896922e-15,7.68236918524678e-10,128,0
1,wave,apv,wave,u*dx(v),2.85833443491056e-06,16,1,1,0,3.69994454834989e-15,5.94883732858843e-10,128,0
1,wave,apv,wave,v*dy(v),2.85833443506134e-06,16,1,1,0,3.68205363441329e-15,5.94884589308298e-10,128,0
1,wave,apv,wave,w*dz(v),1.81463587016306e-06,16,1,2,0,3.72614084545127e-15,7.68237029546981e-10,128,0
1,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,128
1,wave,apv,wave,u*dx(eta),3.22968179188569e-07,16,1,2,0,1.66533453693773e-15,8.41873126766757e-10,128,0
1,wave,apv,wave,v*dy(eta),3.22968179217552e-07,16,1,2,0,2.60141967649843e-15,8.42315439619767e-10,128,0
1,wave,apv,wave,w*dz(eta),3.57797938422461e-07,16,1,3,0,3.05945134416671e-15,1.34012434482855e-09,128,0
1,wave,apv,wave,w*eta*dlogN2,1.17860595402838e-05,16,1,2,0,1.09500046335817e-15,7.80374986852905e-10,128,0
1,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,v*dy(u),2.88905554808027e-06,1,0,16,1,4.11633477734584e-15,6.32625640632433e-10,128,0
1,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,v*dy(v),2.8584290189653e-06,1,0,16,1,3.95734449905972e-15,5.94711951610744e-10,128,0
1,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,v*dy(w),1.23980812425636e-07,3,0,16,1,5.55111512312578e-16,5.11971576244719e-10,128,0
1,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,v*dy(eta),3.57692376515713e-07,3,0,16,1,1.66533453693773e-15,8.14795240065188e-10,128,0
1,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,128
1,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,0,128
1,wave,boundary,wave,u*dx(u),2.40472916003259e-06,16,1,2,0,3.13835729785995e-15,2.39791529468101e-10,64,0
1,wave,boundary,wave,v*dy(u),2.40472916103409e-06,16,1,2,0,3.26047483297316e-15,2.39794622168863e-10,64,0
1,wave,boundary,wave,w*dz(u),9.44451251399182e-07,16,1,2,0,2.31139065000437e-15,2.95466231322967e-10,64,0
1,wave,boundary,wave,u*dx(v),2.37973620354875e-06,16,1,2,0,1.99789449652682e-15,2.31302978531043e-10,64,0
1,wave,boundary,wave,v*dy(v),2.37973620253867e-06,16,1,2,0,2.58619872914224e-15,2.31302459641308e-10,64,0
1,wave,boundary,wave,w*dz(v),9.31055334462628e-07,16,1,2,0,2.44946406621459e-15,2.87580737001747e-10,64,0
1,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,0,64
1,wave,boundary,wave,u*dx(eta),1.63285766426086e-07,16,1,2,0,1.30664293345191e-15,2.91619173253821e-10,64,0
1,wave,boundary,wave,v*dy(eta),1.63285766442796e-07,16,1,2,0,1.11022302462516e-15,2.91622836989802e-10,64,0
1,wave,boundary,wave,w*dz(eta),2.90315112932244e-07,16,1,2,0,1.85752503582097e-15,2.16602957792134e-10,64,0
1,wave,boundary,wave,w*eta*dlogN2,1.30059706474092e-05,16,1,2,0,9.13005759629158e-16,2.84538392847367e-10,64,0
1,boundary,wave,wave,u*dx(u),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,v*dy(u),7.50519957633979e-07,2,0,16,1,2.14821702330308e-15,8.3246000741991e-11,64,0
1,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,u*dx(v),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,v*dy(v),7.43419116616021e-07,2,0,16,1,1.82151809046786e-15,7.72146790950501e-11,64,0
1,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,u*dx(w),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,v*dy(w),1.98481958579086e-08,2,0,16,1,4.44089209850063e-16,7.55493445581124e-11,64,0
1,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,u*dx(eta),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,v*dy(eta),9.4934767922727e-08,2,0,16,1,1.0733680348036e-15,2.78266195141102e-10,64,0
1,boundary,wave,wave,w*dz(eta),0,1,0,1,1,0,0,0,64
1,boundary,wave,wave,w*eta*dlogN2,0,1,0,1,1,0,0,0,64
1,apv,boundary,wave,u*dx(u),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,v*dy(u),5.02051425021446e-07,3,0,2,0,1.68245494284056e-15,5.9115112804875e-10,8,0
1,apv,boundary,wave,w*dz(u),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,u*dx(v),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,v*dy(v),4.90554853014325e-07,3,0,2,0,1.26062256652225e-15,5.91150461914935e-10,8,0
1,apv,boundary,wave,w*dz(v),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,u*dx(w),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,v*dy(w),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,w*dz(w),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,u*dx(eta),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,v*dy(eta),4.94445330093161e-08,-1,0,2,0,1.25631726675658e-15,5.07086594936368e-10,8,0
1,apv,boundary,wave,w*dz(eta),0,-1,0,1,0,0,0,0,8
1,apv,boundary,wave,w*eta*dlogN2,0,-1,0,1,0,0,0,0,8
1,boundary,apv,wave,u*dx(u),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,v*dy(u),1.4478163177776e-07,2,0,3,0,2.45536973532641e-15,6.49501785687789e-10,8,0
1,boundary,apv,wave,w*dz(u),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,u*dx(v),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,v*dy(v),1.38388545919535e-07,2,0,3,0,1.55158325443813e-15,6.49501785687789e-10,8,0
1,boundary,apv,wave,w*dz(v),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,u*dx(w),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,v*dy(w),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,w*dz(w),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,u*dx(eta),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,v*dy(eta),4.48948731544636e-08,2,0,2,0,1.48033837840151e-15,1.42362210908686e-09,8,0
1,boundary,apv,wave,w*dz(eta),0,1,0,-1,0,0,0,0,8
1,boundary,apv,wave,w*eta*dlogN2,0,1,0,-1,0,0,0,0,8
1,boundary,boundary,wave,u*dx(u),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,v*dy(u),1.94689343210258e-07,2,0,1,0,1.5857012946602e-15,1.28449591180234e-09,4,0
1,boundary,boundary,wave,w*dz(u),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,u*dx(v),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,v*dy(v),1.89355133072509e-07,2,0,1,0,1.08152805538342e-15,1.20729470864944e-09,4,0
1,boundary,boundary,wave,w*dz(v),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,u*dx(w),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,v*dy(w),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,w*dz(w),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,u*dx(eta),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,v*dy(eta),6.75914809965954e-08,2,0,1,0,1.72014890760407e-15,2.11601769439795e-09,4,0
1,boundary,boundary,wave,w*dz(eta),0,1,0,1,0,0,0,0,4
1,boundary,boundary,wave,w*eta*dlogN2,0,1,0,1,0,0,0,0,4
2,wave,wave,wave,u*dx(u),9.54101466549642e-06,15,1,16,1,3.9254245576621e-15,3.81388060080017e-11,1024,0
2,wave,wave,wave,v*dy(u),0,1,1,1,1,0,0,0,1024
2,wave,wave,wave,w*dz(u),1.48721648161347e-05,15,1,16,1,3.49453799231014e-12,3.38077654457204e-06,1024,0
2,wave,wave,wave,u*dx(v),9.40091209825385e-06,15,1,16,1,4.10578734856752e-15,2.55850896024867e-11,1024,0
2,wave,wave,wave,v*dy(v),0,1,1,1,1,0,0,0,1024
2,wave,wave,wave,w*dz(v),1.47193785818613e-05,15,1,16,1,3.49487105921753e-12,3.03509117756306e-06,1024,0
2,wave,wave,wave,u*dx(w),4.54674167065109e-07,15,1,16,1,1.22124532708767e-15,3.60145246958155e-11,1024,0
2,wave,wave,wave,v*dy(w),0,1,1,1,1,0,0,0,1024
2,wave,wave,wave,w*dz(w),4.54691796920165e-07,16,1,15,1,1.4432899320127e-15,3.87778698041075e-11,1024,0
2,wave,wave,wave,u*dx(eta),3.58839799812473e-06,16,1,16,1,3.35198892649259e-15,2.37536657010651e-11,1024,0
2,wave,wave,wave,v*dy(eta),0,1,1,1,1,0,0,0,1024
2,wave,wave,wave,w*dz(eta),3.58836503852856e-06,16,1,16,1,3.08810872588149e-15,2.66868749321247e-11,1024,0
2,wave,wave,wave,w*eta*dlogN2,8.29212028435444e-05,15,1,16,1,1.84122103876364e-15,2.75448552855551e-11,1024,0
2,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,v*dy(u),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,w*dz(u),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,u*dx(v),2.85750589849575e-06,16,1,1,0,4.10996774024592e-15,5.94239859997589e-10,128,0
2,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,w*dz(v),1.8125227585984e-06,16,1,2,0,4.172458721059e-15,7.68237029546981e-10,128,0
2,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,u*dx(eta),2.96124605614176e-07,16,1,2,0,1.77532936732251e-15,8.41873126766757e-10,128,0
2,wave,apv,wave,v*dy(eta),0,1,1,-1,0,0,0,0,128
2,wave,apv,wave,w*dz(eta),3.29267262765252e-07,16,1,3,0,2.18015799606333e-15,1.34012434482855e-09,128,0
2,wave,apv,wave,w*eta*dlogN2,1.08179158797557e-05,16,1,2,0,2.18444263838209e-15,7.80374986852905e-10,128,0
2,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,v*dy(u),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,v*dy(v),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,v*dy(w),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,v*dy(eta),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,128
2,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,0,128
2,wave,boundary,wave,u*dx(u),0,1,1,1,0,0,0,0,64
2,wave,boundary,wave,v*dy(u),0,1,1,1,0,0,0,0,64
2,wave,boundary,wave,w*dz(u),0,1,1,1,0,0,0,0,64
2,wave,boundary,wave,u*dx(v),2.80723813756858e-06,16,1,2,0,2.29176172669608e-15,3.3814495647988e-10,64,0
2,wave,boundary,wave,v*dy(v),0,1,1,1,0,0,0,0,64
2,wave,boundary,wave,w*dz(v),1.14112050477601e-06,16,1,2,0,2.90865664554102e-15,5.45664735618345e-10,64,0
2,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,0,64
