waveCount,gramError,denseError,fixedError,targetedError
1,2.68140509795955e-10,0.0117271495983005,0.0117271495983005,0.0117271495983005
2,7.92642903496271e-06,0.015549105592072,0.015549105592072,0.015549105592072
3,1.80639363549501e-05,0.0221436303108931,0.0221436303108931,0.0221436303108931
4,4.27698169139493e-05,0.0226519927382469,0.0226519927382469,0.0226519927382469
5,8.49561798562845e-05,0.0282442308962345,0.0282442308962345,0.0282442308962345
6,0.000100663327120291,0.0284921657294035,0.0284921657294035,0.0284921657294035
7,0.000185827529667658,0.0305830724537373,0.0305830724537373,0.0305830724537373
8,0.000252416155853759,0.0312834791839123,0.0312834791839123,0.0312834791839123
9,0.000339202148713413,0.0314255990087986,0.0314255990087986,0.0314255990087986
10,0.000596565929676592,0.0320844165980816,0.0320844165980816,0.0320844165980816
11,0.000632875640288924,0.0321789458394051,0.0321789458394051,0.0321789458394051
12,0.000926938285449047,0.0323263294994831,0.0323263294994831,0.0323263294994831
13,0.00155789830931357,0.0324976705014706,0.0324976705014706,0.0324976705014706
14,0.00190896794363973,0.106376387178898,0.106375232338905,0.106376387178898
15,0.00271231605840984,0.3797767162323,0.37977597117424,0.3797767162323
16,0.00372102450257113,0.593369543552399,0.593367457389832,0.593369543552399
