interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
1,wave,wave,wave,u*dx(u),0,1,1,1,1,0,0,0,1024
1,wave,wave,wave,v*dy(u),0.592907660756006,15,1,16,1,1.62905022804694e-10,2.92663355772049e-08,1024,0
1,wave,wave,wave,w*dz(u),0.593366062732564,16,1,15,1,1.37419344236056e-05,0.000168929676030327,1024,0
1,wave,wave,wave,u*dx(v),0,1,1,1,1,0,0,0,1024
1,wave,wave,wave,v*dy(v),0.590251816639646,15,1,16,1,1.62904800760089e-10,3.9033023147006e-08,1024,0
1,wave,wave,wave,w*dz(v),0.590637347413935,16,1,15,1,1.37419344234946e-05,0.000168919907692411,1024,0
1,wave,wave,wave,u*dx(w),0,1,1,1,1,0,0,0,1024
1,wave,wave,wave,v*dy(w),0.0014326699801559,16,1,16,1,5.82348613775707e-11,3.90401400096607e-08,1024,0
1,wave,wave,wave,w*dz(w),0.00143266905882691,16,1,16,1,5.82345283106633e-11,3.90419498952355e-08,1024,0
1,wave,wave,wave,u*dx(eta),0,1,1,1,1,0,0,0,1024
1,wave,wave,wave,v*dy(eta),0.0827006983302952,16,1,16,1,3.82782139318749e-10,2.92680629732089e-08,1024,0
1,wave,wave,wave,w*dz(eta),0.0827005271922261,16,1,16,1,3.82781695229539e-10,2.92698483228548e-08,1024,0
1,wave,wave,wave,w*eta*dlogN2,0.0688053530336887,16,1,16,1,6.30698826498133e-11,2.92489006348262e-08,1024,0
1,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,96
1,wave,apv,wave,v*dy(u),0.00342333313616875,16,1,2,0,4.48764579078004e-14,3.34060481432716e-07,96,0
1,wave,apv,wave,w*dz(u),0.00982462105283406,16,1,2,0,7.09876601945325e-13,4.84022761716084e-07,96,0
1,wave,apv,wave,u*dx(v),0,1,1,-1,0,0,0,0,96
1,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,96
1,wave,apv,wave,w*dz(v),0,1,1,-1,0,0,0,0,96
1,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,96
1,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,96
1,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,96
1,wave,apv,wave,u*dx(eta),0,1,1,-1,0,0,0,0,96
