family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,count,order,status
Ag_q,7.44693213635521e-18,1.85407120919833e-14,0.000401652973165748,3.50890466890758e-26,0.381098300634572,1.79568925246442e-07,constant,0.01,327,9,0,rejected
Ag_0,8.35750951459149e-14,2.59122819141429e-12,0.0322530819257178,4.1519570922478e-22,32.2406398626168,1.60169428987752e-05,constant,0.01,327,9,0,rejected
Aw_p,1.85535233192442e-10,7.03471799653587e-09,0.0263742247072031,9.26381328634351e-19,26.374221089739,1.31687040959352e-05,constant,0.01,327,9,0,rejected
Aw_m,1.8556426686827e-10,3.58373680006884e-09,0.0517795466633334,9.26381328187398e-19,51.779532473354,2.58495844246642e-05,constant,0.01,327,9,0,rejected
Aio,1.65521210613536e-12,6.07380887208266e-09,0.000272516330525856,1.01117488620911e-23,0.272516285660076,1.66481155568735e-10,constant,0.01,327,9,0,rejected
Amda,8.60442533892096e-14,1.42889198698381e-09,6.02174651219347e-05,9.07594360919165e-22,0.0602174236143681,6.35173080970162e-08,constant,0.01,327,9,0,rejected
Ag_q,7.44693213635521e-18,1.85407120919833e-14,0.000401652973165748,3.50890466890758e-26,0.381098300634572,1.79568925246442e-07,constant,0.01,327,9,8,rejected
Ag_0,8.35750951459149e-14,2.59122819141429e-12,0.0322530819257178,4.1519570922478e-22,32.2406398626168,1.60169428987752e-05,constant,0.01,327,9,8,rejected
Aw_p,3.97606140562959e-12,7.03471799653587e-09,0.000565205514647145,9.26381328634351e-19,0.565205565989041,1.31687040959352e-05,constant,0.01,327,9,8,rejected
Aw_m,5.44578476717805e-12,3.58373680006884e-09,0.00151958279053122,9.26381328187398e-19,1.51958262500531,2.58495844246642e-05,constant,0.01,327,9,8,rejected
Aio,1.65521210613536e-12,6.07380887208266e-09,0.000272516330525856,1.01117488620911e-23,0.272516285660076,1.66481155568735e-10,constant,0.01,327,9,8,rejected
