family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,unsplitDifference
Ag_q,0,1.85407120919833e-14,0,3.50890466890758e-26,1.79568925246442e-09,1.79568925246442e-07,constant,0.01,327,6.81583096725849e-24
Ag_0,0,2.59122819141429e-12,0,4.1519570922478e-22,1.60169428987752e-07,1.60169428987752e-05,constant,0.01,327,8.14886246365139e-20
Aw_p,0,7.03471799653587e-09,0,9.26381328634351e-19,1.31687040959352e-07,1.31687040959352e-05,constant,0.01,327,1.46880151352131e-14
Aw_m,0,3.58373680006884e-09,0,9.26381328187398e-19,2.58495844246642e-07,2.58495844246642e-05,constant,0.01,327,1.46880151351626e-14
Aio,0,6.07380887208266e-09,0,1.01117488620911e-23,1.66481155568735e-12,1.66481155568735e-10,constant,0.01,327,2.1397970520362e-23
Amda,0,1.42889198698381e-09,0,9.07594360919165e-22,6.35173080970163e-10,6.35173080970162e-08,constant,0.01,327,2.20412010395156e-19
Ag_q,0,1.86025182566931e-14,0,3.6596171799958e-26,1.86691175698625e-09,1.86691175698625e-07,constant,0.01,901,7.09709578676185e-24
Ag_0,0,2.85649622451805e-12,0,4.33204711475167e-22,1.51602898984839e-07,1.51602898984839e-05,constant,0.01,901,8.46674695273703e-20
Aw_p,0,6.99885208430856e-09,0,3.43478469742285e-18,4.90763937469075e-07,4.90763937469075e-05,constant,0.01,901,1.39554553102372e-14
Aw_m,0,3.54633755059964e-09,0,3.434784699646e-18,9.68543936411605e-07,9.68543936411605e-05,constant,0.01,901,1.39554553103673e-14
Aio,0,5.8609938698023e-09,0,1.186221849126e-23,2.02392575915361e-12,2.02392575915361e-10,constant,0.01,901,2.62073235514499e-23
Amda,0,7.83999809090773e-10,0,8.44784935444219e-22,1.07753069339806e-09,1.07753069339806e-07,constant,0.01,901,1.2724458890746e-19
Ag_q,0,1.85408499470535e-12,0,3.48854530410401e-24,1.88053125008329e-09,1.88053125008329e-07,constant,0.1,327,6.81785024159727e-22
Ag_0,0,2.59124698850582e-10,0,4.12926073358552e-20,1.59353578278878e-07,1.59353578278878e-05,constant,0.1,327,8.15105452883273e-18
Aw_p,0,7.03495331473591e-07,0,9.26383061927208e-17,1.31682900961107e-07,1.31682900961107e-05,constant,0.1,327,1.79282379046785e-14
Aw_m,0,3.58376443753378e-07,0,9.26383060146435e-17,2.58494405452328e-07,2.58494405452328e-05,constant,0.1,327,1.79282378952524e-14
Aio,0,6.07381962827542e-07,0,1.10862438594999e-21,1.82525075154318e-12,1.82525075154318e-10,constant,0.1,327,2.73393420645516e-21
Amda,0,1.42893612471529e-07,0,1.61939576770966e-19,1.13328771550193e-09,1.13328771550193e-07,constant,0.1,327,2.18285268619465e-17
Ag_q,0,1.86026284307038e-12,0,3.64720821016775e-24,1.95953420751216e-09,1.95953420751216e-07,constant,0.1,901,7.0896721379467e-22
Ag_0,0,2.85651752132563e-10,0,4.31583502118887e-20,1.51086764925899e-07,1.51086764925899e-05,constant,0.1,901,8.45861743631585e-18
Aw_p,0,6.9990634567299e-07,0,3.43478476390103e-16,4.90749195264239e-07,4.90749195264239e-05,constant,0.1,901,2.93744211490155e-14
Aw_m,0,3.5463533414609e-07,0,3.43478476658239e-16,9.68539913025714e-07,9.68539913025713e-05,constant,0.1,901,2.93744211251043e-14
Aio,0,5.86099703415919e-07,0,1.79309883638491e-21,3.05937509074813e-12,3.05937509074813e-10,constant,0.1,901,9.4275551260067e-22
Amda,0,7.84022806762225e-08,0,6.05192311851573e-20,7.7190650439337e-10,7.7190650439337e-08,constant,0.1,901,1.14731287732646e-17
Ag_q,0,1.85423436576611e-10,0,3.5079447371405e-22,1.89184597343573e-09,1.89184597343573e-07,constant,1,327,6.81594866534915e-20
