profile,nx,nz,strategy,family,absoluteError,referenceNorm
constant,8,17,1,Ag_q,4.47365148772364e-25,1.85407120864028e-14
constant,8,17,1,Ag_0,1.55345000000372e-20,2.59122818409166e-12
constant,8,17,1,Aw_p,4.46794468097484e-11,7.03471799499269e-09
constant,8,17,1,Aw_m,4.46794467989691e-11,3.58373679810279e-09
constant,8,17,1,Aio,1.82839881817014e-18,6.07380887208263e-09
constant,8,17,1,Amda,1.0583334495609e-19,1.42889198698359e-09
constant,8,17,2,Ag_q,4.47365148772364e-25,1.85407120864028e-14
constant,8,17,2,Ag_0,1.55345000000372e-20,2.59122818409166e-12
constant,8,17,2,Aw_p,4.53567529106043e-15,7.03471799499269e-09
constant,8,17,2,Aw_m,4.53567671213768e-15,3.58373679810279e-09
constant,8,17,2,Aio,1.82839881817014e-18,6.07380887208263e-09
constant,8,17,2,Amda,1.0583334495609e-19,1.42889198698359e-09
constant,8,65,1,Ag_q,9.46697332724858e-27,1.8540712086403e-14
constant,8,65,1,Ag_0,1.32684564249094e-22,2.59122819033028e-12
constant,8,65,1,Aw_p,2.52905355438622e-12,7.03471799499137e-09
constant,8,65,1,Aw_m,2.52905355438634e-12,3.58373679810022e-09
constant,8,65,1,Aio,5.45615750995555e-24,6.07380887208266e-09
constant,8,65,1,Amda,9.85617026698677e-22,1.42889198698314e-09
constant,8,65,2,Ag_q,9.46697332724858e-27,1.8540712086403e-14
constant,8,65,2,Ag_0,1.32684564249094e-22,2.59122819033028e-12
constant,8,65,2,Aw_p,4.53567394999447e-15,7.03471799499137e-09
constant,8,65,2,Aw_m,4.53567394998768e-15,3.58373679810022e-09
constant,8,65,2,Aio,5.45615750995555e-24,6.07380887208266e-09
constant,8,65,2,Amda,9.85617026698677e-22,1.42889198698314e-09
constant,24,33,1,Ag_q,8.73116137976564e-27,1.85407120919835e-14
constant,24,33,1,Ag_0,1.19279718997736e-22,2.59122819146338e-12
constant,24,33,1,Aw_p,1.15973106418095e-11,7.03471799659897e-09
constant,24,33,1,Aw_m,1.15973106418096e-11,3.58373680019271e-09
constant,24,33,1,Aio,3.085668336936e-24,6.07380887208266e-09
constant,24,33,1,Amda,8.0758538011792e-22,1.42889198698349e-09
constant,24,33,2,Ag_q,8.73116137976564e-27,1.85407120919835e-14
constant,24,33,2,Ag_0,1.19279718997736e-22,2.59122819146338e-12
constant,24,33,2,Aw_p,6.46618688247972e-16,7.03471799659897e-09
constant,24,33,2,Aw_m,6.46618688238798e-16,3.58373680019271e-09
constant,24,33,2,Aio,3.085668336936e-24,6.07380887208266e-09
constant,24,33,2,Amda,8.0758538011792e-22,1.42889198698349e-09
constant,24,65,1,Ag_q,9.47397657184149e-27,1.85407120919837e-14
constant,24,65,1,Ag_0,1.34092499329441e-22,2.59122819147529e-12
constant,24,65,1,Aw_p,2.70830881964149e-12,7.03471799659897e-09
constant,24,65,1,Aw_m,2.70830881964162e-12,3.58373680019271e-09
constant,24,65,1,Aio,5.91046314362366e-24,6.07380887208266e-09
constant,24,65,1,Amda,9.79193065361169e-22,1.42889198698314e-09
constant,24,65,2,Ag_q,9.47397657184149e-27,1.85407120919837e-14
constant,24,65,2,Ag_0,1.34092499329441e-22,2.59122819147529e-12
constant,24,65,2,Aw_p,6.46618688251635e-16,7.03471799659897e-09
constant,24,65,2,Aw_m,6.46618688251575e-16,3.58373680019271e-09
constant,24,65,2,Aio,5.91046314362366e-24,6.07380887208266e-09
constant,24,65,2,Amda,9.79193065361169e-22,1.42889198698314e-09
exponential,8,17,1,Ag_q,1.6742922574699e-24,4.10297183581277e-14
exponential,8,17,1,Ag_0,2.17045352117009e-20,1.42834662904584e-11
exponential,8,17,1,Aw_p,3.1091659170182e-11,1.90150729001765e-08
exponential,8,17,1,Aw_m,3.10916592173111e-11,1.19362595939502e-08
exponential,8,17,1,Aio,5.70452371835092e-18,1.8103291431404e-08
exponential,8,17,1,Amda,1.39343994088652e-21,1.75967967054352e-09
exponential,8,17,2,Ag_q,1.6742922574699e-24,4.10297183581277e-14
exponential,8,17,2,Ag_0,2.17045352117009e-20,1.42834662904584e-11
exponential,8,17,2,Aw_p,4.53642201820667e-15,1.90150729001765e-08
exponential,8,17,2,Aw_m,4.53634094274599e-15,1.19362595939502e-08
exponential,8,17,2,Aio,5.70452371835092e-18,1.8103291431404e-08
exponential,8,17,2,Amda,1.39343994088652e-21,1.75967967054352e-09
exponential,8,65,1,Ag_q,1.10127136320335e-25,4.10297183581285e-14
exponential,8,65,1,Ag_0,1.27260520516073e-21,1.42834662911345e-11
exponential,8,65,1,Aw_p,1.68381821609924e-12,1.90150729002219e-08
exponential,8,65,1,Aw_m,1.68381821609958e-12,1.19362595939831e-08
exponential,8,65,1,Aio,1.52253522013202e-23,1.81032914314043e-08
exponential,8,65,1,Amda,5.19903949081417e-22,1.75967967054297e-09
exponential,8,65,2,Ag_q,1.10127136320335e-25,4.10297183581285e-14
exponential,8,65,2,Ag_0,1.27260520516073e-21,1.42834662911345e-11
exponential,8,65,2,Aw_p,4.53632471324733e-15,1.90150729002219e-08
exponential,8,65,2,Aw_m,4.53632471327913e-15,1.19362595939831e-08
exponential,8,65,2,Aio,1.52253522013202e-23,1.81032914314043e-08
exponential,8,65,2,Amda,5.19903949081417e-22,1.75967967054297e-09
exponential,24,33,1,Ag_q,1.07320098840011e-25,4.10297183710479e-14
exponential,24,33,1,Ag_0,1.24233351849152e-21,1.42834662974875e-11
exponential,24,33,1,Aw_p,8.01460747119382e-12,1.90150729159225e-08
exponential,24,33,1,Aw_m,8.01460747119381e-12,1.19362596194102e-08
exponential,24,33,1,Aio,1.33589791095079e-23,1.81032914314043e-08
exponential,24,33,1,Amda,4.28468578654654e-22,1.75967967054316e-09
exponential,24,33,2,Ag_q,1.07320098840011e-25,4.10297183710479e-14
exponential,24,33,2,Ag_0,1.24233351849152e-21,1.42834662974875e-11
exponential,24,33,2,Aw_p,6.46688323581687e-16,1.90150729159225e-08
exponential,24,33,2,Aw_m,6.46688323583469e-16,1.19362596194102e-08
exponential,24,33,2,Aio,1.33589791095079e-23,1.81032914314043e-08
exponential,24,33,2,Amda,4.28468578654654e-22,1.75967967054316e-09
exponential,24,65,1,Ag_q,1.10141952402768e-25,4.1029718371048e-14
exponential,24,65,1,Ag_0,1.27303657360894e-21,1.42834662973309e-11
exponential,24,65,1,Aw_p,1.81535339953218e-12,1.90150729159224e-08
exponential,24,65,1,Aw_m,1.81535339953243e-12,1.19362596194102e-08
exponential,24,65,1,Aio,1.26630342336667e-23,1.81032914314043e-08
exponential,24,65,1,Amda,5.66644568403363e-22,1.75967967054297e-09
exponential,24,65,2,Ag_q,1.10141952402768e-25,4.1029718371048e-14
exponential,24,65,2,Ag_0,1.27303657360894e-21,1.42834662973309e-11
exponential,24,65,2,Aw_p,6.46688323370259e-16,1.90150729159224e-08
exponential,24,65,2,Aw_m,6.46688323365276e-16,1.19362596194102e-08
exponential,24,65,2,Aio,1.26630342336667e-23,1.81032914314043e-08
exponential,24,65,2,Amda,5.66644568403363e-22,1.75967967054297e-09
