profile,nx,nz,strategy,medianSeconds,trial1,trial2,trial3,trial4,trial5
constant,8,17,1,0.001838875,0.00425757083333333,0.00242438472222222,0.001838875,0.00167286111111111,0.0016550625
constant,8,17,2,0.00191969027777778,0.00483971944444444,0.00253800277777778,0.00191969027777778,0.00176177222222222,0.00166664583333333
constant,8,65,1,0.00305490277777778,0.00359853888888889,0.00305490277777778,0.00314319166666667,0.00267456666666667,0.00266842083333333
constant,8,65,2,0.00317250972222222,0.00317250972222222,0.00379210138888889,0.003447225,0.0028492375,0.0027486625
constant,24,33,1,0.00640992083333333,0.00660848611111111,0.006402625,0.00640992083333333,0.00633310833333333,0.00681229583333333
constant,24,33,2,0.00691499305555556,0.00729323194444445,0.00682540972222222,0.00695330833333333,0.00684348194444444,0.00691499305555556
constant,24,65,1,0.00851995416666667,0.00851995416666667,0.00866830555555556,0.00841332083333333,0.00872700972222222,0.008443425
constant,24,65,2,0.009330325,0.00974464583333333,0.00899603888888889,0.00943019166666667,0.009330325,0.00926503055555556
exponential,8,17,1,0.00137943888888889,0.00163620972222222,0.001404225,0.00137243472222222,0.00137943888888889,0.00134631111111111
exponential,8,17,2,0.001617275,0.00169487638888889,0.00164604166666667,0.00161230277777778,0.001617275,0.00154719861111111
exponential,8,65,1,0.00241267083333333,0.00218963333333333,0.00253567777777778,0.00241267083333333,0.00236018194444444,0.00287219861111111
exponential,8,65,2,0.00238567361111111,0.00242796388888889,0.00232753194444444,0.00238567361111111,0.00238183611111111,0.00297740416666667
exponential,24,33,1,0.00657842083333333,0.00698518333333333,0.00712825,0.00657842083333333,0.0059453875,0.00590961527777778
exponential,24,33,2,0.00715770555555556,0.00844234027777778,0.00853180694444444,0.00715770555555556,0.00678236527777778,0.00650449583333333
exponential,24,65,1,0.00960642916666667,0.0101537958333333,0.00960143888888889,0.00960642916666667,0.00959404722222222,0.00961649444444444
exponential,24,65,2,0.0104453597222222,0.0115949111111111,0.0104468388888889,0.0104453597222222,0.0103770125,0.0104157388888889
