family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,direction,count,status,referenceNz,withoutBuoyancyError,minimumGamma,maximumSSHOverDepth
Ag_q,1.77984547135689e-26,1.85407120953713e-14,9.59966080160011e-13,2.7030127355178e-23,1.38418322105562e-06,0.000138327238143899,constant,0.01,327,horizontal,8,assessed,1025,9.59966080160011e-13,0.999972892013768,2.71079862315418e-05
Ag_0,5.11420680607007e-22,2.59122821607734e-12,1.97366128322424e-10,3.80379371497923e-19,0.000146935670947564,0.0146738380956877,constant,0.01,327,horizontal,8,assessed,1025,1.97366128322424e-10,0.999972892013768,2.71079862315418e-05
Aw_p,2.16775921012625e-14,7.03471790234882e-09,3.08151547825743e-06,1.86968790156941e-14,0.0057393154833061,0.265780044309253,constant,0.01,327,horizontal,8,assessed,1025,4.49899007405611e-15,0.999972892013768,2.71079862315418e-05
Aw_m,2.16775921012498e-14,3.58373666432905e-09,6.04887973969156e-06,1.86968790153267e-14,0.0112660230458402,0.521714499401761,constant,0.01,327,horizontal,8,assessed,1025,1.01533262791354e-14,0.999972892013768,2.71079862315418e-05
Aio,3.70120312353661e-24,6.07380887208267e-09,6.09371022612946e-16,6.22833758143288e-23,1.08637873637029e-11,1.02544164414176e-09,constant,0.01,327,horizontal,8,assessed,1025,6.09371022612946e-16,0.999972892013768,2.71079862315418e-05
Amda,5.25401977330347e-21,1.42889198720072e-09,3.67698875797911e-12,4.85659053273439e-19,3.43561818445528e-07,3.39884832260862e-05,constant,0.01,327,horizontal,8,assessed,1025,3.67698875797911e-12,0.999972892013768,2.71079862315418e-05
Ag_q,2.84497381546692e-26,1.85407120953713e-14,1.53444689763408e-12,2.7030127355178e-23,1.38472830269794e-06,0.000138327238143899,constant,0.01,327,horizontal,12,assessed,1025,1.53444689763408e-12,0.999971908992065,2.80910079350615e-05
Ag_0,6.89760057852913e-22,2.59122821607734e-12,2.66190393255708e-10,3.80379371497923e-19,0.000147004468662263,0.0146738380956877,constant,0.01,327,horizontal,12,assessed,1025,2.66190393255708e-10,0.999971908992065,2.80910079350615e-05
Aw_p,6.89195523706487e-15,7.03471790234882e-09,9.797059857601e-07,1.86968790156941e-14,0.00363750628958538,0.265780044309253,constant,0.01,327,horizontal,12,assessed,1025,1.08254278848258e-15,0.999971908992065,2.80910079350615e-05
Aw_m,6.89195523707298e-15,3.58373666432905e-09,1.92311988368802e-06,1.86968790153267e-14,0.00714026434108157,0.521714499401761,constant,0.01,327,horizontal,12,assessed,1025,2.2703308717123e-15,0.999971908992065,2.80910079350615e-05
Aio,9.95175502216482e-25,6.07380887208267e-09,1.63847023041942e-16,6.22833758143288e-23,1.04182634374835e-11,1.02544164414176e-09,constant,0.01,327,horizontal,12,assessed,1025,1.63847023041942e-16,0.999971908992065,2.80910079350615e-05
Amda,3.46737066069043e-21,1.42889198720072e-09,2.42661495182935e-12,4.85659053273439e-19,3.42311445514443e-07,3.39884832260862e-05,constant,0.01,327,horizontal,12,assessed,1025,2.42661495182935e-12,0.999971908992065,2.80910079350615e-05
