surfaceRatio,nx,field,absoluteError,referenceNorm,relativeError
0.05,8,u,2.77928956867876e-07,0.0889363646846667,3.12503167689957e-06
0.05,8,v,0,0,0
0.05,8,w,2.1522129809571e-08,0.0055138086207937,3.90331462147718e-06
0.05,8,eta,2.25074829903416e-16,0,0.000225074829903416
0.05,12,u,1.63289569021307e-13,0.0889363655509569,1.83602700661012e-12
0.05,12,v,0,0,0
0.05,12,w,1.45379454047398e-14,0.00551690797078964,2.63516184821532e-12
0.05,12,eta,2.73218755159937e-16,0,0.000273218755159937
0.05,16,u,3.33042209863318e-16,0.0889363655509577,3.74472475685433e-15
0.05,16,v,0,0,0
0.05,16,w,7.16534564374034e-15,0.00552227190043667,1.29753582817495e-12
0.05,16,eta,2.08391023197716e-16,0,0.000208391023197716
0.05,24,u,2.3664127325468e-16,0.0889363655509577,2.66079316136538e-15
0.05,24,v,0,0,0
0.05,24,w,7.15712577114913e-15,0.00552355947128372,1.29574521798092e-12
0.05,24,eta,2.02292773492144e-16,0,0.000202292773492144
0.05,32,u,2.65223576284571e-16,0.0889363655509577,2.98217241779018e-15
0.05,32,v,0,0,0
0.05,32,w,7.29273751227127e-15,0.00552345961357974,1.32032060021615e-12
0.05,32,eta,1.48373182878031e-16,0,0.000148373182878031
0.05,48,u,2.30613674207454e-16,0.0889363655509577,2.59301887117615e-15
0.05,48,v,0,0,0
0.05,48,w,7.21909782439695e-15,0.00552461579037462,1.30671490983583e-12
0.05,48,eta,1.79434410676089e-16,0,0.000179434410676089
0.05,64,u,1.69004129638109e-16,0.0889363655509577,1.90028149442733e-15
0.05,64,v,0,0,0
0.05,64,w,7.25205455062843e-15,0.00552445945872706,1.31271748934138e-12
0.05,64,eta,1.50513215104683e-16,0,0.000150513215104683
0.2,8,u,0.00030572708060529,0.381195156279064,0.000802022469512897
0.2,8,v,0,0,0
0.2,8,w,2.41329186120233e-05,0.0266763491523326,0.000904655973507269
0.2,8,eta,9.03123801978844e-16,0,0.000903123801978844
0.2,12,u,4.77599054843705e-08,0.381209844823946,1.25285078895136e-07
0.2,12,v,0,0,0
0.2,12,w,3.76998509808033e-09,0.0267121118006738,1.41133921803413e-07
0.2,12,eta,1.14117042725546e-15,0,0.00114117042725546
0.2,16,u,6.63177891684187e-12,0.381209847434297,1.73966621310455e-11
0.2,16,v,0,0,0
0.2,16,w,5.3863396855398e-13,0.0267351673688335,2.01470206310319e-11
0.2,16,eta,8.50892970746515e-16,0,0.000850892970746515
0.2,24,u,2.51474529103802e-15,0.381209847434681,6.59674798004505e-15
0.2,24,v,0,0,0
0.2,24,w,1.19201045663145e-13,0.0267442047890154,4.45707945341881e-12
0.2,24,eta,8.08636015708277e-16,0,0.000808636015708277
0.2,32,u,2.59530600436074e-15,0.381209847434681,6.80807702588385e-15
0.2,32,v,0,0,0
0.2,32,w,1.21557364224969e-13,0.0267487516470389,4.54441260769736e-12
0.2,32,eta,5.95660644285172e-16,0,0.000595660644285173
0.2,48,u,2.51862411158256e-15,0.381209847434681,6.60692300718732e-15
0.2,48,v,0,0,0
0.2,48,w,1.2017361733911e-13,0.0267517261063749,4.49218180768055e-12
0.2,48,eta,7.4701149885788e-16,0,0.00074701149885788
0.2,64,u,2.54362768948611e-15,0.381209847434681,6.67251307017181e-15
0.2,64,v,0,0,0
0.2,64,w,1.20835480426758e-13,0.0267503427855253,4.51715633685796e-12
0.2,64,eta,6.14723279400028e-16,0,0.000614723279400028
0.5,8,u,0.0468388482000197,1.36995069898214,0.0341901706644046
0.5,8,v,0,0,0
0.5,8,w,0.00419446519975402,0.0987435217087159,0.0424783836668019
0.5,8,eta,2.67324370620062e-15,0,0.00267324370620062
0.5,12,u,0.000362146518626944,1.38170219008125,0.0002621017186096
0.5,12,v,0,0,0
0.5,12,w,3.24305791113431e-05,0.0985026094034593,0.000329235736065731
0.5,12,eta,3.17866831007556e-15,0,0.00317866831007556
0.5,16,u,2.48904496738583e-06,1.3818080860319,1.80129570274375e-06
0.5,16,v,0,0,0
0.5,16,w,2.22896493409346e-07,0.0985469870142145,2.26182961207322e-06
0.5,16,eta,1.81447375263485e-15,0,0.00181447375263485
0.5,24,u,9.92065786775312e-11,1.38180886377681,7.17947187039863e-11
0.5,24,v,0,0,0
0.5,24,w,8.98471094285233e-12,0.0985766044646379,9.11444555394012e-11
0.5,24,eta,2.14212834726655e-15,0,0.00214212834726655
0.5,32,u,1.67131881230968e-14,1.38180886380958,1.2095151913427e-14
0.5,32,v,0,0,0
0.5,32,w,1.00216946061471e-12,0.098587290799339,1.01653007450472e-11
0.5,32,eta,1.636944886119e-15,0,0.001636944886119
0.5,48,u,1.58702183977456e-14,1.38180886380959,1.14851039195045e-14
0.5,48,v,0,0,0
0.5,48,w,9.67059550888613e-13,0.0985931259441408,9.80859001708205e-12
0.5,48,eta,2.10323453185395e-15,0,0.00210323453185395
0.5,64,u,1.61217152819692e-14,1.38180886380959,1.1667109470931e-14
0.5,64,v,0,0,0
0.5,64,w,9.84696847891732e-13,0.0985962588733155,9.98716238470013e-12
0.5,64,eta,1.42512488567194e-15,0,0.00142512488567194
