family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,referenceNz
Ag_q,0,1.85407120953713e-14,0,2.7030127355178e-23,1.38327238143899e-06,0.000138327238143899,constant,0.01,327,1025
Ag_0,0,2.59122821607734e-12,0,3.80379371497923e-19,0.000146738380956877,0.0146738380956877,constant,0.01,327,1025
Aw_p,0,7.03471790234882e-09,0,1.86968790156941e-14,0.00265780044309253,0.265780044309253,constant,0.01,327,1025
Aw_m,0,3.58373666432905e-09,0,1.86968790153267e-14,0.00521714499401761,0.521714499401761,constant,0.01,327,1025
Aio,0,6.07380887208267e-09,0,6.22833758143288e-23,1.02544164414176e-11,1.02544164414176e-09,constant,0.01,327,1025
Amda,0,1.42889198720072e-09,0,4.85659053273439e-19,3.39884832260862e-07,3.39884832260862e-05,constant,0.01,327,1025
Ag_q,0,1.86025182603944e-14,0,2.82270562425902e-23,1.43997091943136e-06,0.000143997091943136,constant,0.01,901,1025
Ag_0,0,2.85649617817844e-12,0,3.9725455135055e-19,0.000139021901195958,0.0139021901195958,constant,0.01,901,1025
Aw_p,0,6.99885208558789e-09,0,1.72851500435279e-14,0.00246971179879767,0.246971179879767,constant,0.01,901,1025
Aw_m,0,3.5463375836558e-09,0,1.72851500441442e-14,0.00487408340642013,0.487408340642013,constant,0.01,901,1025
Aio,0,5.86099386980233e-09,0,3.21111925795163e-23,5.47879554458633e-12,5.47879554458633e-10,constant,0.01,901,1025
Amda,0,7.83999809216396e-10,0,2.71231221523762e-19,3.45957833633943e-07,3.45957833633942e-05,constant,0.01,901,1025
Ag_q,0,1.85408499472393e-12,0,7.36550329868233e-23,3.97043980175067e-08,3.97043980175067e-06,constant,0.1,327,257
Ag_0,0,2.59124699102155e-10,0,9.5378821899454e-19,3.68079361599147e-06,0.000368079361599147,constant,0.1,327,257
Aw_p,0,7.03495316641637e-07,0,2.36186548128549e-12,0.00335732935537268,0.335732935537268,constant,0.1,327,257
Aw_m,0,3.58376418862161e-07,0,2.36186548129235e-12,0.00659046005928841,0.659046005928841,constant,0.1,327,257
Aio,0,6.07381962827541e-07,0,2.19903331133703e-21,3.62051137883545e-12,3.62051137883545e-10,constant,0.1,327,257
Amda,0,1.42893612473107e-07,0,2.73495140705639e-18,1.91397735740731e-08,1.91397735740731e-06,constant,0.1,327,257
Ag_q,0,1.8602628430823e-12,0,7.83641034353473e-23,4.21026528985957e-08,4.21026528985957e-06,constant,0.1,901,257
Ag_0,0,2.85651752072307e-10,0,1.0164854264189e-18,3.55846537113565e-06,0.000355846537113565,constant,0.1,901,257
Aw_p,0,6.99906341519964e-07,0,2.08353266214556e-12,0.00297687352659779,0.297687352659779,constant,0.1,901,257
Aw_m,0,3.54635318624624e-07,0,2.0835326621541e-12,0.00587514143926635,0.587514143926635,constant,0.1,901,257
Aio,0,5.86099703415918e-07,0,1.40366874173723e-21,2.39493166633834e-12,2.39493166633834e-10,constant,0.1,901,257
Amda,0,7.84022806770212e-08,0,1.45472727200099e-18,1.85546547993813e-08,1.85546547993813e-06,constant,0.1,901,257
