profile,amplitude,time,direction,count,field,absoluteError,referenceNorm
constant,0.01,327,horizontal,8,u,1.49227647236645e-20,2.0039719719615e-08
constant,0.01,327,horizontal,8,v,9.31714292477249e-21,8.55355008760019e-09
constant,0.01,327,horizontal,8,w,4.95171141890143e-08,1.31375992657504e-06
constant,0.01,327,horizontal,8,eta,1.17384485282778e-19,4.15243015251295e-07
constant,0.01,327,horizontal,12,u,3.32215827106749e-20,2.0039719719615e-08
constant,0.01,327,horizontal,12,v,1.22747837914166e-20,8.55355008760019e-09
constant,0.01,327,horizontal,12,w,1.51026662904045e-08,1.31375992657504e-06
constant,0.01,327,horizontal,12,eta,1.72482818427871e-19,4.15243015251295e-07
constant,0.01,327,horizontal,16,u,1.28645938493963e-20,2.0039719719615e-08
constant,0.01,327,horizontal,16,v,4.10825258146172e-21,8.55355008760019e-09
constant,0.01,327,horizontal,16,w,6.40678195461955e-09,1.31375992657504e-06
constant,0.01,327,horizontal,16,eta,6.75624910932603e-20,4.15243015251295e-07
constant,0.01,327,horizontal,24,u,2.54768732966093e-20,2.0039719719615e-08
constant,0.01,327,horizontal,24,v,1.00392865374417e-20,8.55355008760019e-09
constant,0.01,327,horizontal,24,w,1.61266585184724e-09,1.31375992657504e-06
constant,0.01,327,horizontal,24,eta,1.45354288934477e-19,4.15243015251295e-07
constant,0.01,327,horizontal,32,u,6.62022260176008e-21,2.0039719719615e-08
constant,0.01,327,horizontal,32,v,2.00999974608037e-21,8.55355008760019e-09
constant,0.01,327,horizontal,32,w,9.78762404087551e-10,1.31375992657504e-06
constant,0.01,327,horizontal,32,eta,3.80402182750751e-20,4.15243015251295e-07
constant,0.01,327,horizontal,48,u,1.95991339699129e-20,2.0039719719615e-08
constant,0.01,327,horizontal,48,v,7.78787306369118e-21,8.55355008760019e-09
constant,0.01,327,horizontal,48,w,4.23412900378511e-10,1.31375992657504e-06
constant,0.01,327,horizontal,48,eta,1.30597657354585e-19,4.15243015251295e-07
constant,0.01,327,horizontal,64,u,0,2.0039719719615e-08
constant,0.01,327,horizontal,64,v,0,8.55355008760019e-09
constant,0.01,327,horizontal,64,w,0,1.31375992657504e-06
constant,0.01,327,horizontal,64,eta,0,4.15243015251295e-07
constant,0.01,327,vertical,9,u,1.29739939953056e-11,2.0039719719615e-08
constant,0.01,327,vertical,9,v,9.72493379816799e-12,8.55355008760019e-09
constant,0.01,327,vertical,9,w,7.1809403499179e-06,1.31375992657504e-06
constant,0.01,327,vertical,9,eta,4.30044277768492e-10,4.15243015251295e-07
constant,0.01,327,vertical,13,u,7.20928335284163e-15,2.0039719719615e-08
constant,0.01,327,vertical,13,v,5.59247641274915e-15,8.55355008760019e-09
constant,0.01,327,vertical,13,w,5.83933799844976e-06,1.31375992657504e-06
constant,0.01,327,vertical,13,eta,1.69210095352454e-13,4.15243015251295e-07
constant,0.01,327,vertical,17,u,1.44169797930764e-18,2.0039719719615e-08
constant,0.01,327,vertical,17,v,1.30304084168516e-18,8.55355008760019e-09
constant,0.01,327,vertical,17,w,5.02200467975676e-06,1.31375992657504e-06
constant,0.01,327,vertical,17,eta,4.72692180878358e-17,4.15243015251295e-07
constant,0.01,327,vertical,25,u,9.02655180804778e-19,2.0039719719615e-08
constant,0.01,327,vertical,25,v,5.39028337454656e-19,8.55355008760019e-09
constant,0.01,327,vertical,25,w,4.03101727526829e-06,1.31375992657504e-06
constant,0.01,327,vertical,25,eta,4.27772197598443e-17,4.15243015251295e-07
constant,0.01,327,vertical,33,u,9.02609225486148e-19,2.0039719719615e-08
constant,0.01,327,vertical,33,v,5.38995036824212e-19,8.55355008760019e-09
constant,0.01,327,vertical,33,w,3.42490903539484e-06,1.31375992657504e-06
constant,0.01,327,vertical,33,eta,4.27753837984527e-17,4.15243015251295e-07
constant,0.01,327,vertical,49,u,9.02735887470857e-19,2.0039719719615e-08
constant,0.01,327,vertical,49,v,5.39056553780934e-19,8.55355008760019e-09
constant,0.01,327,vertical,49,w,2.68224092867515e-06,1.31375992657504e-06
constant,0.01,327,vertical,49,eta,4.27828948069718e-17,4.15243015251295e-07
constant,0.01,327,vertical,65,u,9.02752957694281e-19,2.0039719719615e-08
constant,0.01,327,vertical,65,v,5.39226279151785e-19,8.55355008760019e-09
constant,0.01,327,vertical,65,w,2.21989737853956e-06,1.31375992657504e-06
constant,0.01,327,vertical,65,eta,4.27704277170168e-17,4.15243015251295e-07
constant,0.01,327,vertical,97,u,8.99045482879788e-19,2.0039719719615e-08
constant,0.01,327,vertical,97,v,5.38120942662744e-19,8.55355008760019e-09
constant,0.01,327,vertical,97,w,1.63852750901247e-06,1.31375992657504e-06
constant,0.01,327,vertical,97,eta,4.27669762241381e-17,4.15243015251295e-07
constant,0.01,327,vertical,129,u,8.97365674259609e-19,2.0039719719615e-08
constant,0.01,327,vertical,129,v,5.38613508617445e-19,8.55355008760019e-09
constant,0.01,327,vertical,129,w,1.26503274062433e-06,1.31375992657504e-06
constant,0.01,327,vertical,129,eta,4.27368283811828e-17,4.15243015251295e-07
constant,0.01,327,vertical,193,u,8.97839776841658e-19,2.0039719719615e-08
constant,0.01,327,vertical,193,v,5.36390159637853e-19,8.55355008760019e-09
constant,0.01,327,vertical,193,w,7.87668414725184e-07,1.31375992657504e-06
constant,0.01,327,vertical,193,eta,4.2915299981207e-17,4.15243015251295e-07
constant,0.01,327,vertical,257,u,8.96852262256515e-19,2.0039719719615e-08
constant,0.01,327,vertical,257,v,5.34916507526624e-19,8.55355008760019e-09
constant,0.01,327,vertical,257,w,5.09855034959476e-07,1.31375992657504e-06
constant,0.01,327,vertical,257,eta,4.14524152473648e-17,4.15243015251295e-07
constant,0.01,901,horizontal,8,u,1.09249788815308e-20,2.1351735221569e-08
constant,0.01,901,horizontal,8,v,8.37223416949407e-21,8.5596789393261e-09
constant,0.01,901,horizontal,8,w,4.17103016008913e-08,1.14170550289179e-06
constant,0.01,901,horizontal,8,eta,1.1616289755678e-19,3.22269420539897e-07
constant,0.01,901,horizontal,12,u,9.99636549503303e-21,2.1351735221569e-08
constant,0.01,901,horizontal,12,v,9.60446993592564e-21,8.5596789393261e-09
constant,0.01,901,horizontal,12,w,1.39565540608266e-08,1.14170550289179e-06
constant,0.01,901,horizontal,12,eta,1.18664763456899e-19,3.22269420539897e-07
constant,0.01,901,horizontal,16,u,6.93679947724316e-21,2.1351735221569e-08
constant,0.01,901,horizontal,16,v,5.85116676540905e-21,8.5596789393261e-09
constant,0.01,901,horizontal,16,w,4.47974170671069e-09,1.14170550289179e-06
constant,0.01,901,horizontal,16,eta,7.00077523947634e-20,3.22269420539897e-07
constant,0.01,901,horizontal,24,u,6.61082103843845e-21,2.1351735221569e-08
constant,0.01,901,horizontal,24,v,4.45747774460271e-21,8.5596789393261e-09
constant,0.01,901,horizontal,24,w,1.73837872169889e-09,1.14170550289179e-06
constant,0.01,901,horizontal,24,eta,8.19472344614982e-20,3.22269420539897e-07
constant,0.01,901,horizontal,32,u,6.15484516596516e-21,2.1351735221569e-08
constant,0.01,901,horizontal,32,v,2.79660017396371e-21,8.5596789393261e-09
constant,0.01,901,horizontal,32,w,6.60889193236377e-10,1.14170550289179e-06
constant,0.01,901,horizontal,32,eta,4.91367218190206e-20,3.22269420539897e-07
constant,0.01,901,horizontal,48,u,6.80277857356853e-21,2.1351735221569e-08
constant,0.01,901,horizontal,48,v,7.71098759981899e-21,8.5596789393261e-09
constant,0.01,901,horizontal,48,w,3.0239180545227e-10,1.14170550289179e-06
constant,0.01,901,horizontal,48,eta,1.06997284786337e-19,3.22269420539897e-07
constant,0.01,901,horizontal,64,u,0,2.1351735221569e-08
constant,0.01,901,horizontal,64,v,0,8.5596789393261e-09
constant,0.01,901,horizontal,64,w,0,1.14170550289179e-06
constant,0.01,901,horizontal,64,eta,0,3.22269420539897e-07
constant,0.01,901,vertical,9,u,1.29772666977639e-11,2.1351735221569e-08
constant,0.01,901,vertical,9,v,9.73413637179226e-12,8.5596789393261e-09
constant,0.01,901,vertical,9,w,6.37459409688259e-06,1.14170550289179e-06
constant,0.01,901,vertical,9,eta,4.30253729331782e-10,3.22269420539897e-07
constant,0.01,901,vertical,13,u,7.20817204037811e-15,2.1351735221569e-08
constant,0.01,901,vertical,13,v,5.58797614489023e-15,8.5596789393261e-09
constant,0.01,901,vertical,13,w,5.18654690378638e-06,1.14170550289179e-06
constant,0.01,901,vertical,13,eta,1.69090661543913e-13,3.22269420539897e-07
constant,0.01,901,vertical,17,u,1.47356983136927e-18,2.1351735221569e-08
constant,0.01,901,vertical,17,v,1.29441717873706e-18,8.5596789393261e-09
constant,0.01,901,vertical,17,w,4.46317189223459e-06,1.14170550289179e-06
constant,0.01,901,vertical,17,eta,4.8788047934652e-17,3.22269420539897e-07
constant,0.01,901,vertical,25,u,9.27860889443186e-19,2.1351735221569e-08
constant,0.01,901,vertical,25,v,5.42261954439159e-19,8.5596789393261e-09
constant,0.01,901,vertical,25,w,3.58682478348543e-06,1.14170550289179e-06
constant,0.01,901,vertical,25,eta,4.43535010178582e-17,3.22269420539897e-07
constant,0.01,901,vertical,33,u,9.27911015947811e-19,2.1351735221569e-08
constant,0.01,901,vertical,33,v,5.42244242265442e-19,8.5596789393261e-09
constant,0.01,901,vertical,33,w,3.05146450595638e-06,1.14170550289179e-06
constant,0.01,901,vertical,33,eta,4.43513733145801e-17,3.22269420539897e-07
constant,0.01,901,vertical,49,u,9.28213244089914e-19,2.1351735221569e-08
constant,0.01,901,vertical,49,v,5.42351221373209e-19,8.5596789393261e-09
constant,0.01,901,vertical,49,w,2.39659005249728e-06,1.14170550289179e-06
constant,0.01,901,vertical,49,eta,4.43595362917652e-17,3.22269420539897e-07
constant,0.01,901,vertical,65,u,9.28760692193344e-19,2.1351735221569e-08
constant,0.01,901,vertical,65,v,5.42583110474676e-19,8.5596789393261e-09
constant,0.01,901,vertical,65,w,1.98984548676088e-06,1.14170550289179e-06
constant,0.01,901,vertical,65,eta,4.43465978445243e-17,3.22269420539897e-07
constant,0.01,901,vertical,97,u,9.26258828615398e-19,2.1351735221569e-08
constant,0.01,901,vertical,97,v,5.41667233925392e-19,8.5596789393261e-09
constant,0.01,901,vertical,97,w,1.47986271737663e-06,1.14170550289179e-06
constant,0.01,901,vertical,97,eta,4.43445166029984e-17,3.22269420539897e-07
constant,0.01,901,vertical,129,u,9.26918936250467e-19,2.1351735221569e-08
constant,0.01,901,vertical,129,v,5.43002762974319e-19,8.5596789393261e-09
constant,0.01,901,vertical,129,w,1.15309355089837e-06,1.14170550289179e-06
constant,0.01,901,vertical,129,eta,4.43132467843062e-17,3.22269420539897e-07
constant,0.01,901,vertical,193,u,9.24795556778181e-19,2.1351735221569e-08
constant,0.01,901,vertical,193,v,5.40323651660669e-19,8.5596789393261e-09
constant,0.01,901,vertical,193,w,7.34260142137882e-07,1.14170550289179e-06
constant,0.01,901,vertical,193,eta,4.45032191758505e-17,3.22269420539897e-07
constant,0.01,901,vertical,257,u,9.25902443068682e-19,2.1351735221569e-08
constant,0.01,901,vertical,257,v,5.36615239940903e-19,8.5596789393261e-09
constant,0.01,901,vertical,257,w,4.81570349402793e-07,1.14170550289179e-06
constant,0.01,901,vertical,257,eta,4.29427578201805e-17,3.22269420539897e-07
constant,0.1,327,horizontal,8,u,2.7857345020614e-18,1.00381317779112e-06
constant,0.1,327,horizontal,8,v,7.76221537569623e-19,4.28591357740973e-07
constant,0.1,327,horizontal,8,w,4.50863058184636e-07,1.20622772182122e-05
constant,0.1,327,horizontal,8,eta,1.57402488513109e-17,2.07632041245425e-05
constant,0.1,327,horizontal,12,u,1.65282446701035e-19,1.00381317779112e-06
constant,0.1,327,horizontal,12,v,5.96980383986328e-20,4.28591357740973e-07
constant,0.1,327,horizontal,12,w,1.45486823360195e-07,1.20622772182122e-05
constant,0.1,327,horizontal,12,eta,9.12914173912735e-19,2.07632041245425e-05
constant,0.1,327,horizontal,16,u,8.10879460065156e-20,1.00381317779112e-06
constant,0.1,327,horizontal,16,v,3.79879263654999e-20,4.28591357740973e-07
constant,0.1,327,horizontal,16,w,6.61035696693057e-08,1.20622772182122e-05
constant,0.1,327,horizontal,16,eta,5.97679248161319e-19,2.07632041245425e-05
constant,0.1,327,horizontal,24,u,1.29496986122262e-19,1.00381317779112e-06
constant,0.1,327,horizontal,24,v,6.19142626506733e-20,4.28591357740973e-07
constant,0.1,327,horizontal,24,w,1.96208682469581e-08,1.20622772182122e-05
constant,0.1,327,horizontal,24,eta,8.2477765167665e-19,2.07632041245425e-05
constant,0.1,327,horizontal,32,u,5.22065089149568e-20,1.00381317779112e-06
constant,0.1,327,horizontal,32,v,1.4831473379444e-20,4.28591357740973e-07
constant,0.1,327,horizontal,32,w,8.88565983558773e-09,1.20622772182122e-05
constant,0.1,327,horizontal,32,eta,3.28599505663696e-19,2.07632041245425e-05
constant,0.1,327,horizontal,48,u,1.01563092482463e-19,1.00381317779112e-06
constant,0.1,327,horizontal,48,v,3.93754638946928e-20,4.28591357740973e-07
constant,0.1,327,horizontal,48,w,4.65520490380302e-09,1.20622772182122e-05
constant,0.1,327,horizontal,48,eta,5.81960238277105e-19,2.07632041245425e-05
constant,0.1,327,horizontal,64,u,0,1.00381317779112e-06
constant,0.1,327,horizontal,64,v,0,4.28591357740973e-07
constant,0.1,327,horizontal,64,w,0,1.20622772182122e-05
constant,0.1,327,horizontal,64,eta,0,2.07632041245425e-05
constant,0.1,327,vertical,9,u,6.5348641960162e-10,1.00381317779112e-06
constant,0.1,327,vertical,9,v,4.89792742388154e-10,4.28591357740973e-07
constant,0.1,327,vertical,9,w,3.43674958393418e-05,1.20622772182122e-05
constant,0.1,327,vertical,9,eta,2.16401395601796e-08,2.07632041245425e-05
constant,0.1,327,vertical,13,u,3.63507951270045e-13,1.00381317779112e-06
constant,0.1,327,vertical,13,v,2.81992114963693e-13,4.28591357740973e-07
constant,0.1,327,vertical,13,w,2.72945463568326e-05,1.20622772182122e-05
constant,0.1,327,vertical,13,eta,8.52458844415634e-12,2.07632041245425e-05
constant,0.1,327,vertical,17,u,5.31833934573668e-17,1.00381317779112e-06
constant,0.1,327,vertical,17,v,5.727688833479e-17,4.28591357740973e-07
constant,0.1,327,vertical,17,w,2.28877970019226e-05,1.20622772182122e-05
constant,0.1,327,vertical,17,eta,1.18402834025458e-15,2.07632041245425e-05
constant,0.1,327,vertical,25,u,2.50507426179105e-18,1.00381317779112e-06
constant,0.1,327,vertical,25,v,1.46787791503916e-18,4.28591357740973e-07
constant,0.1,327,vertical,25,w,1.73726726139242e-05,1.20622772182122e-05
constant,0.1,327,vertical,25,eta,1.89109550123843e-16,2.07632041245425e-05
constant,0.1,327,vertical,33,u,2.49641271199394e-18,1.00381317779112e-06
constant,0.1,327,vertical,33,v,1.46478840297812e-18,4.28591357740973e-07
constant,0.1,327,vertical,33,w,1.38537197118797e-05,1.20622772182122e-05
constant,0.1,327,vertical,33,eta,1.88834975897447e-16,2.07632041245425e-05
constant,0.1,327,vertical,49,u,2.51241274024011e-18,1.00381317779112e-06
constant,0.1,327,vertical,49,v,1.48040883623797e-18,4.28591357740973e-07
constant,0.1,327,vertical,49,w,9.33105016954443e-06,1.20622772182122e-05
constant,0.1,327,vertical,49,eta,1.89436693493884e-16,2.07632041245425e-05
