profile,Nz,Lxy,family,kappa,policy,retainedFraction,energyFraction,bandwidthFraction,linearCount,retainedCount,apvCount,sampleCount,maximumAliasError,p95AliasError,maximumReferenceError,maximumFullReferenceError,scoreSeconds,linearConstructionSeconds,fineCount,referenceCount,coarseAgreement
sharp,65,100000,apv,0,none,0.666666666666667,0.99,0.666666666666667,38,38,38,336,0.701032182391166,0.495781094801949,9.26742892113028e-15,2.39321503391324e-13,0.00309333333333333,5.2819345,415,829,0
sharp,65,100000,apv,0,fixedFraction,0.5,0.99,0.666666666666667,38,19,19,111,0.000379254347136565,0.000137166658721187,3.66305831707966e-15,1.6594483379336e-14,0.00112266666666667,5.2819345,415,829,0
sharp,65,100000,apv,0,fixedFraction,0.666666666666667,0.99,0.666666666666667,38,25,25,180,0.00797534354948973,0.00228170225820673,5.9892842307448e-15,2.07932171638812e-14,0.000765375,5.2819345,415,829,0
sharp,65,100000,apv,0,fixedFraction,0.75,0.99,0.666666666666667,38,28,28,216,0.137147112790994,0.0292348038341577,6.79774373197916e-15,2.43523554780073e-14,0.000695458333333333,5.2819345,415,829,0
sharp,65,100000,apv,0,effectiveBandwidth,0.666666666666667,0.95,0.5,38,21,21,132,0.00106195920138181,0.000615654787837207,4.5001681693938e-15,1.86553896712121e-14,0.00255745833333333,5.2819345,415,829,0
sharp,65,100000,apv,0,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,38,27,27,204,0.0468560775744195,0.00975498757248218,6.79774373197916e-15,2.43523554780073e-14,0.001908,5.2819345,415,829,0
sharp,65,100000,apv,0,effectiveBandwidth,0.666666666666667,0.95,0.75,38,31,31,252,0.535574219578391,0.23621234153786,6.79774373197916e-15,2.65980876958232e-14,0.00182345833333333,5.2819345,415,829,0
sharp,65,100000,apv,0,effectiveBandwidth,0.666666666666667,0.99,0.5,38,20,20,120,0.000617415551734316,0.000245754678147192,3.66305831707966e-15,1.71708403440899e-14,0.00179916666666667,5.2819345,415,829,0
sharp,65,100000,apv,0,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,38,26,26,192,0.0171104701198732,0.00535764478761003,5.9892842307448e-15,2.14566879239026e-14,0.00178970833333333,5.2819345,415,829,0
sharp,65,100000,apv,0,effectiveBandwidth,0.666666666666667,0.99,0.75,38,30,30,240,0.488841310052859,0.12461755732246,6.79774373197916e-15,2.44889081047894e-14,0.0070545,5.2819345,415,829,0
sharp,65,100000,apv,0,effectiveBandwidth,0.666666666666667,0.999,0.5,38,18,18,105,0.000245754678147192,8.14924040484836e-05,3.66305831707966e-15,1.5389932432335e-14,0.00292758333333333,5.2819345,415,829,0
sharp,65,100000,apv,0,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,38,24,24,168,0.00497468933711023,0.00141483523631904,5.30133905235051e-15,1.94947454440711e-14,0.002616625,5.2819345,415,829,0
sharp,65,100000,apv,0,effectiveBandwidth,0.666666666666667,0.999,0.75,38,28,28,216,0.137147112790994,0.0292348038341577,6.79774373197916e-15,2.43523554780073e-14,0.00218379166666667,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,none,0.666666666666667,0.99,0.666666666666667,38,38,38,564,0.701061167389902,0.472908894006569,9.4907541958653e-15,1.57083298256969e-13,0.00059625,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,fixedFraction,0.5,0.99,0.666666666666667,38,19,19,168,0.000378248449166687,0.000137059575464692,4.42261654773767e-15,1.77961695984806e-14,0.000503625,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,fixedFraction,0.666666666666667,0.99,0.666666666666667,38,25,25,291,0.00797036628794542,0.00227815429513183,5.46430268602529e-15,2.26117018588339e-14,0.000275208333333333,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,fixedFraction,0.75,0.99,0.666666666666667,38,28,28,354,0.137323659100567,0.0255327539245247,7.71929004891564e-15,2.59253944688733e-14,0.000127083333333333,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.95,0.5,38,21,21,207,0.00106029845812087,0.000616350716354089,4.9806496044724e-15,1.99262065597714e-14,0.00170016666666667,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,38,27,27,333,0.0470901575469166,0.00978714933531377,7.71929004891564e-15,2.59253944688733e-14,0.00153641666666667,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.95,0.75,38,31,31,417,0.535582034219935,0.236351697349216,7.71929004891564e-15,2.92824787040564e-14,0.00131566666666667,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.99,0.5,38,20,20,186,0.000617832594920097,0.000255701701040362,4.42261654773767e-15,1.95019025139251e-14,0.002052125,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,38,26,26,312,0.0172033531963896,0.00497263388737936,5.46430268602529e-15,2.36157178590613e-14,0.002465875,5.2819345,415,829,0
sharp,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.99,0.75,38,30,30,396,0.488935662222588,0.124642301407155,7.71929004891564e-15,2.79424322324798e-14,0.00204741666666667,5.2819345,415,829,0
