profile,Nz,Lxy,family,kappa,i,j,channel,mixed,aliasError,referenceError,fullReferenceError
sharp,65,100000,apv,0,1,1,FF,0,1.01293050509931e-09,2.29949518997062e-16,8.8653327698671e-16
sharp,65,100000,apv,0,1,2,FF,0,1.01945151508749e-09,2.16287276751476e-16,7.53292476166442e-16
sharp,65,100000,apv,0,1,38,FF,0,0.000166608491992685,3.65856502497095e-15,1.53364678963794e-14
sharp,65,100000,apv,0,2,2,FF,0,3.56876947712235e-09,1.98648045676635e-16,8.3572112639305e-16
sharp,65,100000,apv,0,2,3,FF,0,8.03654121698317e-09,3.59277883485382e-16,9.8826682629395e-16
sharp,65,100000,apv,0,2,37,FF,0,0.000172306198296905,2.90094280200426e-15,1.25897058368578e-14
sharp,65,100000,apv,0,3,3,FF,0,1.88037444057848e-08,2.78684484176139e-16,1.28993100684616e-15
sharp,65,100000,apv,0,3,4,FF,0,2.15719906288032e-08,3.60618647991375e-16,1.56682722857869e-15
sharp,65,100000,apv,0,3,36,FF,0,0.000214863017386501,3.62972568598257e-15,1.30879701439703e-14
sharp,65,100000,apv,0,4,4,FF,0,1.8968058806005e-08,4.19281865357127e-16,1.9319404485882e-15
sharp,65,100000,apv,0,4,5,FF,0,4.40930654154175e-08,4.48785633081817e-16,2.32107380280073e-15
sharp,65,100000,apv,0,4,35,FF,0,0.000142998235168525,4.62079584241735e-15,1.71686906116962e-14
sharp,65,100000,apv,0,5,5,FF,0,6.01569866431888e-08,4.62024683586944e-16,2.24592677728744e-15
sharp,65,100000,apv,0,5,6,FF,0,8.99170669107006e-08,5.48631254825776e-16,2.99007568531617e-15
sharp,65,100000,apv,0,5,34,FF,0,0.000168678437713128,3.7109788749708e-15,1.5258606455655e-14
sharp,65,100000,apv,0,6,6,FF,0,9.78809866671659e-08,5.24494321105177e-16,2.81046086071317e-15
sharp,65,100000,apv,0,6,7,FF,0,1.6290105475759e-07,7.30556750410094e-16,3.55161935609017e-15
sharp,65,100000,apv,0,6,33,FF,0,0.000174268410847211,2.56992670556254e-15,1.39142837008046e-14
sharp,65,100000,apv,0,7,7,FF,0,2.04252627375355e-07,6.41147000125192e-16,3.11976527692084e-15
sharp,65,100000,apv,0,7,8,FF,0,2.8271039167472e-07,9.56770342205399e-16,4.14021952592996e-15
sharp,65,100000,apv,0,7,32,FF,0,0.000176412805740735,2.92587988112174e-15,1.28909855604374e-14
sharp,65,100000,apv,0,8,8,FF,0,3.67329481170094e-07,9.06406428165966e-16,4.02521727666174e-15
sharp,65,100000,apv,0,8,9,FF,0,5.30520334112807e-07,8.38469842054073e-16,4.57995034571843e-15
sharp,65,100000,apv,0,8,31,FF,0,0.000186683244166039,3.79722163752179e-15,1.41757552467652e-14
sharp,65,100000,apv,0,9,9,FF,0,5.97394895138788e-07,6.19703917803464e-16,4.4020992554333e-15
sharp,65,100000,apv,0,9,10,FF,0,9.8549432952508e-07,1.0758924463654e-15,5.74961689143149e-15
sharp,65,100000,apv,0,9,30,FF,0,0.000187074325244026,3.44613210979163e-15,1.48033974302538e-14
sharp,65,100000,apv,0,10,10,FF,0,1.0155594231785e-06,1.16896925941526e-15,4.93490479715133e-15
sharp,65,100000,apv,0,10,11,FF,0,1.7913919539272e-06,1.1991002183535e-15,5.68363509879154e-15
sharp,65,100000,apv,0,10,29,FF,0,0.000194111791094846,2.68714374976555e-15,1.11670575148589e-14
sharp,65,100000,apv,0,11,11,FF,0,1.65137210927747e-06,8.1258678941818e-16,5.39471470902579e-15
sharp,65,100000,apv,0,11,12,FF,0,3.03446053492961e-06,1.52098570408236e-15,6.9640099869197e-15
sharp,65,100000,apv,0,11,28,FF,0,0.000194661539182189,2.75922662256769e-15,1.24543266412964e-14
sharp,65,100000,apv,0,12,12,FF,0,3.08188135829904e-06,1.41495937090079e-15,6.09056094710965e-15
sharp,65,100000,apv,0,12,13,FF,0,4.88865773052825e-06,1.56301111969006e-15,7.5352342456171e-15
sharp,65,100000,apv,0,12,27,FF,0,0.000199378519906206,2.8239279102156e-15,1.28925247193331e-14
sharp,65,100000,apv,0,13,13,FF,0,5.52642596556392e-06,1.18594212578221e-15,6.33553273383612e-15
sharp,65,100000,apv,0,13,14,FF,0,7.81840098954677e-06,1.83619608163277e-15,7.61317583324298e-15
sharp,65,100000,apv,0,13,26,FF,0,0.000200057214717826,3.13197735162548e-15,1.2189196568303e-14
sharp,65,100000,apv,0,14,14,FF,0,9.86895274214818e-06,1.58717089653393e-15,7.76789989121434e-15
sharp,65,100000,apv,0,14,15,FF,0,1.33060055245161e-05,1.88738355616545e-15,8.46843965661095e-15
sharp,65,100000,apv,0,14,25,FF,0,0.0002028450232003,2.57275563762849e-15,1.12765747235727e-14
sharp,65,100000,apv,0,15,15,FF,0,1.62904218516387e-05,1.5893873457916e-15,7.00108590416912e-15
sharp,65,100000,apv,0,15,16,FF,0,2.42111761622044e-05,2.06716085085324e-15,9.55984253847897e-15
sharp,65,100000,apv,0,15,24,FF,0,0.00020375228304758,2.32359748056615e-15,1.11257741515846e-14
sharp,65,100000,apv,0,16,16,FF,0,2.5929296489066e-05,2.3212179549563e-15,8.20543442433887e-15
sharp,65,100000,apv,0,16,17,FF,0,4.43838331093147e-05,2.2462044773522e-15,9.55001363260825e-15
sharp,65,100000,apv,0,16,23,FF,0,0.000205015701725363,2.83522165767258e-15,1.17048195636907e-14
sharp,65,100000,apv,0,17,17,FF,0,4.19311879780929e-05,1.46834981031155e-15,8.37720039145628e-15
sharp,65,100000,apv,0,17,18,FF,0,7.77113983819048e-05,2.4034141629849e-15,1.05924200368623e-14
sharp,65,100000,apv,0,17,22,FF,0,0.000205822790245636,2.9191063835681e-15,1.16189072488971e-14
sharp,65,100000,apv,0,18,18,FF,0,7.31520362564055e-05,2.35811414269659e-15,9.23255914432532e-15
sharp,65,100000,apv,0,18,19,FF,0,0.000128681584572241,2.78012892370001e-15,1.06633717795605e-14
sharp,65,100000,apv,0,18,21,FF,0,0.000206180533459773,2.61149899598913e-15,1.12367068722141e-14
sharp,65,100000,apv,0,19,19,FF,0,0.000137166658721187,1.7274795320399e-15,9.80035471228336e-15
sharp,65,100000,apv,0,19,20,FF,0,0.000206966780183874,2.59087603635683e-15,1.13182825970981e-14
sharp,65,100000,apv,0,20,19,FF,0,0.000206966780183874,2.59087603635683e-15,1.13182825970981e-14
sharp,65,100000,apv,0,20,20,FF,0,0.000255704897714873,2.75569445351202e-15,1.05025439700991e-14
sharp,65,100000,apv,0,20,21,FF,0,0.000347091523621053,2.17723731015032e-15,1.28181454838309e-14
sharp,65,100000,apv,0,21,18,FF,0,0.000206180533459773,2.61149899598913e-15,1.12367068722141e-14
sharp,65,100000,apv,0,21,21,FF,0,0.000459391399670561,2.28040061757007e-15,1.03227805270708e-14
sharp,65,100000,apv,0,21,22,FF,0,0.000648690893038302,3.40643016551123e-15,1.3052702009283e-14
sharp,65,100000,apv,0,22,17,FF,0,0.000205822790245636,2.9191063835681e-15,1.16189072488971e-14
sharp,65,100000,apv,0,22,22,FF,0,0.000794716278460457,2.78206131783345e-15,1.12443412649312e-14
sharp,65,100000,apv,0,22,23,FF,0,0.00133637450725736,3.20438996151563e-15,1.38783037440648e-14
sharp,65,100000,apv,0,23,16,FF,0,0.000205015701725363,2.83522165767258e-15,1.17048195636907e-14
sharp,65,100000,apv,0,23,23,FF,0,0.00141483523631904,2.18232929484616e-15,1.1505226874018e-14
sharp,65,100000,apv,0,23,24,FF,0,0.00294941972317389,3.92178685855721e-15,1.37190629234667e-14
sharp,65,100000,apv,0,24,15,FF,0,0.00020375228304758,2.32359748056615e-15,1.11257741515846e-14
sharp,65,100000,apv,0,24,24,FF,0,0.00289896206781339,3.67616226726072e-15,1.30672725381453e-14
sharp,65,100000,apv,0,24,25,FF,0,0.00693139493773772,2.70876488112225e-15,1.45270266236071e-14
sharp,65,100000,apv,0,25,14,FF,0,0.0002028450232003,2.57275563762849e-15,1.12765747235727e-14
sharp,65,100000,apv,0,25,25,FF,0,0.00680871666222983,2.56820603127874e-15,1.26060197015511e-14
sharp,65,100000,apv,0,25,26,FF,0,0.0166453483802308,4.46366105398146e-15,1.47259642267771e-14
sharp,65,100000,apv,0,26,13,FF,0,0.000200057214717826,3.13197735162548e-15,1.2189196568303e-14
sharp,65,100000,apv,0,26,26,FF,0,0.0171104701198732,3.89852567755658e-15,1.31333012952312e-14
sharp,65,100000,apv,0,26,27,FF,0,0.0383065007571754,3.94560091262928e-15,1.74264908056974e-14
sharp,65,100000,apv,0,27,12,FF,0,0.000199378519906206,2.8239279102156e-15,1.28925247193331e-14
sharp,65,100000,apv,0,27,27,FF,0,0.0468560775744195,2.74947274060402e-15,1.26909926125901e-14
sharp,65,100000,apv,0,27,28,FF,0,0.0835219591644759,4.63735951260502e-15,1.63544677338115e-14
sharp,65,100000,apv,0,28,11,FF,0,0.000194661539182189,2.75922662256769e-15,1.24543266412964e-14
sharp,65,100000,apv,0,28,28,FF,0,0.120247317837069,3.61506947739563e-15,1.56011849722182e-14
sharp,65,100000,apv,0,28,29,FF,0,0.173496108777328,4.02478996001586e-15,1.7382356142127e-14
sharp,65,100000,apv,0,29,10,FF,0,0.000194111791094846,2.68714374976555e-15,1.11670575148589e-14
sharp,65,100000,apv,0,29,29,FF,0,0.23621234153786,3.56196553431161e-15,1.42061892352803e-14
sharp,65,100000,apv,0,29,30,FF,0,0.30980987225341,5.085011248769e-15,1.75131803781657e-14
sharp,65,100000,apv,0,30,9,FF,0,0.000187074325244026,3.44613210979163e-15,1.48033974302538e-14
sharp,65,100000,apv,0,30,30,FF,0,0.325475257964107,4.18933279937994e-15,1.64364184558021e-14
sharp,65,100000,apv,0,30,31,FF,0,0.414384052420839,4.27870731568561e-15,1.8345075843516e-14
sharp,65,100000,apv,0,31,8,FF,0,0.000186683244166039,3.79722163752179e-15,1.41757552467652e-14
sharp,65,100000,apv,0,31,31,FF,0,0.349042083541589,3.41389459685056e-15,1.43221345865114e-14
sharp,65,100000,apv,0,31,32,FF,0,0.436384696311688,6.15354579174675e-15,2.09972106371476e-14
sharp,65,100000,apv,0,32,7,FF,0,0.000176412805740735,2.92587988112174e-15,1.28909855604374e-14
