profile,Nz,Lxy,family,kappa,policy,retainedFraction,energyFraction,bandwidthFraction,linearCount,retainedCount,apvCount,sampleCount,maximumAliasError,p95AliasError,maximumReferenceError,maximumFullReferenceError,scoreSeconds,linearConstructionSeconds,fineCount,referenceCount,coarseAgreement
constant,33,100000,apv,0,none,0.666666666666667,0.99,0.666666666666667,18,18,18,156,0.682819690694397,0.392165203604746,2.2888575463256e-15,1.06220825695434e-14,0.00297666666666667,3.40223083333333,223,445,0
constant,33,100000,apv,0,fixedFraction,0.5,0.99,0.666666666666667,18,9,9,51,1.50050128201732e-07,2.4739332437682e-08,1.2359208444571e-15,5.18413660759339e-15,0.00112783333333333,3.40223083333333,223,445,0
constant,33,100000,apv,0,fixedFraction,0.666666666666667,0.99,0.666666666666667,18,12,12,84,0.00337244609329856,0.000545529883820026,1.35768165003839e-15,7.00494720994881e-15,0.000752916666666667,3.40223083333333,223,445,0
constant,33,100000,apv,0,fixedFraction,0.75,0.99,0.666666666666667,18,13,13,96,0.028586543094349,0.00613536255323378,2.03936645489648e-15,7.82828490907075e-15,0.00070025,3.40223083333333,223,445,0
constant,33,100000,apv,0,effectiveBandwidth,0.666666666666667,0.95,0.5,18,11,11,72,0.000226523934708637,3.22030436436966e-05,1.2359208444571e-15,6.29980309208469e-15,0.001962875,3.40223083333333,223,445,0
constant,33,100000,apv,0,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,18,14,14,108,0.140354852196132,0.0305793326648974,2.2888575463256e-15,8.82722648500478e-15,0.00133404166666667,3.40223083333333,223,445,0
constant,33,100000,apv,0,effectiveBandwidth,0.666666666666667,0.95,0.75,18,16,16,132,0.596511857963463,0.292363657341292,2.2888575463256e-15,9.61505238210482e-15,0.001296,3.40223083333333,223,445,0
constant,33,100000,apv,0,effectiveBandwidth,0.666666666666667,0.99,0.5,18,10,10,60,8.25258627397607e-06,8.41911468429861e-07,1.2359208444571e-15,5.7696169920154e-15,0.00132441666666667,3.40223083333333,223,445,0
constant,33,100000,apv,0,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,18,13,13,96,0.028586543094349,0.00613536255323378,2.03936645489648e-15,7.82828490907075e-15,0.00130095833333333,3.40223083333333,223,445,0
constant,33,100000,apv,0,effectiveBandwidth,0.666666666666667,0.99,0.75,18,15,15,120,0.392165203604746,0.133587411623017,2.2888575463256e-15,9.61505238210482e-15,0.00125133333333333,3.40223083333333,223,445,0
