profile,Nz,Lxy,family,kappa,i,j,channel,mixed,aliasError,referenceError,fullReferenceError
constant,33,100000,apv,0,1,1,FF,0,3.27071350409315e-16,1.39282460957616e-16,4.38869837259975e-16
constant,33,100000,apv,0,1,2,FF,0,5.8484600624448e-16,9.66091804056888e-17,4.72288994483739e-16
constant,33,100000,apv,0,1,18,FF,0,8.34917732678183e-07,9.06365873287499e-16,4.54139519904296e-15
constant,33,100000,apv,0,2,2,FF,0,5.01922158497205e-16,9.68434981063012e-17,4.78316770353402e-16
constant,33,100000,apv,0,2,3,FF,0,6.62290979543199e-16,1.29061942848562e-16,6.05419279154796e-16
constant,33,100000,apv,0,2,17,FF,0,6.65223667478612e-07,9.49347961738411e-16,4.67827379128868e-15
constant,33,100000,apv,0,3,3,FF,0,6.85672751847041e-16,1.84420985825801e-16,6.8707805976277e-16
constant,33,100000,apv,0,3,4,FF,0,8.32090168549712e-16,3.2065864866632e-16,9.50392392969495e-16
constant,33,100000,apv,0,3,16,FF,0,7.01811651288206e-07,8.49981788681327e-16,3.99726085566597e-15
constant,33,100000,apv,0,4,4,FF,0,1.0116012440646e-15,3.0505412904025e-16,1.13154388461378e-15
constant,33,100000,apv,0,4,5,FF,0,1.19047628263434e-15,2.35161809044137e-16,1.13436198034659e-15
constant,33,100000,apv,0,4,15,FF,0,7.12548949562355e-07,9.48906589843865e-16,3.78577527452025e-15
constant,33,100000,apv,0,5,5,FF,0,1.31723707292153e-15,3.04721544804406e-16,1.34734569912128e-15
constant,33,100000,apv,0,5,6,FF,0,1.39320502716602e-15,3.49622245612002e-16,1.65116777623655e-15
constant,33,100000,apv,0,5,14,FF,0,7.17646117262855e-07,8.10791031746896e-16,3.70347152327642e-15
constant,33,100000,apv,0,6,6,FF,0,1.45251504786005e-15,4.21173517945843e-16,1.7125557585747e-15
constant,33,100000,apv,0,6,7,FF,0,6.38369989804171e-14,4.79458832159106e-16,1.8723854598253e-15
constant,33,100000,apv,0,6,13,FF,0,7.19676607821904e-07,7.88487051512348e-16,3.33903211163662e-15
constant,33,100000,apv,0,7,7,FF,0,4.2829957758769e-13,4.45688425677111e-16,1.83420265240605e-15
constant,33,100000,apv,0,7,8,FF,0,4.1616955896548e-11,5.66968040910182e-16,2.33441652309576e-15
constant,33,100000,apv,0,7,12,FF,0,7.19200786346904e-07,6.59927575797457e-16,3.31934296638677e-15
constant,33,100000,apv,0,8,8,FF,0,1.71256782572379e-10,5.00816869590477e-16,2.59875303634076e-15
constant,33,100000,apv,0,8,9,FF,0,8.52778710460863e-09,5.92391527321288e-16,2.83568113092725e-15
constant,33,100000,apv,0,8,11,FF,0,7.15272758200914e-07,6.57204442316196e-16,3.14642305928671e-15
constant,33,100000,apv,0,9,9,FF,0,2.4739332437682e-08,6.00583407967784e-16,2.87535185540125e-15
constant,33,100000,apv,0,9,10,FF,0,7.0011066678626e-07,7.75238656022485e-16,3.24699981529829e-15
constant,33,100000,apv,0,10,9,FF,0,7.0011066678626e-07,7.75238656022485e-16,3.24699981529829e-15
constant,33,100000,apv,0,10,10,FF,0,1.56561048537101e-06,8.27644978755402e-16,3.25578790103402e-15
constant,33,100000,apv,0,10,11,FF,0,2.70415695712456e-05,8.17370186116256e-16,3.28497250294118e-15
constant,33,100000,apv,0,11,8,FF,0,7.15272758200914e-07,6.57204442316196e-16,3.14642305928671e-15
constant,33,100000,apv,0,11,11,FF,0,4.93774331015169e-05,9.39522858847965e-16,3.41203347251243e-15
constant,33,100000,apv,0,11,12,FF,0,0.000545529883820026,9.26408358007243e-16,3.90804982223661e-15
constant,33,100000,apv,0,12,7,FF,0,7.19200786346904e-07,6.59927575797457e-16,3.31934296638677e-15
constant,33,100000,apv,0,12,12,FF,0,0.000845157540517908,7.88562128772453e-16,3.84441634343889e-15
constant,33,100000,apv,0,12,13,FF,0,0.00613536255323378,9.26450269653606e-16,3.9321936114446e-15
constant,33,100000,apv,0,13,6,FF,0,7.19676607821904e-07,7.88487051512348e-16,3.33903211163662e-15
constant,33,100000,apv,0,13,13,FF,0,0.0082726980082189,7.9938807094061e-16,3.44038336986434e-15
constant,33,100000,apv,0,13,14,FF,0,0.0397602104787484,9.88541959031572e-16,4.24698925154663e-15
constant,33,100000,apv,0,14,5,FF,0,7.17646117262855e-07,8.10791031746896e-16,3.70347152327642e-15
constant,33,100000,apv,0,14,14,FF,0,0.0474030585734574,8.27084236713498e-16,4.22835911922296e-15
constant,33,100000,apv,0,14,15,FF,0,0.14856470441503,1.18039609377142e-15,5.02938160905933e-15
constant,33,100000,apv,0,15,4,FF,0,7.12548949562355e-07,9.48906589843865e-16,3.78577527452025e-15
constant,33,100000,apv,0,15,15,FF,0,0.157748454371905,1.17642848049718e-15,4.60372025765711e-15
constant,33,100000,apv,0,15,16,FF,0,0.308766021120621,1.29805116567318e-15,5.27803218346318e-15
constant,33,100000,apv,0,16,3,FF,0,7.01811651288206e-07,8.49981788681327e-16,3.99726085566597e-15
constant,33,100000,apv,0,16,16,FF,0,0.292363657341292,1.15977465949881e-15,5.16959397190196e-15
constant,33,100000,apv,0,16,17,FF,0,0.357435516138508,1.28342642375749e-15,5.6911182271905e-15
constant,33,100000,apv,0,17,2,FF,0,6.65223667478612e-07,9.49347961738411e-16,4.67827379128868e-15
