Nx,Ny,Z,cacheMode,referenceSeconds,selectedSeconds,relativeDifference
8,8,33,cold,0.003687725,0.00336461388888889,2.42272915736037e-14
8,8,33,warm,0.00310969722222222,0.002012425,2.42272915736037e-14
8,8,33,overlap,0.00367328055555556,0.00344520277777778,2.42272915736037e-14
8,8,33,successive,0.0027513625,0.00252980416666667,2.42272915736037e-14
8,8,65,cold,0.00372531388888889,0.00333433472222222,1.54299739795922e-13
8,8,65,warm,0.003680625,0.00251417222222222,1.54299739795922e-13
8,8,65,overlap,0.00476496388888889,0.00423907638888889,1.54299739795922e-13
8,8,65,successive,0.00365038333333333,0.00321201666666667,1.54299739795922e-13
8,8,129,cold,0.0152072472222222,0.0128589486111111,6.47914725076755e-13
8,8,129,warm,0.0142063277777778,0.00941326111111111,6.47914725076755e-13
8,8,129,overlap,0.0159532388888889,0.0125961444444444,6.47914725076755e-13
8,8,129,successive,0.0134367375,0.0110217583333333,6.47914725076755e-13
16,16,65,cold,0.0326985555555556,0.0227164125,4.36519707922995e-13
16,16,65,warm,0.0326975680555556,0.0191342375,4.36519707922995e-13
16,16,65,overlap,0.0350041361111111,0.0238680152777778,4.36519707922995e-13
16,16,65,successive,0.0324880638888889,0.0225512277777778,4.36519707922995e-13
