profile,config,strategy,quantity,maxError,referenceMax
constant,1,baseline,Ag_q,0,1.74058162626616e-12
constant,1,baseline,Ag_0,0,2.19155345475311e-10
constant,1,baseline,Aw_p,0,6.93792006051359e-07
constant,1,baseline,Aw_m,0,3.49219127945642e-07
constant,1,baseline,Aio,0,5.77016251606686e-07
constant,1,baseline,Amda,0,1.18492142893853e-07
constant,1,baseline,u,0,2.32314364377842e-07
constant,1,baseline,v,0,8.90026493335678e-08
constant,1,baseline,w,0,2.62664228481859e-05
constant,1,baseline,eta,0,5.52887567714338e-06
constant,1,setup,Ag_q,0,1.74058162626616e-12
constant,1,setup,Ag_0,0,2.19155345475311e-10
constant,1,setup,Aw_p,0,6.93792006051359e-07
constant,1,setup,Aw_m,0,3.49219127945642e-07
constant,1,setup,Aio,0,5.77016251606686e-07
constant,1,setup,Amda,0,1.18492142893853e-07
constant,1,setup,u,0,2.32314364377842e-07
constant,1,setup,v,0,8.90026493335678e-08
constant,1,setup,w,0,2.62664228481859e-05
constant,1,setup,eta,0,5.52887567714338e-06
constant,1,source,Ag_q,0,1.74058162626616e-12
constant,1,source,Ag_0,0,2.19155345475311e-10
constant,1,source,Aw_p,0,6.93792006051359e-07
constant,1,source,Aw_m,0,3.49219127945642e-07
constant,1,source,Aio,0,5.77016251606686e-07
constant,1,source,Amda,0,1.18492142893853e-07
constant,1,source,u,0,2.32314364377842e-07
constant,1,source,v,0,8.90026493335678e-08
constant,1,source,w,0,2.62664228481859e-05
constant,1,source,eta,0,5.52887567714338e-06
constant,1,spectral,Ag_q,1.12892582967437e-28,1.74058162626616e-12
constant,1,spectral,Ag_0,3.5981008492244e-26,2.19155345475311e-10
constant,1,spectral,Aw_p,1.18376453077663e-22,6.93792006051359e-07
constant,1,spectral,Aw_m,1.06703092844768e-22,3.49219127945642e-07
constant,1,spectral,Aio,1.07163794356639e-22,5.77016251606686e-07
constant,1,spectral,Amda,0,1.18492142893853e-07
constant,1,spectral,u,2.99108509499175e-21,2.32314364377842e-07
constant,1,spectral,v,9.79381845262785e-22,8.90026493335678e-08
constant,1,spectral,w,1.15196480826585e-19,2.62664228481859e-05
constant,1,spectral,eta,0,5.52887567714338e-06
constant,1,combined,Ag_q,1.12892582967437e-28,1.74058162626616e-12
constant,1,combined,Ag_0,3.5981008492244e-26,2.19155345475311e-10
constant,1,combined,Aw_p,1.18376453077663e-22,6.93792006051359e-07
constant,1,combined,Aw_m,1.06703092844768e-22,3.49219127945642e-07
constant,1,combined,Aio,1.07163794356639e-22,5.77016251606686e-07
constant,1,combined,Amda,0,1.18492142893853e-07
constant,1,combined,u,2.99108509499175e-21,2.32314364377842e-07
constant,1,combined,v,9.79381845262785e-22,8.90026493335678e-08
constant,1,combined,w,1.15196480826585e-19,2.62664228481859e-05
constant,1,combined,eta,0,5.52887567714338e-06
constant,2,baseline,Ag_q,0,1.74058162626631e-12
constant,2,baseline,Ag_0,0,2.19155345478212e-10
constant,2,baseline,Aw_p,0,6.93793716752666e-07
constant,2,baseline,Aw_m,0,3.49220835811563e-07
constant,2,baseline,Aio,0,5.77016251606685e-07
constant,2,baseline,Amda,0,1.18492142893846e-07
constant,2,baseline,u,0,2.32314364377873e-07
constant,2,baseline,v,0,8.9002649333619e-08
constant,2,baseline,w,0,2.62664228481835e-05
constant,2,baseline,eta,0,5.52887567714338e-06
constant,2,setup,Ag_q,0,1.74058162626631e-12
constant,2,setup,Ag_0,0,2.19155345478212e-10
constant,2,setup,Aw_p,0,6.93793716752666e-07
constant,2,setup,Aw_m,0,3.49220835811563e-07
constant,2,setup,Aio,0,5.77016251606685e-07
constant,2,setup,Amda,0,1.18492142893846e-07
constant,2,setup,u,0,2.32314364377873e-07
constant,2,setup,v,0,8.9002649333619e-08
constant,2,setup,w,0,2.62664228481835e-05
constant,2,setup,eta,0,5.52887567714338e-06
constant,2,source,Ag_q,0,1.74058162626631e-12
constant,2,source,Ag_0,0,2.19155345478212e-10
constant,2,source,Aw_p,0,6.93793716752666e-07
constant,2,source,Aw_m,0,3.49220835811563e-07
constant,2,source,Aio,0,5.77016251606685e-07
constant,2,source,Amda,0,1.18492142893846e-07
constant,2,source,u,0,2.32314364377873e-07
constant,2,source,v,0,8.9002649333619e-08
constant,2,source,w,0,2.62664228481835e-05
constant,2,source,eta,0,5.52887567714338e-06
constant,2,spectral,Ag_q,1.47329146095332e-28,1.74058162626631e-12
constant,2,spectral,Ag_0,5.82508225122979e-26,2.19155345478212e-10
constant,2,spectral,Aw_p,2.21708136351161e-22,6.93793716752666e-07
constant,2,spectral,Aw_m,2.34196971729134e-22,3.49220835811563e-07
constant,2,spectral,Aio,1.32514230862464e-22,5.77016251606685e-07
constant,2,spectral,Amda,0,1.18492142893846e-07
constant,2,spectral,u,1.0280200652809e-20,2.32314364377873e-07
constant,2,spectral,v,6.47186111261489e-21,8.9002649333619e-08
constant,2,spectral,w,4.42166914898383e-19,2.62664228481835e-05
constant,2,spectral,eta,0,5.52887567714338e-06
constant,2,combined,Ag_q,1.47329146095332e-28,1.74058162626631e-12
constant,2,combined,Ag_0,5.82508225122979e-26,2.19155345478212e-10
constant,2,combined,Aw_p,2.21708136351161e-22,6.93793716752666e-07
constant,2,combined,Aw_m,2.34196971729134e-22,3.49220835811563e-07
constant,2,combined,Aio,1.32514230862464e-22,5.77016251606685e-07
constant,2,combined,Amda,0,1.18492142893846e-07
constant,2,combined,u,1.0280200652809e-20,2.32314364377873e-07
constant,2,combined,v,6.47186111261489e-21,8.9002649333619e-08
constant,2,combined,w,4.42166914898383e-19,2.62664228481835e-05
constant,2,combined,eta,0,5.52887567714338e-06
constant,3,baseline,Ag_q,0,1.74058162626631e-12
constant,3,baseline,Ag_0,0,2.19155345478205e-10
constant,3,baseline,Aw_p,0,6.93793711504807e-07
constant,3,baseline,Aw_m,0,3.49220830587974e-07
constant,3,baseline,Aio,0,5.77016251606685e-07
constant,3,baseline,Amda,0,1.26189949028898e-07
constant,3,baseline,u,0,2.32314361429241e-07
constant,3,baseline,v,0,8.9002650826364e-08
constant,3,baseline,w,0,2.81073907668047e-05
constant,3,baseline,eta,0,5.52887567714338e-06
constant,3,setup,Ag_q,0,1.74058162626631e-12
constant,3,setup,Ag_0,0,2.19155345478205e-10
constant,3,setup,Aw_p,0,6.93793711504807e-07
constant,3,setup,Aw_m,0,3.49220830587974e-07
constant,3,setup,Aio,0,5.77016251606685e-07
constant,3,setup,Amda,0,1.26189949028898e-07
constant,3,setup,u,0,2.32314361429241e-07
constant,3,setup,v,0,8.9002650826364e-08
