profile,config,strategy,quantity,maxError,referenceMax
constant,1,baseline,Ag_q,0,1.74058162626616e-12
constant,1,baseline,Ag_0,0,2.19155345475311e-10
constant,1,baseline,Aw_p,0,6.93792006051359e-07
constant,1,baseline,Aw_m,0,3.49219127945642e-07
constant,1,baseline,Aio,0,5.77016251606686e-07
constant,1,baseline,Amda,0,1.18492142893853e-07
constant,1,baseline,u,0,2.32314364377842e-07
constant,1,baseline,v,0,8.90026493335678e-08
constant,1,baseline,w,0,2.62664228481859e-05
constant,1,baseline,eta,0,5.52887567714338e-06
constant,1,state,Ag_q,0,1.74058162626616e-12
constant,1,state,Ag_0,0,2.19155345475311e-10
constant,1,state,Aw_p,0,6.93792006051359e-07
constant,1,state,Aw_m,0,3.49219127945642e-07
constant,1,state,Aio,0,5.77016251606686e-07
constant,1,state,Amda,0,1.18492142893853e-07
constant,1,state,u,0,2.32314364377842e-07
constant,1,state,v,0,8.90026493335678e-08
constant,1,state,w,0,2.62664228481859e-05
constant,1,state,eta,0,5.52887567714338e-06
constant,1,stateSource,Ag_q,0,1.74058162626616e-12
constant,1,stateSource,Ag_0,0,2.19155345475311e-10
constant,1,stateSource,Aw_p,0,6.93792006051359e-07
constant,1,stateSource,Aw_m,0,3.49219127945642e-07
constant,1,stateSource,Aio,0,5.77016251606686e-07
constant,1,stateSource,Amda,0,1.18492142893853e-07
constant,1,stateSource,u,0,2.32314364377842e-07
constant,1,stateSource,v,0,8.90026493335678e-08
constant,1,stateSource,w,0,2.62664228481859e-05
constant,1,stateSource,eta,0,5.52887567714338e-06
constant,2,baseline,Ag_q,0,1.74058162626631e-12
constant,2,baseline,Ag_0,0,2.19155345478212e-10
constant,2,baseline,Aw_p,0,6.93793716752666e-07
constant,2,baseline,Aw_m,0,3.49220835811563e-07
constant,2,baseline,Aio,0,5.77016251606685e-07
constant,2,baseline,Amda,0,1.18492142893846e-07
constant,2,baseline,u,0,2.32314364377873e-07
constant,2,baseline,v,0,8.9002649333619e-08
constant,2,baseline,w,0,2.62664228481835e-05
constant,2,baseline,eta,0,5.52887567714338e-06
constant,2,state,Ag_q,0,1.74058162626631e-12
constant,2,state,Ag_0,0,2.19155345478212e-10
constant,2,state,Aw_p,0,6.93793716752666e-07
constant,2,state,Aw_m,0,3.49220835811563e-07
constant,2,state,Aio,0,5.77016251606685e-07
constant,2,state,Amda,0,1.18492142893846e-07
constant,2,state,u,0,2.32314364377873e-07
constant,2,state,v,0,8.9002649333619e-08
constant,2,state,w,0,2.62664228481835e-05
constant,2,state,eta,0,5.52887567714338e-06
constant,2,stateSource,Ag_q,0,1.74058162626631e-12
constant,2,stateSource,Ag_0,0,2.19155345478212e-10
constant,2,stateSource,Aw_p,0,6.93793716752666e-07
constant,2,stateSource,Aw_m,0,3.49220835811563e-07
constant,2,stateSource,Aio,0,5.77016251606685e-07
constant,2,stateSource,Amda,0,1.18492142893846e-07
constant,2,stateSource,u,0,2.32314364377873e-07
constant,2,stateSource,v,0,8.9002649333619e-08
constant,2,stateSource,w,0,2.62664228481835e-05
constant,2,stateSource,eta,0,5.52887567714338e-06
constant,3,baseline,Ag_q,0,1.74058162626631e-12
constant,3,baseline,Ag_0,0,2.19155345478205e-10
constant,3,baseline,Aw_p,0,6.93793711504807e-07
constant,3,baseline,Aw_m,0,3.49220830587974e-07
constant,3,baseline,Aio,0,5.77016251606685e-07
constant,3,baseline,Amda,0,1.26189949028898e-07
constant,3,baseline,u,0,2.32314361429241e-07
constant,3,baseline,v,0,8.9002650826364e-08
constant,3,baseline,w,0,2.81073907668047e-05
constant,3,baseline,eta,0,5.52887567714338e-06
constant,3,state,Ag_q,0,1.74058162626631e-12
constant,3,state,Ag_0,0,2.19155345478205e-10
constant,3,state,Aw_p,0,6.93793711504807e-07
constant,3,state,Aw_m,0,3.49220830587974e-07
constant,3,state,Aio,0,5.77016251606685e-07
constant,3,state,Amda,0,1.26189949028898e-07
constant,3,state,u,0,2.32314361429241e-07
constant,3,state,v,0,8.9002650826364e-08
constant,3,state,w,0,2.81073907668047e-05
constant,3,state,eta,0,5.52887567714338e-06
constant,3,stateSource,Ag_q,0,1.74058162626631e-12
constant,3,stateSource,Ag_0,0,2.19155345478205e-10
constant,3,stateSource,Aw_p,0,6.93793711504807e-07
constant,3,stateSource,Aw_m,0,3.49220830587974e-07
constant,3,stateSource,Aio,0,5.77016251606685e-07
constant,3,stateSource,Amda,0,1.26189949028898e-07
constant,3,stateSource,u,0,2.32314361429241e-07
constant,3,stateSource,v,0,8.9002650826364e-08
constant,3,stateSource,w,0,2.81073907668047e-05
constant,3,stateSource,eta,0,5.52887567714338e-06
constant,4,baseline,Ag_q,0,1.7405816262663e-12
constant,4,baseline,Ag_0,0,2.19155345463971e-10
constant,4,baseline,Aw_p,0,6.93793674491711e-07
constant,4,baseline,Aw_m,0,3.49220793643553e-07
constant,4,baseline,Aio,0,5.77016251606685e-07
constant,4,baseline,Amda,0,1.26189949028867e-07
constant,4,baseline,u,0,2.32314361430922e-07
constant,4,baseline,v,0,8.94663722602415e-08
constant,4,baseline,w,0,2.79684194640763e-05
constant,4,baseline,eta,0,5.52887567714335e-06
constant,4,state,Ag_q,0,1.7405816262663e-12
constant,4,state,Ag_0,0,2.19155345463971e-10
constant,4,state,Aw_p,0,6.93793674491711e-07
constant,4,state,Aw_m,0,3.49220793643553e-07
constant,4,state,Aio,0,5.77016251606685e-07
constant,4,state,Amda,0,1.26189949028867e-07
constant,4,state,u,0,2.32314361430922e-07
constant,4,state,v,0,8.94663722602415e-08
constant,4,state,w,0,2.79684194640763e-05
constant,4,state,eta,0,5.52887567714335e-06
constant,4,stateSource,Ag_q,0,1.7405816262663e-12
constant,4,stateSource,Ag_0,0,2.19155345463971e-10
constant,4,stateSource,Aw_p,0,6.93793674491711e-07
constant,4,stateSource,Aw_m,0,3.49220793643553e-07
constant,4,stateSource,Aio,0,5.77016251606685e-07
constant,4,stateSource,Amda,0,1.26189949028867e-07
constant,4,stateSource,u,0,2.32314361430922e-07
constant,4,stateSource,v,0,8.94663722602415e-08
constant,4,stateSource,w,0,2.79684194640763e-05
constant,4,stateSource,eta,0,5.52887567714335e-06
exponential,1,baseline,Ag_q,0,3.89886827476079e-12
exponential,1,baseline,Ag_0,0,1.35977452447616e-09
exponential,1,baseline,Aw_p,0,1.85236885042999e-06
exponential,1,baseline,Aw_m,0,1.15728823573304e-06
exponential,1,baseline,Aio,0,1.7739147790936e-06
exponential,1,baseline,Amda,0,1.42633491608327e-07
