Z,request,referenceSeconds,coldSeconds,warmSeconds,successiveStateSeconds,relativeDifference,outputBytes,oldRegisteredColdSeconds,cachedArrayBytes
33,"ssh",0.00247602041666667,0.00131872875,1.16529642857143e-05,0.00122297875,2.40471817581536e-16,651,0.00342168708333333,512
33,"ssu,ssv",0.00248406208333333,0.00156652041666667,1.15665915300546e-05,0.00167352041666667,1.7287627869178e-16,1286,0.00468347875,1536
33,"eta",0.00177514541666667,0.00116360375,1.2125838963964e-05,0.00125543708333333,0,17035,0.00265902041666667,16896
33,"u,v",0.00194047875,0.00204402041666667,1.27633869047619e-05,0.00214577041666667,0,34050,0.00260339541666667,34304
33,"u,v,w,eta,p,ssh",0.00197727041666667,0.00183810375,1.79665801886792e-05,0.00181339541666667,1.51436557127743e-16,85738,0.00264247875,84992
65,"ssh",0.00200347875,0.00116168708333333,1.06237399598394e-05,0.00117577041666667,1.36966029486985e-16,651,0.00277343708333333,512
65,"ssu,ssv",0.00219206208333333,0.00146985375,1.20342385057471e-05,0.00148968708333333,8.52673281552374e-17,1286,0.00267393708333333,1536
65,"eta",0.00197910375,0.00122985375,1.04708289473684e-05,0.00122947875,0,33419,0.00271060375,33280
65,"u,v",0.00223481208333333,0.00213985375,1.24121120689655e-05,0.00220760375,0,66818,0.00269443708333333,67072
65,"u,v,w,eta,p,ssh",0.00223260375,0.00196510375,1.5874032051282e-05,0.00199268708333333,1.43030138392679e-16,167658,0.00266660375,166912
129,"ssh",0.00239110375,0.00127052041666667,1.04738541666667e-05,0.00113797875,2.12489654569906e-16,651,0.00302885375,512
129,"ssu,ssv",0.00252160375,0.00144356208333333,1.08452016129032e-05,0.00149214541666667,9.60995299694414e-17,1286,0.00298927041666667,1536
129,"eta",0.00217577041666667,0.00125527041666667,9.84456290849673e-06,0.00130939541666667,0,66187,0.00301414541666667,66048
129,"u,v",0.00250177041666667,0.00230602041666667,1.10166121031746e-05,0.00273097875,0,132354,0.00303127041666667,132608
129,"u,v,w,eta,p,ssh",0.00257264541666667,0.00226585375,1.52112565104167e-05,0.00220668708333333,1.43919190848073e-16,331498,0.00301889541666667,330752
