eRateError,hRateError,dRateError,rhoEError,rhoHError,rhoDError,physicalDensityError,densityReconstructionError,labelInverseError,buoyancyError,pressureConversionError,wrongPressureSplitError,workError,productionError,hMinusEta,dMinusEta,dRateRms,hRateRms,profile,amplitude,forced
2.77880987029533e-25,2.06795153138257e-25,2.06795153138257e-25,2.87776458224625e-27,2.12045811323408e-27,3.02922587604869e-27,4.8467614016779e-27,2.27373675443232e-13,1.13686837721616e-13,1.36113343209473e-17,0,3.72529029846191e-09,0,1.88001609621052e-20,5.67671249091829e-14,4.99819109926676e-06,4.23741583060005e-26,1.45095336472079e-26,constant,1e-06,0
8.13151629364128e-20,5.42101086242752e-20,5.42101086242752e-20,8.470329472543e-22,4.2351647362715e-22,8.470329472543e-22,8.470329472543e-22,2.27373675443232e-13,1.13686837721616e-13,1.36113343209473e-17,0,3.72529029846191e-09,1.0097419586829e-28,1.88001609621052e-20,5.67671249091829e-14,4.99819109926676e-06,1.57269741557219e-20,1.19751684491355e-20,constant,1e-06,1
2.22346148654254e-21,1.6940658945086e-21,1.6940658945086e-21,2.31610571514848e-23,1.81979734761666e-23,2.15066959263787e-23,5.29395592033938e-23,2.27373675443232e-13,1.13686837721616e-13,1.36541711097393e-17,0,0.00012803231061298,0,2.09522069832824e-16,5.6621374255883e-14,0.0499819109926676,4.66985559192022e-22,1.1351276146882e-22,constant,0.01,0
8.13151629364128e-20,5.42101086242752e-20,5.42101086242752e-20,8.470329472543e-22,8.470329472543e-22,8.470329472543e-22,8.470329472543e-22,2.27373675443232e-13,1.13686837721616e-13,1.36541711097393e-17,0,0.00012803231061298,8.27180612553028e-25,2.09522069832824e-16,5.6621374255883e-14,0.0499819109926676,1.65424338559498e-20,1.23740870035374e-20,constant,0.01,1
2.57498015965307e-19,2.16840434497101e-19,2.16840434497101e-19,2.75285707857648e-21,2.32934060494933e-21,2.43852844580633e-21,5.0821976835258e-21,2.27373675443232e-13,1.13686837721616e-13,1.34441069388203e-17,3.63797880709171e-12,1.28032310606795,0,2.2884472095086e-14,6.03961325396085e-14,4.99819109926676,3.98906213048853e-20,1.17152590696188e-20,constant,1,0
3.25260651745651e-19,2.16840434497101e-19,2.16840434497101e-19,3.3881317890172e-21,2.5410988417629e-21,2.5410988417629e-21,5.0821976835258e-21,2.27373675443232e-13,1.13686837721616e-13,1.34441069388203e-17,3.63797880709171e-12,1.28032310606795,1.05879118406788e-22,2.2884472095086e-14,6.03961325396085e-14,4.99819109926676,4.88330870382206e-20,2.11693070405873e-20,constant,1,1
2.77880987029533e-25,2.06795153138257e-25,6.20385459414771e-25,2.53658224073816e-27,2.87776458224625e-27,4.69530010787546e-27,4.8467614016779e-27,2.27373675443232e-13,7.95807864051312e-13,1.9203652478777e-17,0,3.72529029846191e-09,0,1.87935435172048e-20,3.61096294873705e-13,4.99819140695906e-06,7.63741407208321e-26,4.76005101058224e-26,exponential,1e-06,0
8.13151629364128e-20,5.42101086242752e-20,8.13151629364128e-20,8.470329472543e-22,8.470329472543e-22,8.470329472543e-22,8.470329472543e-22,2.27373675443232e-13,7.95807864051312e-13,1.9203652478777e-17,0,3.72529029846191e-09,1.0097419586829e-28,1.87935435172048e-20,3.61096294873705e-13,4.99819140695906e-06,1.94519897399536e-20,1.70342257386292e-20,exponential,1e-06,1
2.06464280893236e-21,3.3881317890172e-21,5.0821976835258e-21,2.02142262192646e-23,2.63663820251278e-23,4.15658257807896e-23,3.97046694025453e-23,2.27373675443232e-13,7.95807864051312e-13,1.69923279548685e-17,0,0.000128029028985566,0,2.09522069832824e-16,3.07723868305798e-05,0.050012677067861,8.32216130529377e-22,6.57992509351677e-22,exponential,0.01,0
8.13151629364128e-20,5.42101086242752e-20,8.13151629364128e-20,8.470329472543e-22,8.470329472543e-22,8.470329472543e-22,8.470329472543e-22,2.27373675443232e-13,7.95807864051312e-13,1.69923279548685e-17,0,0.000128029028985566,1.24077091882954e-24,2.09522069832824e-16,3.07723868305798e-05,0.050012677067861,2.03851813853816e-20,1.7418678215299e-20,exponential,0.01,1
2.50721752387273e-19,4.33680868994202e-19,4.33680868994202e-19,2.42198483355527e-21,3.32195734001296e-21,5.1086674631275e-21,5.0821976835258e-21,2.27373675443232e-13,6.82121026329696e-13,1.63714528045311e-17,3.63797880709171e-12,1.27704771296703,0,2.2884472095086e-14,0.310872551917313,5.30275171532075,8.80964910881443e-20,6.77013823963636e-20,exponential,1,0
3.25260651745651e-19,4.33680868994202e-19,4.33680868994202e-19,2.75285707857648e-21,4.65868120989865e-21,5.50571415715295e-21,6.7762635780344e-21,2.27373675443232e-13,6.82121026329696e-13,1.63714528045311e-17,3.63797880709171e-12,1.27704771296703,1.58818677610181e-22,2.2884472095086e-14,0.310872551917313,5.30275171532075,9.97523376406797e-20,8.1720025001458e-20,exponential,1,1
