profile,scenario,variant,deltaT,energyChange,energyDefectIntegral,energyBudgetError,densityBudgetError,secondDensityBudgetError,externalWork
constant,waves,displacement,10,3.02351399472656e-08,3.02351196666654e-08,2.02806002040849e-14,-2.46178381499429e-12,5.41851672038185e-11,0
constant,waves,displacement,5,3.02350962044784e-08,3.02351190791859e-08,-2.28747074992701e-14,-1.3762648789703e-12,3.25423815498993e-11,0
constant,waves,density,10,3.02351403913548e-08,3.02351196662927e-08,2.07250621150492e-14,-2.46185244499181e-12,4.69091987476133e-11,0
constant,waves,density,5,3.02350962044784e-08,3.02351190724492e-08,-2.28679707616904e-14,-2.28583243912922e-12,2.52664339103759e-11,0
constant,mixed,displacement,10,3.1378909914892e-08,3.13788894523649e-08,2.04625270720793e-14,2.76904280754886e-12,3.03328295640781e-11,0
constant,mixed,displacement,5,3.13788660610825e-08,3.13788888524341e-08,-2.27913515560311e-14,2.1124459603436e-13,3.04685105270708e-11,0
constant,mixed,density,10,3.13789093597805e-08,3.13788894433412e-08,1.99164392863039e-14,2.76896246816788e-12,3.76086340889148e-11,0
constant,mixed,density,5,3.13788658390379e-08,3.13788888577139e-08,-2.30186760018665e-14,2.11163009820881e-13,3.046845024543e-11,0
exponential,waves,displacement,10,2.26428236160814e-08,2.26428073452945e-08,1.62707868893645e-14,1.82832134848487e-12,-1.5966585258792e-11,0
exponential,waves,displacement,5,2.26427905314353e-08,2.264280707146e-08,-1.65400247819788e-14,1.02524542675009e-13,-2.4660383110553e-11,0
exponential,waves,density,10,-1.38225252799273e-07,-1.38225268920291e-07,1.61210179051454e-14,1.72430526888118e-12,-8.18798848167823e-12,0
exponential,waves,density,5,-1.38225284773696e-07,-1.38225268691152e-07,-1.60825445569504e-14,1.36253812052511e-12,-1.68836563653463e-11,0
exponential,mixed,displacement,10,2.35807513515596e-08,2.35807345796251e-08,1.67719345017078e-14,3.5492735053072e-13,6.41731372902354e-12,0
exponential,mixed,displacement,5,2.3580718488958e-08,2.358073430596e-08,-1.58170019779174e-14,-3.64745646880271e-12,-4.10976938244878e-12,0
exponential,mixed,density,10,-1.36222738200686e-07,-1.36222754538626e-07,1.63379396548054e-14,-4.75787486665935e-14,-6.57809961016054e-12,0
exponential,mixed,density,5,-1.3622276973102e-07,-1.3622275430419e-07,-1.5426830385627e-14,-2.23116349614555e-12,-1.71070145896235e-11,0
