family,rateMax,beforeRetentionDifference,retentionDifference,closureDifference,candidateDifference,profile,amplitude,Nx,Nz,apvModes,waveModes,mdaModes,surfacePressureMismatch
Aw_p,6.93792006051728e-07,1.75938590453199e-15,7.78658241767986e-19,2.01859286367373e-19,1.75942674928868e-15,constant,0.1,8,33,3,4,2,1.25339738588082e-11
Aw_m,3.49219127945952e-07,1.75945622008774e-15,9.31003398362358e-19,2.01859352241513e-19,1.75947945337511e-15,constant,0.1,8,33,3,4,2,1.25339738588082e-11
Ag_q,1.74058162626656e-12,1.46226534004754e-25,6.07992943202526e-25,8.4650619704015e-28,5.83654166996649e-25,constant,0.1,8,33,3,4,2,1.25339738588082e-11
Ag_0,2.19155345475384e-10,5.51181213948996e-22,1.79137217724257e-22,2.48517810390104e-25,5.50777734537644e-22,constant,0.1,8,33,3,4,2,1.25339738588082e-11
Aio,5.77016251606791e-07,1.75123852924085e-20,3.08749171551559e-19,1.98523347012727e-22,2.92926986893047e-19,constant,0.1,8,33,3,4,2,1.25339738588082e-11
Amda,1.18492142893873e-07,4.92337900591562e-21,1.40951576379036e-20,0,1.90185366438192e-20,constant,0.1,8,33,3,4,2,1.25339738588082e-11
Aw_p,6.93757168237973e-09,1.75988209357747e-16,2.04089246831008e-20,2.04092537596008e-20,1.75988635835663e-16,constant,0.01,8,33,3,4,2,1.27897692436818e-12
Aw_m,3.49194672669668e-09,1.75991184065901e-16,2.04090562108636e-20,2.04092534942187e-20,1.7599139485292e-16,constant,0.01,8,33,3,4,2,1.27897692436818e-12
Ag_q,1.74056833942637e-14,1.39605535001183e-26,6.06638945959208e-27,8.88344598072035e-30,1.39969832148148e-26,constant,0.01,8,33,3,4,2,1.27897692436818e-12
Ag_0,2.19152828689961e-12,5.45827274067678e-23,6.08481076630621e-24,1.32479160992825e-27,5.45775689055752e-23,constant,0.01,8,33,3,4,2,1.27897692436818e-12
Aio,5.77016243867426e-09,1.83149533615461e-21,3.0886772227069e-21,2.08404478212437e-24,1.25519588927977e-21,constant,0.01,8,33,3,4,2,1.27897692436818e-12
Amda,1.18488532486747e-09,3.16189789148395e-22,4.63221143029695e-23,0,2.90340395006113e-22,constant,0.01,8,33,3,4,2,1.27897692436818e-12
Aw_p,6.9379371150519e-07,1.75955907009511e-15,7.76970529549189e-19,2.12180472667028e-19,1.75960006389983e-15,constant,0.1,16,65,3,4,2,1.43245415529236e-11
Aw_m,3.492208305883e-07,1.75947456859226e-15,9.27818330545085e-19,2.12180649652193e-19,1.75949727594392e-15,constant,0.1,16,65,3,4,2,1.43245415529236e-11
Ag_q,1.7405816262668e-12,3.93791078736948e-25,6.06223764849207e-25,9.31497432214783e-28,7.11910234559816e-25,constant,0.1,16,65,3,4,2,1.43245415529236e-11
Ag_0,2.19155345478274e-10,3.85805339634946e-21,3.89951700733695e-22,4.63334130492357e-25,3.93136433302404e-21,constant,0.1,16,65,3,4,2,1.43245415529236e-11
Aio,5.77016251606792e-07,7.55746467484946e-21,3.08116530419827e-19,2.08449514363363e-22,3.14858413962326e-19,constant,0.1,16,65,3,4,2,1.43245415529236e-11
Amda,1.18492142893865e-07,7.51741740688192e-21,1.04687978324711e-20,0,3.34842711961466e-21,constant,0.1,16,65,3,4,2,1.43245415529236e-11
Aw_p,6.93774222621303e-09,1.75842855204303e-16,2.07152014441771e-20,2.07153687039315e-20,1.75843271995601e-16,constant,0.01,16,65,3,4,2,1.406874616805e-12
Aw_m,3.49211698759768e-09,1.75843348159777e-16,2.07153531456014e-20,2.07153700860727e-20,1.75843572642106e-16,constant,0.01,16,65,3,4,2,1.406874616805e-12
Ag_q,1.7405683394265e-14,1.32778230882227e-26,6.05134019056426e-27,8.61970992587233e-30,1.3270465824867e-26,constant,0.01,16,65,3,4,2,1.406874616805e-12
Ag_0,2.1915282869283e-12,1.12121180561662e-22,2.40528814787232e-23,8.4884106481415e-27,1.03991999036762e-22,constant,0.01,16,65,3,4,2,1.406874616805e-12
Aio,5.77016243867463e-09,1.22040849932599e-21,3.08259129834132e-21,1.84963207933849e-24,2.12776820070559e-21,constant,0.01,16,65,3,4,2,1.406874616805e-12
Amda,1.18488532486746e-09,4.2827276214933e-22,6.16249556352006e-23,0,4.22689293014597e-22,constant,0.01,16,65,3,4,2,1.406874616805e-12
Aw_p,6.9379371150519e-07,1.56912160511917e-13,1.58439851889305e-16,1.58163827015281e-19,1.56915369356967e-13,constant,0.1,16,65,6,8,4,1.29034560814034e-11
Aw_m,3.49220830588301e-07,1.56912369039774e-13,1.55422256632629e-16,1.58163846578807e-19,1.56915148957805e-13,constant,0.1,16,65,6,8,4,1.29034560814034e-11
Ag_q,1.7405816262668e-12,3.95455431452611e-25,3.75049037699502e-23,9.69460948051563e-28,3.73556032198206e-23,constant,0.1,16,65,6,8,4,1.29034560814034e-11
Ag_0,2.19155345478216e-10,3.79991297552171e-21,3.65422639586926e-21,4.89225789574307e-25,1.95424585937329e-21,constant,0.1,16,65,6,8,4,1.29034560814034e-11
Aio,5.77016251606788e-07,2.82883388722917e-21,3.12974045570513e-19,1.58845063341539e-22,3.13687225304617e-19,constant,0.1,16,65,6,8,4,1.29034560814034e-11
Amda,1.26189949028915e-07,9.67470444442021e-21,5.32042569994107e-20,0,6.2878961443831e-20,constant,0.1,16,65,6,8,4,1.29034560814034e-11
Aw_p,6.93774222621227e-09,1.5691985319383e-14,1.58437591706686e-18,1.6215639367029e-20,1.56920172099841e-14,constant,0.01,16,65,6,8,4,1.27187149701058e-12
Aw_m,3.49211698759712e-09,1.5692016311694e-14,1.55420983100359e-18,1.62156386654221e-20,1.5692043919583e-14,constant,0.01,16,65,6,8,4,1.27187149701058e-12
Ag_q,1.74056833942648e-14,1.62668332593719e-26,3.75067486702635e-25,9.59044586971097e-30,3.73347931989589e-25,constant,0.01,16,65,6,8,4,1.27187149701058e-12
Ag_0,2.19152828692848e-12,1.14116239074285e-22,5.85499340112731e-23,4.40192446246881e-27,1.10269178269063e-22,constant,0.01,16,65,6,8,4,1.27187149701058e-12
Aio,5.77016243867442e-09,6.56917490550202e-22,3.13260028686238e-21,2.48201510907184e-24,3.55267748810937e-21,constant,0.01,16,65,6,8,4,1.27187149701058e-12
Amda,1.26186050067836e-09,2.3016300544288e-22,6.3113880737796e-22,0,4.0097580193508e-22,constant,0.01,16,65,6,8,4,1.27187149701058e-12
Aw_p,1.87695218993609e-06,6.09323144046776e-08,4.62178900503399e-09,6.97367787540606e-11,6.10410585612771e-08,exponential,0.1,8,33,3,4,2,0.00226017258796674
Aw_m,6.0111190897209e-07,1.3390735821012e-07,4.62199909104305e-09,6.97367787540658e-11,1.34019001149122e-07,exponential,0.1,8,33,3,4,2,0.00226017258796674
Ag_q,3.75278816570613e-12,2.45845258442512e-15,9.00049641880373e-15,4.15881030507932e-17,8.98119060982955e-15,exponential,0.1,8,33,3,4,2,0.00226017258796674
Ag_0,1.21305775303344e-09,6.90629649970855e-11,2.82657882807274e-12,1.38109980364835e-14,6.9085419122222e-11,exponential,0.1,8,33,3,4,2,0.00226017258796674
Aio,1.77391477909699e-06,5.7996156942936e-21,2.18119686796968e-11,2.4485445602688e-12,2.19489650869392e-11,exponential,0.1,8,33,3,4,2,0.00226017258796674
Amda,1.42589407664791e-07,2.36815284481939e-11,3.49947547827922e-13,0,2.40314759960218e-11,exponential,0.1,8,33,3,4,2,0.00226017258796674
Aw_p,1.87720155954073e-08,6.10344456966705e-10,4.62036653249985e-12,6.97889225848053e-13,6.10462953982603e-10,exponential,0.01,8,33,3,4,2,2.27712358480403e-05
Aw_m,6.00857000121712e-09,1.34008092802244e-09,4.62293886103671e-12,6.97889225848136e-13,1.340202236455e-09,exponential,0.01,8,33,3,4,2,2.27712358480403e-05
Ag_q,3.75262042189594e-14,2.4583539730391e-18,9.00013662352266e-18,4.15850374606433e-20,8.98083924210488e-18,exponential,0.01,8,33,3,4,2,2.27712358480403e-05
Ag_0,1.2128149296591e-11,6.91607717884335e-13,2.82688773889184e-15,1.38106143173986e-17,6.91645470079351e-13,exponential,0.01,8,33,3,4,2,2.27712358480403e-05
Aio,1.77391474475116e-08,2.23527582414799e-21,8.87910355845588e-16,2.18658041152097e-15,2.35988601852058e-15,exponential,0.01,8,33,3,4,2,2.27712358480403e-05
Amda,1.42606651864655e-09,2.0652370849734e-14,3.21520189819343e-16,0,2.09738910395534e-14,exponential,0.01,8,33,3,4,2,2.27712358480403e-05
Aw_p,1.87695296409836e-06,6.09323143912632e-08,4.62178900577612e-09,6.97367787545307e-11,6.10410585489534e-08,exponential,0.1,16,65,3,4,2,0.00267658263464909
Aw_m,6.01112907564376e-07,1.33907358197088e-07,4.6219990903048e-09,6.97367787545311e-11,1.34019001134668e-07,exponential,0.1,16,65,3,4,2,0.00267658263464909
Ag_q,3.75278816570844e-12,2.45845258444775e-15,9.00049641880316e-15,4.1588103050847e-17,8.98119060997254e-15,exponential,0.1,16,65,3,4,2,0.00267658263464909
Ag_0,1.21305775301408e-09,6.90629649968257e-11,2.82658295520492e-12,1.38109980364973e-14,6.90854191210509e-11,exponential,0.1,16,65,3,4,2,0.00267658263464909
Aio,1.773914779097e-06,6.41579967976607e-21,2.18119686815671e-11,2.44854456044742e-12,2.19489650848365e-11,exponential,0.1,16,65,3,4,2,0.00267658263464909
Amda,1.42589407664779e-07,2.368152846082e-11,3.49947548277908e-13,0,2.40314760090979e-11,exponential,0.1,16,65,3,4,2,0.00267658263464909
Aw_p,1.87720929886851e-08,6.10344456938735e-10,4.62036654003132e-12,6.9788922574343e-13,6.10462953967572e-10,exponential,0.01,16,65,3,4,2,2.69638139229755e-05
Aw_m,6.0086698675995e-09,1.34008092805024e-09,4.62293885359131e-12,6.97889225743413e-13,1.34020223646977e-09,exponential,0.01,16,65,3,4,2,2.69638139229755e-05
Ag_q,3.75262042189693e-14,2.45835397232335e-18,9.00013662367907e-18,4.15850374611227e-20,8.98083925294084e-18,exponential,0.01,16,65,3,4,2,2.69638139229755e-05
Ag_0,1.2128149296387e-11,6.91607717913005e-13,2.82688777461121e-15,1.38106143173723e-17,6.91645470108763e-13,exponential,0.01,16,65,3,4,2,2.69638139229755e-05
Aio,1.77391474475111e-08,1.07085391297142e-21,8.87910385431745e-16,2.18658041296812e-15,2.35988397587392e-15,exponential,0.01,16,65,3,4,2,2.69638139229755e-05
Amda,1.42606651864619e-09,2.06523712641515e-14,3.21520113098341e-16,0,2.09738913772499e-14,exponential,0.01,16,65,3,4,2,2.69638139229755e-05
Aw_p,1.87693390063977e-06,2.80940446573803e-08,1.76567533986508e-09,6.98301383325824e-11,2.82390359982747e-08,exponential,0.1,16,65,6,8,4,0.000318559144147912
Aw_m,6.01463887169562e-07,4.82222463270335e-08,1.76569143095841e-09,6.98301383325816e-11,4.83685960302779e-08,exponential,0.1,16,65,6,8,4,0.000318559144147912
Ag_q,3.7527882740524e-12,4.69133493116291e-17,5.71864187224182e-15,4.2078511476179e-17,5.73364736451136e-15,exponential,0.1,16,65,6,8,4,0.000318559144147912
Ag_0,1.27740433871473e-09,4.34325751783136e-12,3.30929803069037e-13,1.3816260897518e-14,4.34160301284822e-12,exponential,0.1,16,65,6,8,4,0.000318559144147912
Aio,1.773914779097e-06,8.25680003089422e-21,4.82571651588293e-14,2.6081747314102e-12,2.60861138538434e-12,exponential,0.1,16,65,6,8,4,0.000318559144147912
Amda,1.59344310292346e-07,1.53866800850772e-13,7.4705876228857e-14,0,7.91609246219146e-14,exponential,0.1,16,65,6,8,4,0.000318559144147912
Aw_p,1.87719167045997e-08,2.814005549833e-10,1.76556645665894e-12,8.74982699820564e-14,2.81546997330201e-10,exponential,0.01,16,65,6,8,4,3.18923905240354e-06
Aw_m,6.01215417033638e-09,4.82675547638229e-10,1.76577697406466e-12,8.74982699819764e-14,4.8282334275387e-10,exponential,0.01,16,65,6,8,4,3.18923905240354e-06
Ag_q,3.75262041596333e-14,4.69168165386326e-20,5.71852338849148e-18,4.20759675060963e-20,5.73353131080778e-18,exponential,0.01,16,65,6,8,4,3.18923905240354e-06
