family,step,rateMax,error,omittedTimeError,profile,amplitude,Nx,Nz,apvModes,waveModes,mdaModes
Aw_p,4,6.93792006051728e-07,2.10070148947884e-17,1.77048997667406e-15,constant,0.1,8,33,3,4,2
Aw_m,4,3.49219127945952e-07,2.29273923958063e-17,1.75771862508676e-15,constant,0.1,8,33,3,4,2
Ag_q,4,1.74058162626656e-12,5.2316521931512e-24,1.06584522198446e-23,constant,0.1,8,33,3,4,2
Ag_0,4,2.19155345475384e-10,1.26667527438119e-20,1.20295330084466e-20,constant,0.1,8,33,3,4,2
Aio,4,5.77016251606791e-07,1.25113730103879e-18,4.97375053161553e-19,constant,0.1,8,33,3,4,2
Amda,4,1.18492142893873e-07,2.55115735801155e-19,1.47960774017565e-18,constant,0.1,8,33,3,4,2
Aw_p,2,6.93792006051728e-07,4.05411354272508e-17,1.76484952259284e-15,constant,0.1,8,33,3,4,2
Aw_m,2,3.49219127945952e-07,5.5054849295803e-17,1.75250584176107e-15,constant,0.1,8,33,3,4,2
Ag_q,2,1.74058162626656e-12,1.82015974340634e-23,1.70432626731991e-23,constant,0.1,8,33,3,4,2
Ag_0,2,2.19155345475384e-10,1.73827293698071e-20,4.36982650281781e-20,constant,0.1,8,33,3,4,2
Aio,2,5.77016251606791e-07,1.12167904090106e-18,1.55777954799662e-18,constant,0.1,8,33,3,4,2
Amda,2,1.18492142893873e-07,4.08169295414086e-18,2.55966739215349e-18,constant,0.1,8,33,3,4,2
Aw_p,1,6.93792006051728e-07,5.65856465123047e-17,1.69597138761484e-15,constant,0.1,8,33,3,4,2
Aw_m,1,3.49219127945952e-07,9.25423684892589e-17,1.74974204354588e-15,constant,0.1,8,33,3,4,2
Ag_q,1,1.74058162626656e-12,2.56740623730419e-23,4.406415161599e-23,constant,0.1,8,33,3,4,2
Ag_0,1,2.19155345475384e-10,2.96365979575757e-20,4.18448832995151e-20,constant,0.1,8,33,3,4,2
Aio,1,5.77016251606791e-07,1.46021592724383e-18,1.18727940217694e-18,constant,0.1,8,33,3,4,2
Amda,1,1.18492142893873e-07,6.02911434410711e-18,6.02911434410711e-18,constant,0.1,8,33,3,4,2
Aw_p,0.5,6.93792006051728e-07,3.49614408987676e-16,1.89932593926531e-15,constant,0.1,8,33,3,4,2
Aw_m,0.5,3.49219127945952e-07,3.72024873727951e-16,1.7957098017612e-15,constant,0.1,8,33,3,4,2
Ag_q,0.5,1.74058162626656e-12,9.78292856834798e-23,8.1135988765158e-23,constant,0.1,8,33,3,4,2
Ag_0,0.5,2.19155345475384e-10,5.99569167131495e-20,8.70053245459688e-20,constant,0.1,8,33,3,4,2
Aio,0.5,5.77016251606791e-07,4.66101204313478e-18,6.92237660526399e-19,constant,0.1,8,33,3,4,2
Amda,0.5,1.18492142893873e-07,1.1318120415661e-17,1.15308183296504e-17,constant,0.1,8,33,3,4,2
Aw_p,0.25,6.93792006051728e-07,3.40905537971926e-16,2.0863130957928e-15,constant,0.1,8,33,3,4,2
Aw_m,0.25,3.49219127945952e-07,3.12679769505608e-16,1.91040494550703e-15,constant,0.1,8,33,3,4,2
Ag_q,0.25,1.74058162626656e-12,1.58113714044849e-22,8.84606207427818e-23,constant,0.1,8,33,3,4,2
Ag_0,0.25,2.19155345475384e-10,1.56549273590092e-19,1.06812090373495e-19,constant,0.1,8,33,3,4,2
Aio,0.25,5.77016251606791e-07,1.34780697370441e-17,1.83818087940333e-17,constant,0.1,8,33,3,4,2
Amda,0.25,1.18492142893873e-07,4.59192442574317e-18,9.49856129606072e-18,constant,0.1,8,33,3,4,2
Aw_p,0.125,6.93792006051728e-07,5.76371961651317e-16,1.63547862207591e-15,constant,0.1,8,33,3,4,2
Aw_m,0.125,3.49219127945952e-07,5.62977410185195e-16,1.59855945401495e-15,constant,0.1,8,33,3,4,2
Ag_q,0.125,1.74058162626656e-12,2.84216689183849e-22,4.29922422234445e-22,constant,0.1,8,33,3,4,2
